Hybridization REF	TCGA-A2-A0ET-01A-31R-A034-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.426333333333333
CREB3L1	1.45025
RPS11	0.615875
PNMA1	1.361
MMP2	-1.59766666666667
C10orf90	-2.0715
ZHX3	-0.500166666666667
ERCC5	-0.029
GPR98	-2.085
RXFP3	-0.3515
APBB2	3.10675
PRO0478	-0.677625
KLHL13	-1.935
PRSSL1	-0.732166666666667
PDCL3	-0.0463333333333333
DECR1	0.024625
SALL1	-3.71116666666667
CADM4	0.119166666666667
RPS18	0.232
HNRPD	0.30525
CFHR5	-0.203666666666667
SLC10A7	0.3805
OR2K2	0.5645
LMAN1	0.1015
SUHW1	-3.20075
CHD8	-0.5807
SUMO1	0.5944
GP1BA	0.5722
DDB1	-0.436833333333333
MYO9B	-0.3698
MMP7	1.7805
CRNKL1	1.63525
C9orf45	-0.850666666666667
XAB2	0.329625
RTN1	1.02225
KLHL14	1.3675
TBX10	-0.645
CENPQ	-0.707
UTY	-0.868153846153846
ZBTB12	-0.0155
DTNBP1	0.902375
KBTBD8	-1.15183333333333
ZEB1	-1.01866666666667
ZG16	-1.48025
MIER1	0.5819
ADAM5P	0.362
CHD9	0.4515625
STK16	1.76925
KIAA1486	-0.338
TOB2	0.747416666666667
BANK1	1.39525
OR2V2	0.11925
GRM2	-0.049
PROSC	-0.176875
SPIN2B	1.47675
PIR	-2.15255555555556
IPO9	-0.4168
EVC	-1.66983333333333
CXCL13	2.82233333333333
KIAA1199	-2.3321
SORL1	-0.22175
NAT10	-0.61875
CHD1	0.74875
SYN3	0.77
SLC22A2	0.167
SERPINF1	-1.4145
WDR34	-0.07925
OR7A17	0.165
C9orf11	-0.49
RNF216L	-0.3608
LHB	-0.262
STK25	-0.739
TAOK3	0.234125
LOC152573	-2.6155
C3orf39	0.269125
C14orf108	0.626
CDC25B	-0.898909090909091
BMP3	0.305
TMEM180	-0.3835
MAP1LC3C	-0.57
CRYGC	-0.168
POU3F1	-1.0908
C20orf32	-0.8235
CCDC95	-0.4285
HIGD1B	3.698
USP6NL	-1.031375
ABCD4	-0.0433333333333333
DIMT1L	0.249
TEK	0.945625
SLC25A46	0.42925
LARP7	-0.9559
CD160	-0.1285
MT1JP	-0.971833333333333
PHF20	-0.3876875
CPNE4	-1.57175
GTPBP1	-0.192071428571429
RAB33B	1.005
ALDOC	-2.949875
ZNF212	-0.36775
NUDT1	-1.24816666666667
RFPL2	-0.2445
ZNF83	1.15983333333333
GDPD5	-0.805625
PDCD4	2.31945
CEP350	0.3725
OR10A2	0.34875
CST7	0.16375
CIAO1	-0.52325
SELL	0.94125
OR8J3	-0.278
LTBP4	-1.42316666666667
SIRT6	0.06125
CCL19	3.2575
PPIL1	-0.6765
GBP7	0.6295
STK17A	-1.5226
ABR	0.836
OR9G1	-0.7805
FOXE1	-0.530375
CNGA3	-0.6535
GML	0.4035
CD38	-2.25725
ZDHHC6	-0.1825
NEFH	-2.502
CTDSP2	0.88025
PGBD5	-2.33233333333333
CCNY	-0.433857142857143
RMND5B	0.6865
ZNF257	-2.28325
FLJ22167	0.857625
EXOSC7	-0.281833333333333
ROR2	1.09325
MAOA	-0.22275
TNNT3	0.160166666666667
GYPC	-1.77975
C7orf33	0.782
PLIN	2.86533333333333
LOC90826	0.26625
RNF4	0.4336
F8A1	1.31866666666667
PLEKHG4	0.3675
GRB2	-0.07295
HIST1H2AD	1.37225
DUS3L	-0.698666666666667
EIF1	0.6775
RP5-1077B9.4	-0.9685
FPGT	1.228
GDF10	-0.0531666666666667
COQ9	0.27325
GCC2	0.1865
RARRES3	2.267
PLXNA1	-0.7828
KIAA0100	0.4726
PMF1	-0.24175
FNDC1	3.08325
HS2ST1	-0.457666666666667
