Hybridization REF	TCGA-A2-A0EX-01A-21R-A034-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.448
CREB3L1	0.73225
RPS11	1.515875
PNMA1	0.703
MMP2	0.735166666666667
C10orf90	-2.4325
ZHX3	-0.102666666666667
ERCC5	0.0275
GPR98	-0.445875
RXFP3	0.528
APBB2	1.27725
PRO0478	-1.5025
KLHL13	-1.37375
PRSSL1	-0.579666666666667
PDCL3	0.15
DECR1	0.65475
SALL1	-3.44416666666667
CADM4	0.269166666666667
RPS18	1.09378571428571
HNRPD	-0.813333333333333
CFHR5	0.441833333333333
SLC10A7	0.0675714285714286
OR2K2	0.153
LMAN1	-1.009625
SUHW1	-3.812
CHD8	-0.3786
SUMO1	0.8521
GP1BA	1.0567
DDB1	-0.140166666666667
MYO9B	-0.4075
MMP7	6.26225
CRNKL1	0.756625
C9orf45	-0.4835
XAB2	-0.135
RTN1	2.454375
KLHL14	-0.908571428571429
TBX10	-1.393
CENPQ	-2.0745
UTY	-0.808285714285714
ZBTB12	-1.379
DTNBP1	-0.21
KBTBD8	-1.6545
ZEB1	1.49
ZG16	-1.331
MIER1	0.857
ADAM5P	2.0775
CHD9	-0.428125
STK16	0.65225
KIAA1486	-2.294
TOB2	1.21975
BANK1	5.0355
OR2V2	0.210333333333333
GRM2	0.111166666666667
PROSC	1.3995
SPIN2B	0.26125
PIR	-2.71377777777778
IPO9	-0.6847
EVC	0.741333333333333
CXCL13	7.72866666666667
KIAA1199	-0.6913
SORL1	1.33425
NAT10	-0.81325
CHD1	-0.69525
SYN3	-0.59375
SLC22A2	-0.497
SERPINF1	1.40666666666667
WDR34	-0.44725
OR7A17	0.57675
C9orf11	0.3225
RNF216L	-0.1323
LHB	-0.068
STK25	-0.2625
TAOK3	0.6005
LOC152573	-2.5675
C3orf39	0.486375
C14orf108	0.3794
CDC25B	-2.51963636363636
BMP3	0.363
TMEM180	0.0765
MAP1LC3C	0.85625
CRYGC	-0.081
POU3F1	-1.0434
C20orf32	-0.755
CCDC95	-0.796
HIGD1B	4.36625
USP6NL	-0.230625
ABCD4	-1.16933333333333
DIMT1L	-0.72025
TEK	1.63075
SLC25A46	-0.604
LARP7	-1.414
CD160	-0.0935
MT1JP	-0.651166666666667
PHF20	-0.148375
CPNE4	-1.8655
GTPBP1	-0.499071428571428
RAB33B	1.15416666666667
ALDOC	-2.446
ZNF212	0.05875
NUDT1	-1.333
RFPL2	-3.00725
ZNF83	-0.509333333333333
GDPD5	-1.434125
PDCD4	1.71505
CEP350	-0.941
OR10A2	0.3665
CST7	-0.182
CIAO1	-1.2045
SELL	0.82775
OR8J3	0.136
