Hybridization REF	TCGA-BH-A0EB-01A-11R-A034-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.0305
CREB3L1	1.6305
RPS11	0.255125
PNMA1	-0.4425
MMP2	1.23666666666667
C10orf90	-2.085
ZHX3	-0.567666666666667
ERCC5	0.6915
GPR98	-0.21625
RXFP3	0.896
APBB2	1.6345
PRO0478	-1.0045
KLHL13	-3.37225
PRSSL1	-0.1235
PDCL3	0.2825
DECR1	-0.327125
SALL1	-2.46766666666667
CADM4	1.50166666666667
RPS18	0.246071428571429
HNRPD	-0.747083333333333
CFHR5	-0.0623333333333333
SLC10A7	0.1655
OR2K2	0.327
LMAN1	0.0895
SUHW1	-4.14475
CHD8	0.3966
SUMO1	0.2699
GP1BA	-0.0312
DDB1	-0.152333333333333
MYO9B	0.0582
MMP7	6.98325
CRNKL1	0.422875
C9orf45	-1.97833333333333
XAB2	0.13475
RTN1	2.798625
KLHL14	-1.096
TBX10	-1.026
CENPQ	-1.67825
UTY	-0.992928571428571
ZBTB12	0.0855
DTNBP1	-0.298625
KBTBD8	-0.469166666666667
ZEB1	2.16666666666667
ZG16	-1.8145
MIER1	1.0394
ADAM5P	0.106
CHD9	1.020875
STK16	1.1845
KIAA1486	-0.5035
TOB2	0.829333333333333
BANK1	2.1155
OR2V2	0.26875
GRM2	0.085
PROSC	0.551
SPIN2B	-0.41725
PIR	-2.092
IPO9	-0.4299
EVC	0.963
CXCL13	5.19183333333333
KIAA1199	-0.5136
SORL1	2.3575
NAT10	-0.475
CHD1	0.5095
SYN3	-0.4335
SLC22A2	-0.73825
SERPINF1	1.19716666666667
WDR34	-0.74
OR7A17	0.342
C9orf11	0.3935
RNF216L	-0.0284
LHB	-0.1745
STK25	-0.608625
TAOK3	1.13425
LOC152573	-3.28625
C3orf39	0.17475
C14orf108	0.3492
CDC25B	-2.38281818181818
BMP3	0.5595
TMEM180	0.197
MAP1LC3C	0.05175
CRYGC	-0.7395
POU3F1	-1.2488
C20orf32	-1.246
CCDC95	-0.063
HIGD1B	4.51175
USP6NL	-0.035125
ABCD4	-0.266166666666667
DIMT1L	-0.84875
TEK	1.65175
SLC25A46	-0.5225
LARP7	-1.3573
CD160	0.216833333333333
MT1JP	-1.49933333333333
PHF20	0.0276875
CPNE4	-1.24075
GTPBP1	-0.578642857142857
RAB33B	0.755333333333333
ALDOC	-2.9185
ZNF212	-0.768
NUDT1	-0.804
RFPL2	-1.23925
ZNF83	-0.646833333333333
GDPD5	-0.694
PDCD4	1.71485
CEP350	0.2745
OR10A2	0.35925
CST7	1.278
CIAO1	-1.15875
SELL	1.0375
OR8J3	0.4985
LTBP4	-0.118166666666667
SIRT6	-0.1955
CCL19	3.95675
PPIL1	-0.7015
GBP7	-0.206166666666667
STK17A	-0.649
ABR	0.5445
OR9G1	0.2955
FOXE1	-0.89725
CNGA3	0.513
GML	0.467
CD38	-0.64
ZDHHC6	-0.212333333333333
NEFH	-1.7285
CTDSP2	0.534416666666667
PGBD5	-1.55916666666667
CCNY	0.411857142857143
RMND5B	0.638666666666667
ZNF257	0.40775
FLJ22167	-0.231875
EXOSC7	-0.377833333333333
ROR2	1.962625
MAOA	-1.587875
TNNT3	0.156166666666667
GYPC	-0.8055
C7orf33	0.664
PLIN	-0.0411666666666667
LOC90826	-0.431
RNF4	-0.3363
F8A1	0.642
PLEKHG4	-1.724
GRB2	0.80265
HIST1H2AD	0.543
DUS3L	-1.09833333333333
EIF1	-0.38
RP5-1077B9.4	-1.3205
FPGT	1.64275
GDF10	-0.383
COQ9	-0.59
GCC2	0.4755
RARRES3	3.46575
PLXNA1	-0.835
KIAA0100	-0.5279
PMF1	0.257
FNDC1	5.30925
HS2ST1	-0.516833333333333
CRELD2	0.376
C8G	-2.2365
CD82	0.82725
LIM2	-0.7645
UNQ6490	0.4005
MMP16	0.23075
DRD3	0.11375
C5orf26	-0.88
C11orf73	-0.148625
PTP4A2	1.733
OR4M2	0.5285
HPCA	-1.31683333333333
SEC14L1	-0.735166666666667
CHFR	-0.121125
EMILIN1	0.844125
NDUFS4	-0.33375
COL18A1	0.72825
PDZD3	0.0218
C9orf16	-0.0925
ERBB2IP	0.344666666666667
EMX2	2.675
FUS	-0.56425
TF	-3.5123
CLCN4	-0.479666666666667
CXorf56	0.2955
C11orf72	0.19075
ELAC2	-0.195333333333333
NPR1	-0.8665
ASS1	-2.96166666666667
USP42	0.61325
POLR2J	-0.985
SEC23IP	0.894833333333333
UQCRC1	0.172
LOC729603	-0.335
C1orf71	0.058625
POLG	-2.671
ADAM23	-3.24525
TFR2	-1.54875
RICTOR	-0.937
MGC39606	-0.2215
C19orf55	-0.424125
SNAPC1	-1.3985
GNA11	0.840875
CCDC52	0.85
FSIP1	4.1575
UPF3A	-0.71525
IGSF11	-2.55766666666667
LAGE3	-0.125
CHST6	-2.551
UNC13B	-0.045125
TTLL4	-1.680875
ZNF687	0.201125
SDC2	-0.4381
COX7A2	0.135
LAMB4	0.3365
FAM24A	0.05
LRRTM3	-0.816
GPHB5	0.162
OR4C13	-0.137
EIF3EIP	-0.0775
