Hybridization REF	TCGA-AN-A0FL-01A-11R-A034-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.3525
CREB3L1	0.59775
RPS11	0.898375
PNMA1	-1.0705
MMP2	-1.54683333333333
C10orf90	2.3745
ZHX3	0.333
ERCC5	0.07925
GPR98	-0.852375
RXFP3	1.132
APBB2	1.1895
PRO0478	-0.962875
KLHL13	-0.72575
PRSSL1	-0.708333333333333
PDCL3	0.134333333333333
DECR1	1.289
SALL1	-4.86433333333333
CADM4	3.46383333333333
RPS18	0.508571428571429
HNRPD	-0.802166666666667
CFHR5	0.949166666666667
SLC10A7	-0.22875
OR2K2	0.348
LMAN1	-0.357625
SUHW1	-3.47975
CHD8	-0.0388
SUMO1	1.5751
GP1BA	0.5638
DDB1	0.0676666666666667
MYO9B	-0.0156
MMP7	6.06625
CRNKL1	-0.152875
C9orf45	-2.11183333333333
XAB2	-0.614625
RTN1	1.03475
KLHL14	-1.9105
TBX10	-0.872
CENPQ	-1.68225
UTY	-0.752076923076923
ZBTB12	-0.337
DTNBP1	0.74175
KBTBD8	-1.0375
ZEB1	-0.206166666666667
ZG16	-1.54875
MIER1	0.5177
ADAM5P	0.271
CHD9	0.6923125
STK16	1.1205
KIAA1486	-0.357
TOB2	1.24158333333333
BANK1	2.2605
OR2V2	0.27125
GRM2	0.1625
PROSC	0.025
SPIN2B	0.07775
PIR	-0.656888888888889
IPO9	-0.3848
EVC	0.972
CXCL13	0.739666666666667
KIAA1199	-1.6346
SORL1	2.5685
NAT10	-0.7865
CHD1	-1.6755
SYN3	-0.36275
SLC22A2	-1.13625
SERPINF1	-1.87166666666667
WDR34	-0.1745
OR7A17	0.421
C9orf11	-1.18
RNF216L	0.5507
LHB	0.325
STK25	-1.12875
TAOK3	0.37625
LOC152573	-2.47775
C3orf39	-0.223875
C14orf108	0.6939
CDC25B	-2.268
BMP3	-0.286
TMEM180	-0.3935
MAP1LC3C	-0.20875
CRYGC	-0.199
POU3F1	-0.549
