Hybridization REF	TCGA-AN-A0FX-01A-11R-A034-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.182833333333333
CREB3L1	0.3925
RPS11	1.140875
PNMA1	-0.10675
MMP2	0.156
C10orf90	1.408
ZHX3	-0.0976666666666667
ERCC5	0.887
GPR98	-1.710125
RXFP3	0.2095
APBB2	-0.133
PRO0478	-1.2715
KLHL13	-0.65525
PRSSL1	-0.829666666666667
PDCL3	0.00649999999999999
DECR1	0.363625
SALL1	-3.03366666666667
CADM4	1.18516666666667
RPS18	0.507857142857143
HNRPD	-0.17425
CFHR5	-0.5056
SLC10A7	0.061
OR2K2	0.59
LMAN1	-0.2095
SUHW1	-3.2745
CHD8	-0.9606
SUMO1	1.4904
GP1BA	0.5375
DDB1	-0.620666666666667
MYO9B	0.2526
MMP7	6.97975
CRNKL1	0.186125
C9orf45	0.838666666666667
XAB2	-0.080375
RTN1	1.173625
KLHL14	-0.93525
TBX10	-1.0925
CENPQ	-0.60075
UTY	-1.19771428571429
ZBTB12	-0.2585
DTNBP1	0.854875
KBTBD8	-1.503
ZEB1	0.0553333333333333
ZG16	-1.627
MIER1	0.7777
ADAM5P	-0.093
CHD9	-0.20275
STK16	1.529
KIAA1486	-0.783
TOB2	0.494666666666667
BANK1	2.6895
OR2V2	0.31775
GRM2	0.031
PROSC	0.325625
SPIN2B	0.80225
PIR	-1.96988888888889
IPO9	-0.2239
EVC	0.317
CXCL13	3.43666666666667
KIAA1199	-0.3923
SORL1	-0.5075
NAT10	-1.0175
CHD1	-0.5435
SYN3	0.6665
SLC22A2	-0.45075
SERPINF1	0.068
WDR34	-0.3595
OR7A17	0.016
C9orf11	-0.5785
RNF216L	-0.0456
LHB	-0.0835
STK25	-0.065125
TAOK3	0.164125
LOC152573	-1.99025
C3orf39	0.671625
C14orf108	0.1532
CDC25B	-1.40390909090909
BMP3	0.041
TMEM180	-0.151
MAP1LC3C	0.08775
CRYGC	-0.487
POU3F1	-1.2971
C20orf32	-1.6865
CCDC95	-1.005
HIGD1B	4.34425
USP6NL	1.093
ABCD4	-0.652
DIMT1L	-0.686166666666667
TEK	1.12425
SLC25A46	-0.69075
LARP7	-1.3317
CD160	0.441333333333333
MT1JP	-0.628166666666667
PHF20	-0.7535625
CPNE4	0.00899999999999999
GTPBP1	-0.0904285714285714
RAB33B	1.75516666666667
ALDOC	-1.744
ZNF212	0.119
NUDT1	-0.1295
RFPL2	-0.0385
ZNF83	0.3865
GDPD5	-0.21075
PDCD4	1.87425
CEP350	0.522
OR10A2	0.105
CST7	-0.06025
CIAO1	-1.64875
SELL	0.5845
OR8J3	0.189
LTBP4	-0.1395
SIRT6	0.07125
CCL19	4.9215
PPIL1	-0.0836666666666667
GBP7	-0.354
STK17A	-1.377
ABR	0.37475
OR9G1	-0.0595
FOXE1	-0.738
CNGA3	-0.3625
GML	0.4515
CD38	-2.2125
ZDHHC6	-0.284333333333333
NEFH	-2.43425
CTDSP2	1.06433333333333
PGBD5	-0.329833333333333
CCNY	0.350142857142857
RMND5B	-0.309166666666667
ZNF257	-4.2855
FLJ22167	0.0265
EXOSC7	-0.925833333333333
ROR2	0.447125
MAOA	-0.414375
TNNT3	0.8585
GYPC	-1.594
C7orf33	0.297
PLIN	3.36983333333333
LOC90826	-0.34425
RNF4	-0.746
F8A1	-0.368166666666667
PLEKHG4	0.47725
GRB2	-0.8702
HIST1H2AD	0.99275
DUS3L	-0.8815
EIF1	-0.358666666666667
RP5-1077B9.4	-0.925166666666667
FPGT	1.13325
GDF10	1.15533333333333
COQ9	-0.74475
GCC2	-0.3525
RARRES3	0.864125
PLXNA1	0.6367
KIAA0100	-0.9707
PMF1	0.02325
FNDC1	5.28325
HS2ST1	0.515166666666667
CRELD2	0.14675
C8G	-1.075
CD82	0.32125
LIM2	-1.309
UNQ6490	0.3075
MMP16	0.3885
DRD3	0.0815
C5orf26	-1.1115
C11orf73	0.31325
PTP4A2	-0.02175
OR4M2	0.219
HPCA	-1.39716666666667
SEC14L1	-0.764833333333333
CHFR	-0.49475
EMILIN1	0.86975
NDUFS4	-0.367
COL18A1	0.260125
PDZD3	0.0817
C9orf16	0.0363333333333333
ERBB2IP	0.0371666666666667
EMX2	4.418
FUS	-1.68375
TF	-2.8318
CLCN4	0.246333333333333
CXorf56	0.39025
C11orf72	0.503
ELAC2	-0.859
NPR1	-0.801
ASS1	0.000666666666666686
USP42	-0.3685
POLR2J	-0.9215
SEC23IP	-0.0203333333333333
UQCRC1	-0.95125
LOC729603	-1.38875
C1orf71	-0.3995
POLG	-1.6575
ADAM23	-3.42175
TFR2	-0.77425
RICTOR	-0.2372
MGC39606	1.357
C19orf55	-0.32475
SNAPC1	-1.0315
GNA11	0.75975
CCDC52	-0.286833333333333
FSIP1	0.452
UPF3A	0.690875
IGSF11	-1.87683333333333
LAGE3	0.08175
CHST6	0.08
UNC13B	0.3285
TTLL4	0.542625
ZNF687	0.18975
SDC2	1.2626
COX7A2	-1.17
LAMB4	-0.0295
FAM24A	-0.027
LRRTM3	-1.18466666666667
GPHB5	0.7215
OR4C13	0.41
EIF3EIP	0.504785714285714
HABP4	-1.262
TMEM125	2.3955
CNTN2	0.753625
ASNSD1	0.44175
FUT4	-0.20825
ACF	-3.77475
LOC158381	0.2085
CDH8	-0.10575
AGPS	-1.10033333333333
C4orf18	1.799625
PECI	-2.18383333333333
UNG	1.07975
GSTP1	0.012125
DCUN1D5	-1.66033333333333
DKFZP564J0863	-1.18525
SLC9A3R1	0.124875
BCDO2	-0.460375
CHMP7	-0.898375
REM2	-0.4235
DNHD1	-0.177125
FKBP4	-1.014375
ZNF350	1.44575
MGC11102	0.090875
BST1	0.74925
KISS1R	0.06
NCR2	0.24
DEFB125	-0.878
UBE2W	0.699125
KRT15	3.868625
C10orf99	0.306
SCN11A	0.1105
GFI1	-0.669
RDHE2	0.103166666666667
FHL1	0.5055
OSGEP	-0.672333333333333
GATA1	-3.86783333333333
SMC6	-0.88775
TTTY14	-1.16325
LPIN3	-0.30975
RPL4	-0.7269
RBPMS	-0.4605
PRPF3	-0.3395
EMR1	-2.378
SPATA19	-0.15025
XCR1	0.352
IRX3	1.3122
RBM6	-1.187
KLF4	-1.0733
UNC5CL	0.1015
SEBOX	0.384
BTK	-1.301
KRCC1	1.56675
C6orf27	0.46
SYTL5	-0.498
PRND	2.125
LOC653319	-0.4515
PIGL	-1.51225
HUS1	0.1465
SFRS6	-0.258916666666667
C17orf77	0.4755
UIMC1	0.144
FXYD2	-1.7536
LOC283152	-0.762
ZNF667	0.257
ZCCHC12	0.103
TFEC	1.5597
ATP7B	-1.63083333333333
POLD2	-0.997333333333333
RG9MTD1	0.56125
ACOT2	-1.21216666666667
HIST1H4I	-1.050875
PPARGC1A	0.9128
ETFA	-1.5136
POLRMT	-0.09125
ZNF146	1.362375
MIA2	-1.805
KLHL6	-1.14933333333333
HOXB5	-0.53575
NENF	1.084
CUGBP1	0.77725
PRSS22	0.527
CASC4	0.6459
CUL4B	0.2647
CENPJ	0.0423
PITX1	-0.0045
FLJ31033	0.117
CELSR3	-0.245333333333333
ZNF568	1.1705
ITSN1	-0.597083333333333
EHBP1L1	-1.14183333333333
C19orf2	-0.0645
DCTN1	-0.716
LIN28B	-4.2625
TNKS2	-0.6945
C1QBP	-0.743125
CADPS2	-0.53325
SRMS	-0.2225
GJA9	0.233666666666667
MGC24975	-1.26783333333333
TRIM45	-0.2435
TSP50	-1.33775
TCP1	-0.97475
TMED7	-0.3763
CMA1	0.5885
CENPL	-0.148666666666667
PTCRA	-0.3165
FST	-2.984
VWCE	-3.27225
PAWR	0.34675
ABCC12	0.169166666666667
LDLR	-1.9263
ASTN2	-0.00629999999999997
LOC441212	0.33525
GPATCH8	-0.0895
TANC2	-0.827416666666667
KIF4A	-1.321
C18orf18	-2.57975
PGM1	-0.536
KIAA0258	0.5955
CPD	-0.66025
SNCAIP	-0.8
DCT	-3.841
HLA-DOA	1.94772727272727
OR11L1	0.6655
UPK1B	-0.350833333333333
DNAJB4	1.200375
UGT1A8	-0.4505
HIST1H4L	-1.8395
PECR	-0.663666666666667
HSPA2	0.6795
WFIKKN1	-2.077
SERP1	1.49275
SYDE2	0.99725
TACR2	0.464
NUP85	-0.37375
CD177	-0.7015
LGR5	-1.9645
PIGG	-0.8855
PTHR1	-1.24833333333333
RAB5A	1.1246
FLJ13224	-0.185
USP9Y	-1.54316666666667
C7orf53	0.455
LRP1B	-0.317
XAF1	0.5084
ABCG8	0.1305
ANKDD1A	-0.197166666666667
DAND5	-0.136
SPAG6	-0.0475
LINCR	2.23125
ZDHHC22	-0.781
CCDC60	-0.0945
THOC7	-1.004
TCTA	0.1608
OR8K3	0.67875
NY-REN-7	0.56125
B2M	0.817333333333333
C6orf141	-0.47
LPPR4	3.2775
SQLE	2.198
SEPHS1	-0.011
BTBD14B	0.208071428571429
PLRG1	-0.20675
SPG7	-1.1625625
ZNF614	-0.156
PARD6G	1.45133333333333
INPP5B	-0.2769
GRPEL2	0.434625
PPID	-0.616
TRIM56	-0.621
UBE2J1	-0.061375
IL20RA	3.492
LOC387856	0.5375
C1orf107	1.734
UTS2R	-0.15075
C19orf22	-0.169
SAFB2	-0.35625
KIAA0652	-0.51675
KLRG1	-0.358166666666667
MS4A8B	-0.0641666666666667
FRAG1	0.5
KIAA1546	1.55875
E2F4	-1.0868
CLEC4M	-0.263333333333333
BTBD14A	0.20475
KIAA0999	0.4844
GYPA	-3.665
TAC1	1.4895
TRAIP	-1.72783333333333
