Hybridization REF	TCGA-AN-A0FY-01A-11R-A034-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	1.5645
CREB3L1	0.72625
RPS11	1.130375
PNMA1	-0.56825
MMP2	0.579
C10orf90	-2.50325
ZHX3	-0.318166666666667
ERCC5	0.399
GPR98	1.386625
RXFP3	0.6935
APBB2	1.4445
PRO0478	-0.73125
KLHL13	-3.42975
PRSSL1	-1.15383333333333
PDCL3	0.0846666666666667
DECR1	-1.5635
SALL1	-3.0305
CADM4	0.870166666666667
RPS18	0.1215
HNRPD	-0.161166666666667
CFHR5	0.0625
SLC10A7	0.1915
OR2K2	0.095
LMAN1	-0.759375
SUHW1	-3.8065
CHD8	-0.1374
SUMO1	0.7446
GP1BA	-0.1292
DDB1	0.522
MYO9B	-0.1314
MMP7	4.7545
CRNKL1	1.454125
C9orf45	0.690833333333333
XAB2	0.102875
RTN1	1.31125
KLHL14	-1.13825
TBX10	-1.3105
CENPQ	-0.3375
UTY	-1.35321428571429
ZBTB12	0.267
DTNBP1	0.381875
KBTBD8	-1.736
ZEB1	0.370333333333333
ZG16	-1.184
MIER1	0.646
ADAM5P	-0.3805
CHD9	0.314375
STK16	1.31075
KIAA1486	-0.782
TOB2	0.796
BANK1	0.77125
OR2V2	0.00649999999999998
GRM2	-0.135
PROSC	0.028125
SPIN2B	0.6805
PIR	-2.65611111111111
IPO9	-0.2011
EVC	1.384
CXCL13	2.74833333333333
KIAA1199	-0.1442
SORL1	1.396
NAT10	0.351
CHD1	-0.02525
SYN3	-0.469
SLC22A2	-0.553
SERPINF1	0.8795
WDR34	0.6125
OR7A17	0.2515
C9orf11	-0.5485
RNF216L	-0.9294
LHB	-0.142
STK25	-0.15425
TAOK3	0.9205
LOC152573	-3.56425
C3orf39	0.72775
C14orf108	0.0601
CDC25B	-0.644545454545454
BMP3	0.2095
TMEM180	0.088
MAP1LC3C	-0.28725
CRYGC	-0.629
POU3F1	0.1475
C20orf32	-1.2095
CCDC95	-0.1135
HIGD1B	4.25875
USP6NL	-0.178
ABCD4	-0.360666666666667
DIMT1L	-1.27716666666667
TEK	0.713625
SLC25A46	-0.6155
LARP7	-1.3882
CD160	0.0186666666666667
MT1JP	1.518
PHF20	-0.2038125
CPNE4	-1.2455
GTPBP1	-0.538142857142857
RAB33B	0.8275
ALDOC	-1.201125
ZNF212	-0.10825
NUDT1	-0.927
RFPL2	-1.00625
ZNF83	0.756666666666667
GDPD5	-1.128
PDCD4	1.9755
CEP350	0.095
