Hybridization REF	TCGA-B6-A0IA-01A-11R-A034-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.375333333333333
CREB3L1	0.6815
RPS11	0.43575
PNMA1	0.2475
MMP2	-1.16883333333333
C10orf90	-1.63525
ZHX3	0.477833333333333
ERCC5	-0.031
GPR98	-2.46028571428571
RXFP3	0.945
APBB2	0.9215
PRO0478	-1.021875
KLHL13	-3.64025
PRSSL1	-1.2645
PDCL3	0.2945
DECR1	0.153
SALL1	-4.63233333333333
CADM4	1.26866666666667
RPS18	0.3235
HNRPD	-1.23966666666667
CFHR5	0.486
SLC10A7	0.16625
OR2K2	-0.3145
LMAN1	-1.175625
SUHW1	-3.99425
CHD8	0.1086
SUMO1	1.3115
GP1BA	-0.3201
DDB1	-0.433166666666667
MYO9B	-0.9101
MMP7	2.3635
CRNKL1	0.695625
C9orf45	-1.77583333333333
XAB2	-0.28625
RTN1	3.618625
KLHL14	-1.912625
TBX10	-1.056
CENPQ	-0.76475
UTY	-1.17746153846154
ZBTB12	-0.1105
DTNBP1	0.780875
KBTBD8	-1.91783333333333
ZEB1	-1.04883333333333
ZG16	-1.53033333333333
MIER1	1.0251
ADAM5P	0.558
CHD9	-0.270375
STK16	-0.4585
KIAA1486	0.11
TOB2	0.481333333333333
BANK1	-0.122
OR2V2	0.527
GRM2	0.3425
PROSC	1.7785
SPIN2B	-0.5125
PIR	-2.13744444444444
IPO9	-0.2253
EVC	-0.148166666666667
CXCL13	8.58366666666667
KIAA1199	-1.6368
SORL1	0.21925
NAT10	-1.14125
CHD1	-1.183
SYN3	0.6215
SLC22A2	-0.06975
SERPINF1	-0.950666666666667
WDR34	-0.25975
OR7A17	0.95025
C9orf11	-0.226
RNF216L	0.00360000000000001
LHB	0.1115
STK25	-1.52125
TAOK3	0.818375
LOC152573	-2.77
C3orf39	1.019625
C14orf108	0.2483
CDC25B	-1.88845454545455
BMP3	-0.3165
TMEM180	-0.5545
MAP1LC3C	-0.8025
CRYGC	-0.4355
POU3F1	-0.9085
C20orf32	-1.9105
CCDC95	0.6705
HIGD1B	3.31125
USP6NL	-0.506125
ABCD4	-0.200666666666667
DIMT1L	-1.06166666666667
TEK	-0.438625
SLC25A46	-0.378
LARP7	-0.8703
CD160	0.407
MT1JP	-1.78683333333333
PHF20	-0.3120625
CPNE4	-1.168
GTPBP1	-0.0875
RAB33B	-0.181
ALDOC	-2.4845
ZNF212	-0.59725
NUDT1	-0.818666666666667
RFPL2	-1.35025
ZNF83	-0.388166666666667
GDPD5	-0.77
PDCD4	1.91845
CEP350	0.4025
OR10A2	0.3895
CST7	-0.60325
CIAO1	-0.8045
SELL	1.569
OR8J3	-0.087
LTBP4	-0.2175
SIRT6	-0.289
CCL19	1.253
PPIL1	-1.27466666666667
GBP7	-0.0594
STK17A	-1.2003
ABR	0.185
OR9G1	0.0885
FOXE1	-0.732
CNGA3	-0.214
GML	0.67
