Hybridization REF	TCGA-B6-A0IB-01A-11R-A034-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.08875
CREB3L1	1.8075
RPS11	0.234125
PNMA1	1.145
MMP2	-0.892
C10orf90	-2.24025
ZHX3	0.248166666666667
ERCC5	0.4665
GPR98	0.64
RXFP3	0.4965
APBB2	1.1915
PRO0478	-0.545125
KLHL13	-0.8405
PRSSL1	-1.23433333333333
PDCL3	0.466666666666667
DECR1	0.605375
SALL1	-3.8125
CADM4	0.7745
RPS18	0.113642857142857
HNRPD	-1.25041666666667
CFHR5	0.195333333333333
SLC10A7	0.16475
OR2K2	0.448
LMAN1	-0.00737500000000002
SUHW1	-4.72675
CHD8	0.9233
SUMO1	1.2049
GP1BA	0.4933
DDB1	0.117166666666667
MYO9B	-0.6542
MMP7	3.00325
CRNKL1	1.282375
C9orf45	-1.83183333333333
XAB2	-0.3475
RTN1	2.8825
KLHL14	1.337375
TBX10	-1.3795
CENPQ	-1.4075
UTY	-0.841
ZBTB12	0.719
DTNBP1	0.322375
KBTBD8	-2.83016666666667
ZEB1	-0.0551666666666667
ZG16	-2.02725
MIER1	0.1778
ADAM5P	1.384
CHD9	0.0489375
STK16	0.70325
KIAA1486	-1.0155
TOB2	1.1725
BANK1	1.66425
OR2V2	0.03675
GRM2	-0.170166666666667
PROSC	0.792375
SPIN2B	1.1685
PIR	-0.627222222222222
IPO9	0.0247
EVC	0.614333333333333
CXCL13	0.711666666666667
KIAA1199	-3.0818
SORL1	1.6055
NAT10	0.26875
CHD1	-0.0815
SYN3	-0.348
SLC22A2	-1.024
SERPINF1	-0.538666666666667
WDR34	0.35225
OR7A17	0.254
C9orf11	-0.0620000000000001
RNF216L	0.3379
LHB	-0.1425
STK25	-0.556125
TAOK3	0.467375
LOC152573	-2.8135
C3orf39	0.016375
C14orf108	0.1016
CDC25B	-1.19072727272727
BMP3	-1.2365
TMEM180	-0.065
MAP1LC3C	0.14975
CRYGC	-0.3575
POU3F1	-1.2663
C20orf32	-1.4325
CCDC95	-0.3865
HIGD1B	4.81375
USP6NL	0.716
ABCD4	-0.207
DIMT1L	-1.45408333333333
TEK	1.017875
SLC25A46	-1.3015
LARP7	-1.5289
CD160	0.1775
MT1JP	-1.272
PHF20	0.1135
CPNE4	-1.7085
GTPBP1	-0.405
RAB33B	0.505
ALDOC	-2.86725
ZNF212	0.19875
NUDT1	-0.206333333333333
RFPL2	0.29625
ZNF83	-0.0445
GDPD5	-0.50325
PDCD4	0.9149
CEP350	0.86
OR10A2	0.265
CST7	-0.308
CIAO1	-0.6925
SELL	0.069625
OR8J3	0.193
LTBP4	-0.465
SIRT6	-0.3095
CCL19	5.1165
PPIL1	-0.715833333333333
GBP7	-0.509333333333333
STK17A	-1.203
ABR	-0.21425
OR9G1	-0.397
FOXE1	-0.89175
CNGA3	1.0365
GML	0.84
CD38	-4.53725
ZDHHC6	-0.485333333333333
NEFH	-2.4195
CTDSP2	0.179
PGBD5	-2.44666666666667
CCNY	0.774857142857143
RMND5B	0.445083333333333
ZNF257	-1.53025
FLJ22167	-0.114125
EXOSC7	-0.4025
ROR2	0.521375
MAOA	0.686
TNNT3	1.239
GYPC	-1.98675
C7orf33	0.839
PLIN	4.2085
LOC90826	-0.803
RNF4	-0.6071
F8A1	0.358333333333333
PLEKHG4	-1.029
GRB2	-0.27965
HIST1H2AD	2.212
DUS3L	-1.33933333333333
EIF1	-0.7475
RP5-1077B9.4	-1.554
FPGT	1.3625
GDF10	-0.445
COQ9	-0.29275
GCC2	0.803285714285714
RARRES3	3.590375
PLXNA1	-0.9734
KIAA0100	-0.6108
PMF1	0.39875
FNDC1	4.77175
HS2ST1	-0.800916666666667
CRELD2	1.26225
C8G	-1.8705
CD82	1.1525
LIM2	-1.864
UNQ6490	-0.118
MMP16	-0.63375
DRD3	-0.54125
C5orf26	-1.6045
C11orf73	-0.730125
PTP4A2	1.64325
OR4M2	0.335
HPCA	-1.51416666666667
SEC14L1	-1.16433333333333
CHFR	-0.84775
EMILIN1	0.542125
NDUFS4	-0.52
COL18A1	-1.125
PDZD3	0.1752
C9orf16	-0.2385
ERBB2IP	0.235333333333333
EMX2	2.611
FUS	-1.167
TF	-3.767
CLCN4	-1.01566666666667
CXorf56	0.483
C11orf72	0.168
ELAC2	-0.839833333333333
NPR1	-1.269
ASS1	-2.61516666666667
USP42	0.7825
POLR2J	0.329
SEC23IP	1.52716666666667
UQCRC1	-0.88975
LOC729603	-0.73925
C1orf71	0.6865
POLG	-1.982
ADAM23	-3.82825
TFR2	-1.3675
RICTOR	-1.5831
MGC39606	-0.56375
C19orf55	0.06025
SNAPC1	-0.823833333333333
GNA11	0.445625
CCDC52	0.291
FSIP1	4.131
UPF3A	-0.21725
IGSF11	-2.55533333333333
LAGE3	1.117
CHST6	-1.4685
UNC13B	0.942875
TTLL4	-0.30275
ZNF687	0.656875
SDC2	-2.367
COX7A2	0.23725
LAMB4	0.22525
FAM24A	-0.3435
