Hybridization REF	TCGA-A2-A0EO-01A-11R-A034-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.143333333333333
CREB3L1	0.88325
RPS11	0.578875
PNMA1	0.371
MMP2	1.208
C10orf90	-1.65325
ZHX3	-0.141833333333333
ERCC5	0.17825
GPR98	0.357875
RXFP3	0.0055
APBB2	1.58925
PRO0478	-1.32675
KLHL13	-0.81575
PRSSL1	-0.7575
PDCL3	-0.251833333333333
DECR1	-0.0955
SALL1	-2.72916666666667
CADM4	0.925
RPS18	0.227142857142857
HNRPD	-0.901
CFHR5	1.3668
SLC10A7	0.3185
OR2K2	-0.488
LMAN1	-0.87425
SUHW1	-3.36425
CHD8	-0.0267
SUMO1	0.4688
GP1BA	0.9107
DDB1	0.0271666666666667
MYO9B	-0.202
MMP7	7.70975
CRNKL1	0.607125
C9orf45	-1.59966666666667
XAB2	0.209625
RTN1	2.87125
KLHL14	-0.753285714285714
TBX10	-1.323
CENPQ	-2.4415
UTY	-1.58746153846154
ZBTB12	-0.2055
DTNBP1	-0.866125
KBTBD8	-1.06183333333333
ZEB1	1.86533333333333
ZG16	-2.77275
MIER1	0.8718
ADAM5P	1.43
CHD9	0.019375
STK16	1.12825
KIAA1486	-0.001
TOB2	1.255
BANK1	3.45275
OR2V2	-0.85725
GRM2	0.110166666666667
PROSC	0.50725
SPIN2B	0.193
PIR	-2.63388888888889
IPO9	-0.5325
EVC	1.26083333333333
CXCL13	6.05183333333333
KIAA1199	-1.3754
SORL1	2.016
NAT10	-0.20375
CHD1	-0.1235
SYN3	-0.8135
SLC22A2	-0.8285
SERPINF1	1.1375
WDR34	-0.4515
OR7A17	-0.266
C9orf11	-0.0645
RNF216L	-0.1701
LHB	-0.1205
STK25	-0.539125
TAOK3	1.3615
LOC152573	-2.32375
C3orf39	0.421875
C14orf108	0.0564
CDC25B	-1.887
BMP3	0.344
TMEM180	-0.278
MAP1LC3C	0.701
CRYGC	-0.652
POU3F1	-1.2655
C20orf32	-1.235
CCDC95	-0.616
HIGD1B	4.91025
USP6NL	-0.11875
ABCD4	0.172
DIMT1L	-0.609333333333333
TEK	1.68571428571429
SLC25A46	-0.50425
LARP7	-1.261
CD160	0.43
MT1JP	0.36
PHF20	0.084625
CPNE4	-2.38633333333333
GTPBP1	-0.524928571428571
RAB33B	1.5505
ALDOC	-2.5135
ZNF212	-0.159
NUDT1	-1.19
RFPL2	-0.6855
ZNF83	-0.725666666666667
GDPD5	-1.365125
PDCD4	2.23815
CEP350	0.13025
OR10A2	0.698
CST7	0.83775
CIAO1	-1.2725
SELL	1.409
OR8J3	0.0345000000000001
LTBP4	-0.0555
SIRT6	-0.20575
CCL19	5.1295
PPIL1	-1.54883333333333
GBP7	-0.0766666666666666
STK17A	-0.6274
ABR	0.05025
OR9G1	0.8255
FOXE1	-0.659625
CNGA3	2.932
GML	-0.0425
CD38	-1.73425
ZDHHC6	0.0135
NEFH	-0.6375
CTDSP2	0.991666666666667
PGBD5	-1.221
CCNY	0.453571428571429
RMND5B	0.762083333333333
ZNF257	-1.872
FLJ22167	-0.327125
EXOSC7	-0.4305
ROR2	1.65275
MAOA	-0.11825
TNNT3	0.899
GYPC	-0.8445
C7orf33	0.08
PLIN	2.9925
LOC90826	-0.30425
RNF4	-0.1518
F8A1	0.605333333333333
PLEKHG4	-2.34575
GRB2	0.306
HIST1H2AD	2.4115
DUS3L	-0.899333333333333
EIF1	-0.324833333333333
RP5-1077B9.4	-1.7505
FPGT	1.27275
GDF10	0.74
COQ9	-0.7015
GCC2	0.203571428571429
RARRES3	3.42075
PLXNA1	-0.5051
KIAA0100	-0.2984
PMF1	-0.39475
FNDC1	6.102
HS2ST1	0.369416666666667
CRELD2	0.274
C8G	-2.7395
CD82	1.74375
LIM2	-0.6885
UNQ6490	0.254
MMP16	0.088
DRD3	-0.52275
C5orf26	0.18325
C11orf73	-0.114125
PTP4A2	1.18875
OR4M2	1.2545
HPCA	-1.411
SEC14L1	-0.985166666666667
CHFR	-0.471625
EMILIN1	1.32125
NDUFS4	-0.3295
COL18A1	0.6435
PDZD3	0.0457
C9orf16	-0.306333333333333
ERBB2IP	0.5925
EMX2	4.52925
FUS	-1.09175
TF	-3.6981
CLCN4	-0.725833333333333
CXorf56	-0.26275
C11orf72	0.52475
ELAC2	-0.79475
NPR1	-0.55775
ASS1	-1.90333333333333
USP42	0.266125
POLR2J	-1.1245
SEC23IP	0.8075
UQCRC1	-0.5145
LOC729603	-1.41775
C1orf71	0.1405
POLG	-2.9085
ADAM23	-2.967
TFR2	-1.4705
RICTOR	-0.5842
MGC39606	1.0325
C19orf55	-0.235625
SNAPC1	-0.881333333333333
GNA11	0.606375
CCDC52	0.0413333333333333
FSIP1	5.631
UPF3A	-0.535375
IGSF11	-2.84716666666667
LAGE3	0.111
CHST6	-1.7575
UNC13B	-0.036875
TTLL4	-1.39425
ZNF687	0.5035
SDC2	0.4298
COX7A2	-1.05125
LAMB4	-0.453
FAM24A	-0.7905
LRRTM3	-0.642833333333333
GPHB5	0.1605
OR4C13	1.0825
EIF3EIP	0.246785714285714
HABP4	-0.289
TMEM125	3.022
CNTN2	-0.149857142857143
ASNSD1	-0.0845
FUT4	-0.353125
ACF	-4.45125
LOC158381	-0.235
CDH8	-0.02
AGPS	-1.68266666666667
C4orf18	3.70425
PECI	0.213666666666667
UNG	-0.6475
GSTP1	-1.414
DCUN1D5	-1.083
DKFZP564J0863	-1.10125
SLC9A3R1	1.405875
BCDO2	-1.43075
CHMP7	0.127125
REM2	-0.411
DNHD1	-1.3115
FKBP4	-0.0506249999999999
ZNF350	1.874
MGC11102	-0.013625
BST1	1.46825
KISS1R	0.8925
NCR2	-0.7355
DEFB125	0.7885
UBE2W	1.33425
KRT15	4.193875
C10orf99	0.2045
SCN11A	0.205875
GFI1	-1.9755
RDHE2	5.17483333333333
FHL1	-0.178666666666667
OSGEP	-0.361666666666667
GATA1	-3.4425
SMC6	-1.075
TTTY14	-1.43825
LPIN3	-0.17575
RPL4	-0.3211
RBPMS	1.1793
PRPF3	-0.924
EMR1	-0.895
SPATA19	-0.5555
XCR1	0.3725
IRX3	1.416
RBM6	-1.424
KLF4	-0.5718
UNC5CL	-1.74925
SEBOX	0.2105
BTK	-0.01075
KRCC1	1.13775
C6orf27	0.5215
SYTL5	-0.558
PRND	2.13875
LOC653319	-2.0425
PIGL	-2.131
HUS1	-0.509333333333333
SFRS6	-0.574333333333333
C17orf77	0.8965
UIMC1	-0.318333333333333
FXYD2	-1.9342
LOC283152	-0.46375
ZNF667	-0.22225
ZCCHC12	-0.83575
TFEC	2.9457
ATP7B	0.025
POLD2	-1.45166666666667
RG9MTD1	-0.376
ACOT2	0.860166666666667
HIST1H4I	-0.410625
PPARGC1A	-1.655
ETFA	-1.86
POLRMT	-0.43525
ZNF146	-0.0795
MIA2	-2.54
KLHL6	-1.13466666666667
HOXB5	-0.633375
