Hybridization REF	TCGA-A2-A0EV-01A-11R-A034-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.467916666666667
CREB3L1	0.50375
RPS11	0.05625
PNMA1	-0.119
MMP2	1.06416666666667
C10orf90	-1.8425
ZHX3	0.478
ERCC5	-0.4125
GPR98	-2.087125
RXFP3	0.0275
APBB2	1.8675
PRO0478	-0.66325
KLHL13	-1.15025
PRSSL1	1.368
PDCL3	0.0723333333333333
DECR1	-0.35025
SALL1	-3.0825
CADM4	0.583166666666667
RPS18	-0.311642857142857
HNRPD	-0.759916666666667
CFHR5	0.356666666666667
SLC10A7	-0.0565
OR2K2	0.783
LMAN1	-0.944625
SUHW1	-3.58
CHD8	-0.1577
SUMO1	0.2733
GP1BA	0.0743
DDB1	-0.0045
MYO9B	-0.1151
MMP7	6.564
CRNKL1	0.799625
C9orf45	-1.54533333333333
XAB2	-0.138
RTN1	2.828
KLHL14	-2.174
TBX10	-1.6145
CENPQ	-1.65325
UTY	-1.28742857142857
ZBTB12	-0.9605
DTNBP1	0.55175
KBTBD8	-1.03033333333333
ZEB1	0.742166666666667
ZG16	-1.89325
MIER1	0.9795
ADAM5P	0.0425
CHD9	0.384625
STK16	1.0605
KIAA1486	0.31
TOB2	1.11041666666667
BANK1	2.90375
OR2V2	1.06725
GRM2	-0.176
PROSC	0.65225
SPIN2B	0.3055
PIR	-1.12088888888889
IPO9	-0.1257
EVC	0.9525
CXCL13	4.47483333333333
KIAA1199	-0.3654
SORL1	1.019
NAT10	-1.258
CHD1	0.92025
SYN3	-0.2755
SLC22A2	-0.7825
SERPINF1	0.946833333333334
WDR34	-1.403
OR7A17	0.654
C9orf11	0.218
RNF216L	0.013
LHB	0.1755
STK25	-0.71
TAOK3	0.979375
LOC152573	-2.395
C3orf39	0.28375
C14orf108	0.7985
CDC25B	-1.66427272727273
BMP3	1
TMEM180	-0.5235
MAP1LC3C	-0.13375
CRYGC	-0.9045
POU3F1	-2.0413
C20orf32	-1.0975
CCDC95	-0.319
HIGD1B	4.29925
USP6NL	0.118875
ABCD4	-0.236333333333333
DIMT1L	-0.85775
TEK	1.275625
SLC25A46	0.32675
LARP7	-1.3634
CD160	0.544333333333333
MT1JP	-0.124166666666667
PHF20	0.4388125
CPNE4	-3.47
GTPBP1	-0.53
RAB33B	1.174
ALDOC	-1.83375
ZNF212	-0.0565
NUDT1	-0.3935
RFPL2	-0.10875
ZNF83	-0.5215
GDPD5	-0.6055
PDCD4	1.46715
CEP350	0.209
OR10A2	0.088
CST7	1.82875
CIAO1	-1.091
SELL	2.0445
OR8J3	-2.6595
LTBP4	-0.757166666666667
SIRT6	-0.3765
CCL19	4.76825
PPIL1	-0.421833333333333
GBP7	0.0715
STK17A	-0.9657
ABR	0.13025
OR9G1	3.078
FOXE1	-0.62
CNGA3	-2.3965
GML	0.5035
CD38	-1.65575
ZDHHC6	0.1915
NEFH	-2.2475
CTDSP2	0.513833333333333
PGBD5	-1.254
CCNY	0.463785714285714
RMND5B	1.33966666666667
ZNF257	-0.14675
FLJ22167	-1.400375
EXOSC7	-0.0706666666666667
ROR2	0.755375
MAOA	0.16925
TNNT3	0.5745
GYPC	-0.86675
C7orf33	-0.6285
PLIN	4.0865
LOC90826	0.0235
RNF4	-0.1157
F8A1	0.858666666666667
PLEKHG4	-1.924
GRB2	0.491
HIST1H2AD	-0.35175
DUS3L	-1.1595
EIF1	0.1585
RP5-1077B9.4	-1.76733333333333
FPGT	1.33
GDF10	0.110833333333333
COQ9	-0.02925
GCC2	0.204928571428571
RARRES3	3.38
PLXNA1	-1.0189
KIAA0100	0.6235
PMF1	0.37725
FNDC1	5.8
HS2ST1	0.0446666666666667
CRELD2	0.66475
C8G	-2.726
CD82	1.332
LIM2	-0.878
UNQ6490	0.502
MMP16	-0.494
DRD3	0.02925
C5orf26	-0.621
C11orf73	-0.219625
PTP4A2	1.680875
OR4M2	-0.8605
HPCA	-1.605
SEC14L1	-0.105166666666667
CHFR	-0.0809999999999999
EMILIN1	0.918625
NDUFS4	0.1925
COL18A1	0.112125
PDZD3	-0.7258
C9orf16	0.0586666666666667
ERBB2IP	0.625333333333333
EMX2	2.968
FUS	-1.42
TF	-4.1232
CLCN4	-1.38766666666667
CXorf56	-0.065
C11orf72	0.25675
ELAC2	-0.768
NPR1	-1.21075
ASS1	-2.529
USP42	0.246375
