Hybridization REF	TCGA-AN-A0FS-01A-11R-A034-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.14375
CREB3L1	0.4545
RPS11	0.39075
PNMA1	0.61275
MMP2	0.42
C10orf90	-1.32575
ZHX3	0.0176666666666667
ERCC5	-0.096
GPR98	0.5795
RXFP3	0.1345
APBB2	2.09025
PRO0478	-0.808
KLHL13	-0.26375
PRSSL1	-1.16183333333333
PDCL3	-0.533166666666667
DECR1	0.04375
SALL1	-3.107
CADM4	0.374166666666667
RPS18	0.499857142857143
HNRPD	-0.27825
CFHR5	0.5168
SLC10A7	0.570125
OR2K2	-0.086
LMAN1	-0.8665
SUHW1	-3.80975
CHD8	-0.1823
SUMO1	0.7326
GP1BA	-0.0666
DDB1	-0.022
MYO9B	-1.3356
MMP7	5.99425
CRNKL1	0.55825
C9orf45	-1.41916666666667
XAB2	-0.350375
RTN1	1.51525
KLHL14	-1.220875
TBX10	-2.554
CENPQ	-0.72575
UTY	-1.89984615384615
ZBTB12	0.013
DTNBP1	0.581
KBTBD8	-1.94483333333333
ZEB1	1.24966666666667
ZG16	-2.18
MIER1	0.9367
ADAM5P	-0.5125
CHD9	-0.33375
STK16	-0.28825
KIAA1486	-0.7375
TOB2	1.0575
BANK1	1.2675
OR2V2	0.5245
GRM2	-0.653666666666667
PROSC	-0.02925
SPIN2B	0.63375
PIR	-2.65122222222222
IPO9	-0.2239
EVC	1.49483333333333
CXCL13	2.989
KIAA1199	-3.6884
SORL1	1.613
NAT10	-0.75025
CHD1	-0.44675
SYN3	-0.30175
SLC22A2	-0.14125
SERPINF1	0.552
WDR34	-0.70425
OR7A17	-0.20675
C9orf11	0.384
RNF216L	0.0434
LHB	-0.228
STK25	-0.3295
TAOK3	0.31375
LOC152573	-1.8655
C3orf39	1.079
C14orf108	0.6626
CDC25B	-2.60454545454545
BMP3	-0.12
TMEM180	-0.1715
MAP1LC3C	3.185
CRYGC	-0.704
POU3F1	-2.8274
C20orf32	-0.987
CCDC95	-0.706
HIGD1B	4.9375
USP6NL	-0.4825
ABCD4	-0.0543333333333333
DIMT1L	-0.6575
TEK	2.03675
SLC25A46	-0.54525
LARP7	-1.3525
CD160	0.0193333333333334
MT1JP	-0.490166666666667
PHF20	-0.215875
CPNE4	-1.50025
GTPBP1	-0.191785714285714
RAB33B	1.1805
ALDOC	-2.262125
ZNF212	-0.01625
NUDT1	-0.876833333333333
RFPL2	-0.034
ZNF83	-0.288666666666667
GDPD5	-0.498375
PDCD4	2.2766
CEP350	0.17
OR10A2	0.2815
CST7	-0.932
CIAO1	-1.33475
SELL	0.70575
OR8J3	-1.176
LTBP4	0.0451666666666667
SIRT6	-0.24775
CCL19	3.44775
PPIL1	-1.255
GBP7	0.6336
STK17A	-1.3907
ABR	0.28175
OR9G1	0.782
FOXE1	-0.837125
CNGA3	0.188
GML	0.1475
CD38	-4.66525
ZDHHC6	0.246
NEFH	0.4405
CTDSP2	1.26158333333333
PGBD5	-1.07183333333333
CCNY	0.345428571428571
RMND5B	0.713666666666667
ZNF257	-0.0895
FLJ22167	-0.75825
EXOSC7	-0.506166666666667
ROR2	1.1955
MAOA	0.811125
TNNT3	3.43416666666667
GYPC	-0.20175
C7orf33	1.0865
PLIN	4.52283333333333
LOC90826	0.062
RNF4	-0.3572
F8A1	0.518166666666667
PLEKHG4	-0.17025
GRB2	1.06815
HIST1H2AD	0.10325
DUS3L	-0.681
EIF1	-0.417166666666667
RP5-1077B9.4	-1.426
FPGT	1.89225
GDF10	3.90533333333333
COQ9	-0.9545
GCC2	-0.292857142857143
RARRES3	2.87575
PLXNA1	-0.7357
KIAA0100	-0.1028
PMF1	0.3425
FNDC1	5.917
HS2ST1	-0.0556666666666667
CRELD2	0.48425
C8G	-2.103
CD82	0.82525
LIM2	-0.8995
UNQ6490	-0.918
MMP16	0.54975
DRD3	-0.429
C5orf26	-0.17075
C11orf73	-0.589375
PTP4A2	1.31325
OR4M2	-0.679
HPCA	-2.0505
SEC14L1	-0.775333333333334
CHFR	-0.717625
EMILIN1	0.5595
NDUFS4	-0.222
COL18A1	0.562
PDZD3	0.1871
C9orf16	-0.332666666666667
ERBB2IP	0.368833333333333
EMX2	4.69875
FUS	-0.6955
TF	-3.8289
CLCN4	0.403833333333333
CXorf56	-0.497
C11orf72	0.1595
ELAC2	-0.115166666666667
NPR1	0.41625
ASS1	-2.18916666666667
USP42	0.1285
POLR2J	-1.2665
SEC23IP	0.506166666666667
UQCRC1	-0.2575
LOC729603	-0.77925
C1orf71	0.636875
POLG	-2.887
ADAM23	-3.433
TFR2	-1.7315
RICTOR	-0.365
MGC39606	1.2705
C19orf55	-0.647375
SNAPC1	-1.1735
GNA11	0.5735
CCDC52	-0.103833333333333
FSIP1	3.2995
UPF3A	-0.846125
IGSF11	-2.55183333333333
LAGE3	0.1235
CHST6	-1.8895
UNC13B	0.613375
TTLL4	-1.193625
ZNF687	1.019875
SDC2	-0.0663
COX7A2	-0.1305
LAMB4	0.085
FAM24A	0.119
LRRTM3	-0.248166666666667
GPHB5	-0.44025
OR4C13	-0.3085
EIF3EIP	0.405642857142857
HABP4	-0.86
TMEM125	3.64775
CNTN2	0.55525
ASNSD1	-0.378
FUT4	-0.549125
ACF	-4.54525
LOC158381	1.241
CDH8	-0.183
AGPS	-2.10133333333333
C4orf18	4.05875
PECI	0.768
UNG	0.0265
GSTP1	0.1815
DCUN1D5	-1.714
DKFZP564J0863	-0.43425
SLC9A3R1	0.021625
BCDO2	-0.749375
CHMP7	-0.51025
REM2	-0.3625
DNHD1	-0.964571428571429
FKBP4	0.08525
