Hybridization REF	TCGA-AN-A0FZ-01A-11R-A034-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.484666666666667
CREB3L1	1.2555
RPS11	0.042625
PNMA1	0.66125
MMP2	-0.530333333333333
C10orf90	-2.1425
ZHX3	-0.0915
ERCC5	-0.02225
GPR98	-0.753285714285714
RXFP3	0.1325
APBB2	2.77125
PRO0478	-0.95925
KLHL13	-2.99675
PRSSL1	0.240166666666667
PDCL3	0.427833333333333
DECR1	-0.388
SALL1	-1.7845
CADM4	-0.455166666666667
RPS18	-0.345785714285714
HNRPD	-0.889333333333333
CFHR5	0.3436
SLC10A7	0.230125
OR2K2	-0.885
LMAN1	-1.304125
SUHW1	-2.988
CHD8	0.3366
SUMO1	0.6741
GP1BA	-0.2048
DDB1	-0.288666666666667
MYO9B	-0.0127
MMP7	5.35225
CRNKL1	0.89375
C9orf45	-0.362833333333333
XAB2	-0.099875
RTN1	0.294875
KLHL14	-1.949
TBX10	-0.943
CENPQ	-0.89275
UTY	-0.857642857142857
ZBTB12	-0.2605
DTNBP1	0.44675
KBTBD8	-1.88383333333333
ZEB1	0.1215
ZG16	3.175
MIER1	0.7934
ADAM5P	-0.1745
CHD9	-0.6130625
STK16	1.78325
KIAA1486	-0.366
TOB2	1.20675
BANK1	0.687
OR2V2	-0.03725
GRM2	-0.220333333333333
PROSC	0.684
SPIN2B	0.00475
PIR	-1.553
IPO9	-0.5723
EVC	0.62
CXCL13	4.67083333333333
KIAA1199	-0.756
SORL1	-0.63625
NAT10	-0.007
CHD1	-0.967
SYN3	0.73025
SLC22A2	-0.288
SERPINF1	0.748333333333333
WDR34	-0.1425
OR7A17	0.6815
C9orf11	-0.3075
RNF216L	0.2792
LHB	0.047
STK25	-0.56675
TAOK3	0.805375
LOC152573	-2.72975
C3orf39	0.494375
C14orf108	0.5835
CDC25B	-0.873454545454545
BMP3	-0.029
TMEM180	-0.4805
MAP1LC3C	0.52825
CRYGC	-0.7595
POU3F1	-1.6644
C20orf32	-1.205
CCDC95	-0.0405
HIGD1B	4.87725
USP6NL	0.06625
ABCD4	0.147333333333333
DIMT1L	-1.2395
TEK	1.96328571428571
SLC25A46	-1.1335
LARP7	-1.5763
CD160	-0.387666666666667
MT1JP	-1.57683333333333
PHF20	0.401
CPNE4	-1.048
GTPBP1	-0.976642857142857
RAB33B	1.49166666666667
ALDOC	-2.333
ZNF212	0.00425000000000001
NUDT1	-1.3125
RFPL2	-0.32475
ZNF83	-0.269666666666667
GDPD5	1.3325
PDCD4	-0.2418
CEP350	-0.38275
OR10A2	0.431
CST7	-1.158
CIAO1	-0.269
SELL	1.21275
OR8J3	0.5045
LTBP4	-0.517833333333333
SIRT6	0.27775
CCL19	2.0655
PPIL1	-1.32666666666667
GBP7	0.386333333333333
STK17A	-1.5214
ABR	0.17575
OR9G1	0.022
FOXE1	-0.47
CNGA3	0.505
GML	0.1485
CD38	-4.2
ZDHHC6	-0.5675
NEFH	-1.749
CTDSP2	1.44025
PGBD5	-2.32966666666667
CCNY	0.363428571428571
RMND5B	0.817
ZNF257	-1.173
FLJ22167	-1.427
EXOSC7	-0.834333333333333
ROR2	-0.110375
MAOA	0.373375
TNNT3	1.341
GYPC	-1.469
C7orf33	0.798
PLIN	3.08816666666667
LOC90826	-0.47275
RNF4	0.4942
F8A1	0.313833333333333
PLEKHG4	-1.339
GRB2	0.13125
HIST1H2AD	-1.21175
DUS3L	-1.043
EIF1	0.179
RP5-1077B9.4	-0.801666666666667
FPGT	1.45525
GDF10	-0.136666666666667
COQ9	-0.29925
GCC2	-0.359928571428571
RARRES3	3.512375
PLXNA1	-0.2596
KIAA0100	0.1862
PMF1	-0.25025
FNDC1	5.9785
HS2ST1	0.0948333333333333
CRELD2	-0.12625
C8G	-2.2055
CD82	-0.29975
LIM2	-0.617
UNQ6490	-0.427
MMP16	-0.35225
DRD3	-0.21175
C5orf26	-0.96625
C11orf73	1.3075
PTP4A2	1.602875
OR4M2	0.00949999999999999
HPCA	-0.294
SEC14L1	-0.300333333333333
CHFR	-0.265125
EMILIN1	0.8915
NDUFS4	-1.26725
COL18A1	0.890625
PDZD3	-0.3507
C9orf16	-0.0216666666666667
ERBB2IP	-0.3055
EMX2	4.408
FUS	-1.2885
TF	-4.1212
CLCN4	-0.93
CXorf56	0.32375
C11orf72	0.2215
ELAC2	-0.873916666666667
NPR1	-0.373
ASS1	-0.606166666666667
USP42	-0.210625
POLR2J	-0.896
SEC23IP	0.423666666666667
UQCRC1	-0.4185
LOC729603	-0.47175
C1orf71	-0.1585
POLG	-2.202
ADAM23	-3.64225
TFR2	-0.9455
RICTOR	-1.2821
MGC39606	-0.13675
C19orf55	-0.402125
SNAPC1	-0.622666666666667
GNA11	0.617375
CCDC52	0.916833333333333
FSIP1	4.1275
UPF3A	-0.2005
IGSF11	-2.5002
LAGE3	-0.362
CHST6	-0.9
UNC13B	-0.508375
TTLL4	-1.472
ZNF687	0.2885
SDC2	-0.4635
COX7A2	0.465
LAMB4	0.15125
FAM24A	0.822
LRRTM3	-1.02483333333333
GPHB5	0.28325
OR4C13	1.0905
EIF3EIP	-0.633071428571429
HABP4	-1.357
TMEM125	4.295
CNTN2	-0.554375
ASNSD1	-0.45625
FUT4	-1.150625
ACF	-3.653
LOC158381	0.888
CDH8	-0.5265
AGPS	-0.553166666666667
C4orf18	4.126625
PECI	-0.933666666666667
UNG	-0.851625
GSTP1	-2.663375
