Hybridization REF	TCGA-AN-A0G0-01A-11R-A034-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.555
CREB3L1	0.2175
RPS11	0.427375
PNMA1	-1.0245
MMP2	-0.0781666666666666
C10orf90	0.5815
ZHX3	-0.814833333333333
ERCC5	-1.13675
GPR98	-1.725875
RXFP3	0.4645
APBB2	0.81325
PRO0478	-1.53175
KLHL13	-0.898
PRSSL1	-1.00516666666667
PDCL3	-0.145333333333333
DECR1	0.65075
SALL1	-2.949
CADM4	1.61666666666667
RPS18	0.148571428571429
HNRPD	-0.454
CFHR5	-0.774
SLC10A7	0.58775
OR2K2	-1.336
LMAN1	1.819
SUHW1	-2.149
CHD8	-0.7481
SUMO1	0.4511
GP1BA	-0.4537
DDB1	-0.495166666666667
MYO9B	-0.0158
MMP7	7.30625
CRNKL1	0.119
C9orf45	-1.865
XAB2	0.068
RTN1	2.49475
KLHL14	0.58425
TBX10	-0.9365
CENPQ	-1.52775
UTY	-2.15461538461538
ZBTB12	0.11
DTNBP1	-0.195875
KBTBD8	-0.501666666666667
ZEB1	-0.823666666666667
ZG16	-1.817
MIER1	0.3068
ADAM5P	0.923
CHD9	0.193
STK16	1.32175
KIAA1486	-0.637
TOB2	1.41625
BANK1	3.41225
OR2V2	0.2905
GRM2	0.228333333333333
PROSC	-0.243
SPIN2B	-0.94725
PIR	-1.65088888888889
IPO9	-0.2082
EVC	0.536666666666667
CXCL13	5.26166666666667
KIAA1199	0.8938
SORL1	1.152
NAT10	-0.8115
CHD1	-0.532
SYN3	0.136
SLC22A2	-1.0135
SERPINF1	0.0456666666666667
WDR34	-0.423
OR7A17	0.40025
C9orf11	-0.7055
RNF216L	0.168
LHB	0.182
STK25	-0.209
TAOK3	-0.092
LOC152573	1.55975
C3orf39	0.2975
C14orf108	0.8523
CDC25B	-1.19672727272727
BMP3	0.203
TMEM180	0.099
MAP1LC3C	0.02675
CRYGC	-0.73
POU3F1	-1.3887
C20orf32	-0.897
CCDC95	-0.4275
HIGD1B	4.022
USP6NL	1.442375
ABCD4	-0.364833333333333
DIMT1L	-0.898416666666667
TEK	0.802
SLC25A46	-0.647
LARP7	-1.5226
CD160	0.6285
MT1JP	-0.365166666666667
PHF20	-0.967
CPNE4	-1.688
GTPBP1	-0.0447142857142857
RAB33B	0.542333333333333
ALDOC	1.163
ZNF212	-0.148
NUDT1	0.318
RFPL2	-0.232
ZNF83	-1.04283333333333
GDPD5	0.42575
PDCD4	1.28185
CEP350	0.1765
OR10A2	0.1875
CST7	-0.00799999999999999
CIAO1	-0.4605
SELL	0.277625
OR8J3	-0.706
LTBP4	-1.3405
SIRT6	0.13625
CCL19	1.794
PPIL1	-0.5655
GBP7	-0.226
STK17A	0.0502
ABR	-1.24875
OR9G1	-0.104
FOXE1	-0.916875
CNGA3	0.344
GML	0.5285
CD38	-0.6415
ZDHHC6	0.363333333333333
NEFH	1.51625
CTDSP2	-0.164083333333333
PGBD5	-1.98616666666667
CCNY	0.283785714285714
RMND5B	-0.356416666666667
ZNF257	-4.44425
FLJ22167	-0.131875
EXOSC7	-0.591166666666667
ROR2	0.137
MAOA	-0.03075
TNNT3	-0.213
