Hybridization REF	TCGA-BH-A0HQ-01A-11R-A034-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.364833333333333
CREB3L1	1.837
RPS11	0.864875
PNMA1	-0.06075
MMP2	0.671666666666667
C10orf90	-1.638
ZHX3	0.0978333333333333
ERCC5	0.239
GPR98	-2.126
RXFP3	-0.053
APBB2	2.00475
PRO0478	-1.27625
KLHL13	-1.21075
PRSSL1	-0.9925
PDCL3	0.0455
DECR1	0.2425
SALL1	-2.7305
CADM4	1.17
RPS18	1.008
HNRPD	-0.801
CFHR5	0.50775
SLC10A7	0.069125
OR2K2	null
LMAN1	-0.659
SUHW1	-3.72066666666667
CHD8	-0.1197
SUMO1	0.5722
GP1BA	-0.00379999999999998
DDB1	-0.820833333333333
MYO9B	-0.5539
MMP7	7.747
CRNKL1	1.1675
C9orf45	-1.13783333333333
XAB2	0.331875
RTN1	0.607714285714286
KLHL14	-1.838375
TBX10	-1.2995
CENPQ	-1.3915
UTY	-1.763
ZBTB12	-1.5465
DTNBP1	0.3085
KBTBD8	-1.314
ZEB1	-0.0361666666666667
ZG16	-2.257
MIER1	0.4935
ADAM5P	null
CHD9	-0.6754375
STK16	1.46375
KIAA1486	-0.5935
TOB2	0.553666666666667
BANK1	1.3825
OR2V2	-0.433
GRM2	-0.100166666666667
PROSC	0.029
SPIN2B	1.2275
PIR	-2.35655555555556
IPO9	-0.78
EVC	0.941166666666667
CXCL13	3.34116666666667
KIAA1199	-1.0072
SORL1	1.8245
NAT10	-0.97675
CHD1	-0.51125
SYN3	-1.4575
SLC22A2	-0.522
SERPINF1	0.5395
WDR34	-0.67575
OR7A17	-0.36
C9orf11	0.947
RNF216L	0.1119
LHB	-0.063
STK25	-1.16175
TAOK3	0.567
LOC152573	-3.2715
C3orf39	0.58425
C14orf108	0.2923
CDC25B	-2.60381818181818
BMP3	-0.124
TMEM180	-0.351
MAP1LC3C	0.41675
CRYGC	-0.8905
POU3F1	-1.4216
C20orf32	-1.8245
CCDC95	-0.182
HIGD1B	5.913
USP6NL	0.15125
ABCD4	-0.4275
DIMT1L	-0.52975
TEK	1.41975
SLC25A46	-0.348
LARP7	-1.2512
CD160	0.7815
MT1JP	-0.592333333333333
PHF20	-0.0825
CPNE4	-1.278
GTPBP1	-0.649285714285714
RAB33B	1.258
ALDOC	-2.87525
ZNF212	-0.0385
NUDT1	-0.784
RFPL2	-0.71525
ZNF83	0.1835
GDPD5	-1.26025
PDCD4	2.88875
CEP350	0.77375
OR10A2	0.17975
CST7	0.014
CIAO1	-1.146
SELL	0.587142857142857
OR8J3	1.785
LTBP4	-0.5335
SIRT6	-0.1405
CCL19	4.719
PPIL1	-0.569333333333333
GBP7	0.396
STK17A	-1.2281
ABR	0.683
OR9G1	-0.141
FOXE1	-0.8975
CNGA3	-1.141
GML	0.337
CD38	-3.3245
ZDHHC6	-0.081
NEFH	-0.51275
CTDSP2	0.0630833333333333
PGBD5	-1.52716666666667
CCNY	-0.0430714285714286
RMND5B	0.180833333333333
ZNF257	-1.096
FLJ22167	-0.840625
EXOSC7	-0.705166666666667
ROR2	0.48925
MAOA	-1.442875
TNNT3	1.4285
GYPC	-1.36675
C7orf33	0.495
PLIN	1.868
LOC90826	0.1875
RNF4	-0.2884
F8A1	0.0481666666666667
PLEKHG4	-1.99725
GRB2	-0.52535
HIST1H2AD	0.2355
DUS3L	-0.835166666666667
EIF1	0.125166666666667
RP5-1077B9.4	-1.52516666666667
FPGT	1.887
GDF10	0.0743333333333334
COQ9	-0.808
GCC2	0.00178571428571429
RARRES3	3.14
PLXNA1	-0.7873
KIAA0100	0.0817
PMF1	0.53475
FNDC1	6.14775
HS2ST1	-0.29075
CRELD2	-0.13175
C8G	-2.106
CD82	1.2465
LIM2	-1.887
UNQ6490	0.661
MMP16	-0.90275
DRD3	0.31125
C5orf26	-0.013
C11orf73	0.0681249999999999
PTP4A2	0.94975
OR4M2	-1.491
HPCA	-2.03016666666667
SEC14L1	-1.09766666666667
CHFR	-0.861125
EMILIN1	1.139
NDUFS4	0.2735
COL18A1	0.27825
PDZD3	-0.6587
C9orf16	-0.358
ERBB2IP	0.103166666666667
EMX2	4.762
FUS	-1.39975
TF	-4.434
CLCN4	-0.839833333333333
CXorf56	0.11875
C11orf72	-0.149
ELAC2	-0.124666666666667
NPR1	-1.29275
ASS1	-2.54133333333333
USP42	-0.23875
POLR2J	-1.0945
SEC23IP	1.0425
UQCRC1	-0.7395
LOC729603	-0.87725
C1orf71	-0.02625
POLG	-2.285
ADAM23	-3.12025
TFR2	-1.1355
RICTOR	-1.10677777777778
MGC39606	1.01525
C19orf55	-0.297625
SNAPC1	-1.3045
GNA11	0.607875
CCDC52	0.0498333333333333
FSIP1	5.1805
UPF3A	-0.512125
IGSF11	-2.44633333333333
LAGE3	0.75025
CHST6	-0.9005
UNC13B	0.3445
TTLL4	-1.001875
ZNF687	0.6845
SDC2	-0.7298
COX7A2	0.361
LAMB4	-0.59525
FAM24A	-0.0765
