Hybridization REF	TCGA-BH-A0HU-01A-11R-A034-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.118083333333333
CREB3L1	0.6325
RPS11	0.78025
PNMA1	-0.07975
MMP2	-0.589166666666667
C10orf90	-1.93725
ZHX3	0.102
ERCC5	-0.32
GPR98	-0.0685
RXFP3	-1.2
APBB2	0.832
PRO0478	-1.027
KLHL13	-2.91825
PRSSL1	-0.769
PDCL3	0.266166666666667
DECR1	0.047875
SALL1	-3.02666666666667
CADM4	0.499
RPS18	0.745071428571429
HNRPD	-0.194833333333333
CFHR5	0.844
SLC10A7	0.110625
OR2K2	1.638
LMAN1	-1.6115
SUHW1	-2.86125
CHD8	0.4264
SUMO1	0.9541
GP1BA	-0.8727
DDB1	0.790166666666667
MYO9B	-0.1006
MMP7	4.74225
CRNKL1	0.6965
C9orf45	-1.00416666666667
XAB2	-0.58825
RTN1	1.56328571428571
KLHL14	-1.251
TBX10	-0.72
CENPQ	-0.43675
UTY	-1.43816666666667
ZBTB12	1.3515
DTNBP1	0.956375
KBTBD8	-2.08233333333333
ZEB1	-1.15016666666667
ZG16	-1.0645
MIER1	1.2467
ADAM5P	2.2305
CHD9	0.3280625
STK16	1.48
KIAA1486	-1.192
TOB2	0.7165
BANK1	1.273
OR2V2	-0.233333333333333
GRM2	-0.0151666666666666
PROSC	-1.184125
SPIN2B	0.31125
PIR	-2.24077777777778
IPO9	0.5538
EVC	0.945333333333333
CXCL13	2.2654
KIAA1199	-1.8989
SORL1	0.499
NAT10	-0.55675
CHD1	0.08925
SYN3	-1.001
SLC22A2	-1.2415
SERPINF1	-0.945333333333333
WDR34	1.29975
OR7A17	0.23675
C9orf11	-1.032
RNF216L	0.4468
LHB	-0.0265
STK25	-0.657125
TAOK3	0.499875
LOC152573	-2.985
C3orf39	0.89825
C14orf108	-0.0498
CDC25B	-1.04581818181818
BMP3	0.5115
TMEM180	-0.952
MAP1LC3C	-0.4865
CRYGC	-2.835
POU3F1	-1.1323
C20orf32	-2.2915
CCDC95	-0.265
HIGD1B	4.248
USP6NL	1.090125
ABCD4	0.046
DIMT1L	-0.82125
TEK	0.94525
SLC25A46	0.094
LARP7	-0.9112
CD160	0.0981666666666666
MT1JP	-1.5995
PHF20	-0.3430625
CPNE4	-1.59566666666667
GTPBP1	-0.531142857142857
RAB33B	1.8465
ALDOC	-2.1755
ZNF212	0.543
NUDT1	-0.2395
RFPL2	-2.11475
ZNF83	-0.606166666666667
GDPD5	-1.296875
PDCD4	2.3616
CEP350	-0.23625
OR10A2	-0.295
CST7	-0.48125
CIAO1	-1.0165
SELL	-0.446125
OR8J3	-0.957
LTBP4	-0.818166666666667
SIRT6	-0.18575
CCL19	4.39575
PPIL1	-0.248666666666667
GBP7	0.110833333333333
STK17A	-1.5028
ABR	0.51675
OR9G1	-0.848
FOXE1	-1.0955
CNGA3	-0.6255
GML	0.8325
CD38	-3.317
ZDHHC6	0.7685
NEFH	-2.806
CTDSP2	0.75325
PGBD5	-2.44633333333333
CCNY	0.631642857142857
RMND5B	1.01491666666667
ZNF257	-0.77125
FLJ22167	-0.845125
EXOSC7	-0.186666666666667
ROR2	1.549
