Hybridization REF	TCGA-BH-A0HW-01A-11R-A034-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.439083333333333
CREB3L1	-0.96875
RPS11	0.890875
PNMA1	0.85925
MMP2	-1.86483333333333
C10orf90	-2.50675
ZHX3	-0.564666666666667
ERCC5	0.15725
GPR98	-0.447
RXFP3	-0.0245
APBB2	0.914
PRO0478	-1.178
KLHL13	-1.4375
PRSSL1	-0.966333333333333
PDCL3	-0.317833333333333
DECR1	-0.50525
SALL1	-5.5645
CADM4	0.301833333333333
RPS18	0.183071428571429
HNRPD	-0.236583333333333
CFHR5	0.8345
SLC10A7	0.15325
OR2K2	0.79
LMAN1	-0.55725
SUHW1	-3.4515
CHD8	-0.0381
SUMO1	0.7219
GP1BA	0.1277
DDB1	0.268833333333333
MYO9B	-0.8285
MMP7	2
CRNKL1	1.270375
C9orf45	-0.333166666666667
XAB2	0.361625
RTN1	1.244
KLHL14	-1.80175
TBX10	-0.921
CENPQ	-1.128
UTY	-1.04130769230769
ZBTB12	1.092
DTNBP1	0.380125
KBTBD8	-1.5215
ZEB1	-1.855
ZG16	-0.692
MIER1	0.0345
ADAM5P	null
CHD9	-0.345733333333333
STK16	1.75225
KIAA1486	-0.26
TOB2	0.800416666666667
BANK1	0.78825
OR2V2	-0.169
GRM2	-0.405833333333333
PROSC	1.655
SPIN2B	1.8195
PIR	-1.71
IPO9	-0.7888
EVC	0.6665
CXCL13	0.654333333333333
KIAA1199	-2.16855555555556
SORL1	1.0975
NAT10	-0.428
CHD1	0.3835
SYN3	0.8705
SLC22A2	-0.99975
SERPINF1	-2.962
WDR34	-0.0545
OR7A17	0.6205
C9orf11	0.758
RNF216L	-0.1248
LHB	0.024
STK25	-0.795875
TAOK3	1.43525
LOC152573	-2.26
C3orf39	0.62925
C14orf108	0.7478
CDC25B	-1.92881818181818
BMP3	0.5135
TMEM180	-0.149
MAP1LC3C	-0.63925
CRYGC	-0.636
POU3F1	-1.5523
C20orf32	-1.4525
CCDC95	-0.6725
HIGD1B	4.95275
USP6NL	-0.099
ABCD4	0.201
DIMT1L	-0.861583333333333
TEK	1.2325
SLC25A46	-0.009
LARP7	-1.2263
CD160	-0.7605
MT1JP	-0.34
PHF20	-0.2454375
CPNE4	-1.01075
GTPBP1	0.0119285714285715
RAB33B	0.304333333333333
ALDOC	-1.444625
ZNF212	0.55775
NUDT1	0.424833333333333
RFPL2	-0.8815
ZNF83	0.415
GDPD5	-2.40375
PDCD4	1.21335
CEP350	-0.5205
OR10A2	0.2695
CST7	-1.231
CIAO1	-0.86275
SELL	-0.243875
OR8J3	-0.412
LTBP4	-1.82383333333333
SIRT6	-0.2925
CCL19	1.45825
PPIL1	-0.151333333333333
GBP7	0.975666666666667
STK17A	-2.2764
ABR	-0.39525
OR9G1	0.636
FOXE1	-1.002
CNGA3	1.197
GML	0.7025
CD38	-4.52675
ZDHHC6	0.355833333333333
NEFH	-3.044
CTDSP2	1.25091666666667
PGBD5	0.555333333333333
CCNY	-0.199785714285714
RMND5B	0.92875
ZNF257	-1.01675
FLJ22167	-0.542625
EXOSC7	-0.2255
ROR2	-1.90375
MAOA	0.489125
TNNT3	-0.0601666666666667
GYPC	-2.175
C7orf33	0.796
PLIN	1.099
LOC90826	0.22475
RNF4	0.1319
F8A1	0.541833333333333
PLEKHG4	-2.10025
GRB2	1.2666
HIST1H2AD	2.9135
DUS3L	-1.069
EIF1	0.734
RP5-1077B9.4	-1.11016666666667
FPGT	0.3405
GDF10	-1.52433333333333
COQ9	-0.7645
GCC2	0.0127142857142857
RARRES3	2.9535
PLXNA1	-1.5572
KIAA0100	0.997
PMF1	-0.435
FNDC1	3.195
HS2ST1	-0.468333333333333
CRELD2	0.249
C8G	-2.867
CD82	-1.17125
LIM2	-1.6205
UNQ6490	0.533
MMP16	-0.23475
DRD3	-0.7735
C5orf26	1.07175
C11orf73	0.182875
PTP4A2	0.975
OR4M2	0.2075
HPCA	-1.2105
SEC14L1	-0.6435
CHFR	-0.219
EMILIN1	-0.355
NDUFS4	0.06625
COL18A1	-1.027375
PDZD3	0.1251
C9orf16	-0.140666666666667
ERBB2IP	0.4105
EMX2	1.99275
FUS	-2.22875
TF	-4.72588888888889
CLCN4	-0.8212
CXorf56	0.40825
C11orf72	0.65525
ELAC2	-0.628583333333333
NPR1	-1.34575
ASS1	-3.961
USP42	-0.515
POLR2J	-1.048
SEC23IP	0.653666666666667
UQCRC1	-0.651
LOC729603	-0.994
C1orf71	-0.417625
POLG	-1.7195
ADAM23	-3.89575
TFR2	-1.59925
RICTOR	-0.4342
MGC39606	0.76075
C19orf55	-0.2715
SNAPC1	-0.861833333333334
GNA11	0.11125
CCDC52	0.0948333333333333
FSIP1	6.0745
UPF3A	0.13025
IGSF11	-2.67133333333333
LAGE3	-0.33925
CHST6	-2.9685
UNC13B	0.743875
TTLL4	-2.068625
ZNF687	-0.273875
SDC2	-0.569
COX7A2	-0.2735
LAMB4	-1.467
FAM24A	-0.461
LRRTM3	-0.5332
GPHB5	0.554
OR4C13	-0.3275
EIF3EIP	0.513642857142857
HABP4	-0.6495
TMEM125	3.58725
CNTN2	-0.326571428571429
ASNSD1	-0.60275
FUT4	-1.212625
ACF	-4.22425
LOC158381	1.55
CDH8	-2.351
AGPS	-2.35083333333333
C4orf18	4.8645
PECI	0.499
UNG	-0.402
GSTP1	-3.783875
DCUN1D5	-1.09733333333333
DKFZP564J0863	-1.39825
SLC9A3R1	2.98975
BCDO2	-0.789875
CHMP7	-1.200875
REM2	-0.046
DNHD1	-0.685875
FKBP4	0.228625
ZNF350	2.56875
MGC11102	0.3975
BST1	-0.3315
KISS1R	0.0925
NCR2	0.441
DEFB125	2.2285
UBE2W	0.929375
KRT15	3.29875
C10orf99	0.2645
SCN11A	-0.466
GFI1	-3.56175
RDHE2	4.1595
FHL1	-2.80583333333333
OSGEP	0.248
GATA1	-3.6815
SMC6	-2.13625
TTTY14	-0.945
LPIN3	-2.7115
RPL4	-0.1114
RBPMS	-0.2597
PRPF3	-0.134
EMR1	-2.763
SPATA19	-0.24775
XCR1	1.2705
IRX3	2.9677
RBM6	-0.255
KLF4	-1.5466
UNC5CL	1.1135
SEBOX	0.12
BTK	-1.917
KRCC1	1.25175
C6orf27	0.4595
SYTL5	-0.4735
PRND	1.67025
LOC653319	-0.4915
PIGL	-0.00100000000000001
HUS1	-0.207333333333333
SFRS6	0.937
C17orf77	0.811
UIMC1	-0.113166666666667
FXYD2	-2.08255555555556
LOC283152	0.6965
ZNF667	-3.61175
ZCCHC12	-0.751
TFEC	0.9182
ATP7B	-0.462833333333333
POLD2	-1.4125
RG9MTD1	-0.427
ACOT2	-0.366833333333333
HIST1H4I	0.42675
PPARGC1A	-2.0061
ETFA	-1.4503
POLRMT	-0.61925
ZNF146	0.298375
MIA2	-0.922
KLHL6	-1.78833333333333
HOXB5	-1.406125
NENF	0.0761666666666667
CUGBP1	0.29175
PRSS22	0.7655
CASC4	1.4818
CUL4B	0.2841
CENPJ	-1.3571
PITX1	-2.7735
FLJ31033	1.27133333333333
CELSR3	-0.6565
ZNF568	1.28775
ITSN1	-0.433083333333333
EHBP1L1	-1.2185
C19orf2	-0.232
DCTN1	-0.3205
LIN28B	-3.883
TNKS2	0.01675
C1QBP	-1.40325
CADPS2	0.923
SRMS	0.462
GJA9	0.134
MGC24975	-0.649
TRIM45	-0.0433333333333333
TSP50	1.269
TCP1	-1.46275
TMED7	0.9976
CMA1	1.3125
CENPL	-1.60933333333333
PTCRA	0.0865
FST	-4.96825
VWCE	-4.23125
PAWR	0.14475
ABCC12	0.901
LDLR	-1.7373
ASTN2	1.8988
LOC441212	-0.274625
GPATCH8	0.687
TANC2	-0.0536666666666668
KIF4A	-2.14425
C18orf18	0.89175
PGM1	-0.996
KIAA0258	2.03925
CPD	1.523875
SNCAIP	-2.15325
DCT	-4.47933333333333
HLA-DOA	1.26531818181818
OR11L1	0.7925
UPK1B	-0.474
DNAJB4	-1.266125
UGT1A8	0.765
HIST1H4L	-2.853
PECR	-0.4755
HSPA2	2.67575
WFIKKN1	-3.06
SERP1	0.694875
SYDE2	3.10175
TACR2	2.133
NUP85	0.442
CD177	-1.15766666666667
LGR5	-1.71
PIGG	-0.217333333333333
PTHR1	-2.68433333333333
RAB5A	0.8364
FLJ13224	-0.4685
USP9Y	-1.1918
C7orf53	-0.5635
LRP1B	-2.10625
XAF1	0.309
ABCG8	-0.313
ANKDD1A	-0.795
DAND5	-1.3605
SPAG6	0.556833333333333
LINCR	-0.389
ZDHHC22	-1.76471428571429
CCDC60	-0.8275
THOC7	-1.10666666666667
TCTA	1.7921
OR8K3	0.27275
NY-REN-7	-1.3905
B2M	0.645333333333333
C6orf141	-0.1625
LPPR4	0.5925
SQLE	0.220375
SEPHS1	-0.33725
BTBD14B	0.482357142857143
PLRG1	-0.3835
SPG7	-0.813125
ZNF614	0.314166666666667
PARD6G	1.12383333333333
INPP5B	-1.223
GRPEL2	0.353625
PPID	-0.2448
TRIM56	0.00500000000000001
UBE2J1	-1.137125
IL20RA	6.04775
LOC387856	0.63475
C1orf107	0.491666666666667
UTS2R	-0.255
C19orf22	-0.60725
SAFB2	-0.424875
KIAA0652	-0.137375
KLRG1	-1.34616666666667
MS4A8B	3.78983333333333
FRAG1	1.1565
KIAA1546	0.02025
E2F4	-2.1041
CLEC4M	0.542833333333333
BTBD14A	-1.30625
KIAA0999	0.95
GYPA	-3.0045
TAC1	-0.298666666666667
TRAIP	-1.468
KIAA0232	1.6979
