Hybridization REF	TCGA-AN-A0FD-01A-11R-A034-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.273166666666667
CREB3L1	0.99725
RPS11	1.210375
PNMA1	0.4715
MMP2	0.4215
C10orf90	-0.7585
ZHX3	-0.505833333333333
ERCC5	0.47525
GPR98	-0.916571428571428
RXFP3	0.408
APBB2	0.5005
PRO0478	-1.667125
KLHL13	-2.439
PRSSL1	0.463
PDCL3	0.0986666666666666
DECR1	-0.825
SALL1	-2.1754
CADM4	1.20883333333333
RPS18	0.825714285714286
HNRPD	-0.791833333333333
CFHR5	0.271333333333333
SLC10A7	-0.160875
OR2K2	-0.328
LMAN1	-0.23075
SUHW1	-2.69725
CHD8	0.2765
SUMO1	0.6302
GP1BA	-0.6231
DDB1	0.189
MYO9B	0.246
MMP7	5.31825
CRNKL1	0.6885
C9orf45	-2.32916666666667
XAB2	0.26975
RTN1	1.39216666666667
KLHL14	-1.053
TBX10	-0.4025
CENPQ	-1.70025
UTY	-0.828833333333333
ZBTB12	0.6895
DTNBP1	0.00837499999999994
KBTBD8	-1.5615
ZEB1	1.05266666666667
ZG16	-1.24825
MIER1	0.3422
ADAM5P	-0.9045
CHD9	-0.030875
STK16	1.36775
KIAA1486	-1.882
TOB2	0.790666666666667
BANK1	0.64525
OR2V2	0.601666666666667
GRM2	-0.448833333333333
PROSC	1.099875
SPIN2B	0.41725
PIR	-1.84966666666667
IPO9	-0.3895
EVC	1.265
CXCL13	5.2875
KIAA1199	-2.3275
SORL1	0.34625
NAT10	-0.40575
CHD1	0.30475
SYN3	-0.3085
SLC22A2	-0.00825000000000009
SERPINF1	1.04366666666667
WDR34	0.039
OR7A17	-0.489
C9orf11	0.691
RNF216L	0.0488
LHB	0.3345
STK25	-0.29375
TAOK3	0.7205
LOC152573	-2.912
C3orf39	0.95075
C14orf108	0.1008
CDC25B	-1.38936363636364
BMP3	-1.624
TMEM180	-0.839
MAP1LC3C	-1.015
CRYGC	-1.2575
POU3F1	-0.824111111111111
C20orf32	-1.597
CCDC95	-0.9295
HIGD1B	3.94075
USP6NL	-0.394375
ABCD4	-1.0575
DIMT1L	-0.708583333333333
