Hybridization REF	TCGA-AN-A0FK-01A-11R-A034-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.421666666666667
CREB3L1	2.0695
RPS11	0.40325
PNMA1	0.44725
MMP2	-0.681
C10orf90	-1.906
ZHX3	-1.4125
ERCC5	0.12175
GPR98	0.568125
RXFP3	0.902
APBB2	1.7265
PRO0478	-1.25325
KLHL13	-4.1545
PRSSL1	-0.704333333333333
PDCL3	0.066
DECR1	0.428875
SALL1	-3.4225
CADM4	1.53816666666667
RPS18	0.417357142857143
HNRPD	-0.949166666666666
CFHR5	1.53883333333333
SLC10A7	0.416125
OR2K2	1.118
LMAN1	0.014625
SUHW1	-3.31925
CHD8	-0.342
SUMO1	0.3745
GP1BA	0.2874
DDB1	-0.104666666666667
MYO9B	-0.5051
MMP7	4.39075
CRNKL1	1.046875
C9orf45	-2.6145
XAB2	0.274625
RTN1	0.402125
KLHL14	-0.947375
TBX10	1.906
CENPQ	-1.01575
UTY	-0.929214285714286
ZBTB12	0.7875
DTNBP1	0.0166249999999999
KBTBD8	-1.67916666666667
ZEB1	0.327666666666667
ZG16	-1.642
MIER1	0.0632
ADAM5P	1.035
CHD9	-0.0650625
STK16	0.463
KIAA1486	-0.2465
TOB2	0.85875
BANK1	0.98325
OR2V2	-0.301
GRM2	0.109833333333333
PROSC	0.407375
SPIN2B	-0.064
PIR	-0.759555555555556
IPO9	-0.7084
EVC	0.3485
CXCL13	2.5035
KIAA1199	-1.934
SORL1	2.32325
NAT10	-0.73425
CHD1	-0.127
SYN3	-0.7495
SLC22A2	-0.189
SERPINF1	-0.445666666666667
WDR34	-0.10225
OR7A17	0.2975
C9orf11	0.463
RNF216L	-0.2635
LHB	0.0705
STK25	-1.244625
TAOK3	0.408125
LOC152573	-1.78975
C3orf39	0.3005
C14orf108	0.7962
CDC25B	-1.94227272727273
BMP3	-0.1205
TMEM180	-0.2015
MAP1LC3C	0.06675
CRYGC	-0.345
POU3F1	-1.2925
C20orf32	-0.7385
CCDC95	-0.213
HIGD1B	4.5395
USP6NL	-0.341
ABCD4	-0.5495
DIMT1L	-0.103916666666667
TEK	1.139625
SLC25A46	-0.0485
LARP7	-1.5023
CD160	-0.194666666666667
MT1JP	-1.0575
PHF20	-0.33225
CPNE4	1.668
GTPBP1	-0.647928571428571
RAB33B	0.5015
ALDOC	-2.82975
ZNF212	-0.5515
NUDT1	-1.008
RFPL2	-1.367
ZNF83	0.248
GDPD5	-1.381
PDCD4	0.94745
CEP350	0.40975
OR10A2	0.59575
CST7	-0.414
CIAO1	-1.651
SELL	0.382
OR8J3	0.0215
LTBP4	-1.02066666666667
SIRT6	0.233
CCL19	3.834
PPIL1	-1.42083333333333
GBP7	0.5315
STK17A	-1.1066
ABR	0.21025
OR9G1	1.1445
FOXE1	-0.478875
CNGA3	0.524
GML	0.1625
CD38	-0.9045
ZDHHC6	-0.0848333333333333
NEFH	-2.7605
CTDSP2	-0.0395
PGBD5	-2.25283333333333
CCNY	-0.196714285714286
RMND5B	0.7155
ZNF257	1.44
FLJ22167	-0.3125
EXOSC7	-0.544333333333333
ROR2	1.891875
MAOA	-1.6415
TNNT3	0.9015
GYPC	-1.5905
C7orf33	0.422
PLIN	0.235666666666667
LOC90826	-0.9465
RNF4	-0.6542
F8A1	0.595
PLEKHG4	-0.27675
GRB2	-0.2425
HIST1H2AD	0.91675
DUS3L	-0.234166666666667
EIF1	-0.992166666666667
RP5-1077B9.4	-1.353
FPGT	1.3055
GDF10	-0.241
COQ9	-0.52825
GCC2	0.0151428571428571
RARRES3	2.806625
PLXNA1	-1.2159
KIAA0100	-1.273
PMF1	0.20925
FNDC1	5.3615
HS2ST1	-0.3805
CRELD2	0.11275
C8G	-1.108
CD82	0.9455
LIM2	-1.1855
UNQ6490	0.716
MMP16	0.2865
DRD3	-0.63525
C5orf26	-0.064
C11orf73	0.212375
PTP4A2	1.60125
OR4M2	1.2095
HPCA	-1.77183333333333
SEC14L1	-0.718166666666667
CHFR	-0.51225
EMILIN1	0.0415
NDUFS4	0.389
COL18A1	0.150875
PDZD3	-0.2985
C9orf16	0.0223333333333333
ERBB2IP	0.662166666666667
EMX2	2.538
FUS	-0.92775
TF	-4.09233333333333
CLCN4	-2.2835
CXorf56	-0.225
C11orf72	0.393
ELAC2	-0.219833333333333
NPR1	-0.9465
ASS1	-0.146333333333333
USP42	0.0615
POLR2J	-0.508
SEC23IP	1.313
UQCRC1	0.328
LOC729603	-0.81875
C1orf71	0.8375
POLG	-2.2765
ADAM23	-4.222
TFR2	-1.54725
RICTOR	-1.19033333333333
MGC39606	0.84275
C19orf55	-0.209875
SNAPC1	-1.18516666666667
GNA11	0.6305
CCDC52	0.5525
FSIP1	4.165
UPF3A	-0.928125
IGSF11	-3.3682
LAGE3	-1.526
CHST6	-2.253
UNC13B	-0.235625
TTLL4	-1.688
ZNF687	0.805625
SDC2	2.34
COX7A2	0.998
LAMB4	0.77275
FAM24A	0.377
LRRTM3	-0.523666666666667
GPHB5	0.14525
OR4C13	-1.1305
EIF3EIP	-0.472
HABP4	-1.3185
TMEM125	3.708
CNTN2	0.30225
ASNSD1	-0.09425
FUT4	-0.433375
ACF	-3.974
LOC158381	0.201
CDH8	0.381
AGPS	-0.876833333333333
C4orf18	4.013
PECI	1.5305
UNG	-0.868875
GSTP1	0.68525
DCUN1D5	-0.067
DKFZP564J0863	-0.29075
SLC9A3R1	0.969
BCDO2	-1.68225
CHMP7	-0.351125
REM2	0.528
DNHD1	-0.254428571428571
FKBP4	0.479
ZNF350	2.20575
MGC11102	0.35275
BST1	0.494
KISS1R	1.496
NCR2	-0.037
DEFB125	1.286
UBE2W	1.326625
KRT15	-2.6065
C10orf99	0.3335
SCN11A	0.5695
GFI1	-2.8435
RDHE2	3.91183333333333
FHL1	-1.7955
OSGEP	-0.300666666666667
GATA1	-3.553
SMC6	-1.39325
TTTY14	-0.65675
LPIN3	-1.703
RPL4	-1.3297
RBPMS	0.1678
PRPF3	-0.0313333333333333
EMR1	-2.4205
SPATA19	0.213
XCR1	0.291
IRX3	1.5367
RBM6	-1.352
KLF4	-0.6997
UNC5CL	-1.7945
SEBOX	0.031
BTK	-1.004
KRCC1	0.77275
C6orf27	0.4105
SYTL5	-0.9545
PRND	1.14425
LOC653319	-1.7255
PIGL	-0.993625
HUS1	-0.0111666666666667
SFRS6	-0.44025
C17orf77	0.1415
UIMC1	-0.4045
FXYD2	-1.7494
LOC283152	0.164
ZNF667	-2.3995
ZCCHC12	-0.716
TFEC	2.2787
ATP7B	-0.164333333333333
POLD2	-1.07783333333333
RG9MTD1	-0.0345
ACOT2	0.154833333333333
HIST1H4I	-0.67675
PPARGC1A	-3.3921
ETFA	-2.2247
POLRMT	-0.27225
ZNF146	0.04575
MIA2	-1.493
KLHL6	-1.268
HOXB5	-1.00575
NENF	0.998166666666667
CUGBP1	0.8535
PRSS22	-0.183166666666667
CASC4	1.7005
CUL4B	0.5933
CENPJ	-2.3784
PITX1	-1.01716666666667
FLJ31033	0.7765
CELSR3	-2.69766666666667
ZNF568	1.10375
ITSN1	-0.37525
EHBP1L1	-0.8125
C19orf2	0.04125
DCTN1	-0.79925
LIN28B	-3.238
TNKS2	0.1785
C1QBP	-0.363
CADPS2	2.6965
SRMS	0.3595
GJA9	0.407833333333333
MGC24975	-0.186333333333333
TRIM45	-0.113833333333333
TSP50	-0.109666666666667
TCP1	-0.427
TMED7	1.1551
CMA1	0.5155
CENPL	-0.238666666666667
PTCRA	0.688
FST	-4.5015
VWCE	-4.046
PAWR	0.25725
ABCC12	-0.049
LDLR	-1.5613
ASTN2	1.4492
LOC441212	-1.19725
GPATCH8	-0.31325
TANC2	-1.39008333333333
KIF4A	-1.9695
C18orf18	-1.96625
PGM1	-1.43675
KIAA0258	0.53
CPD	1.073625
SNCAIP	-1.89175
DCT	-4.44416666666667
HLA-DOA	2.22328571428571
OR11L1	0.6035
UPK1B	-0.660333333333333
DNAJB4	-0.582625
UGT1A8	-0.07925
HIST1H4L	-0.614
PECR	-1.45416666666667
HSPA2	2.821
WFIKKN1	0.2105
SERP1	1.253375
SYDE2	0.82575
TACR2	0.9465
NUP85	-0.732
CD177	-0.194166666666667
LGR5	-1.44733333333333
PIGG	-0.0178333333333333
PTHR1	-1.86833333333333
RAB5A	0.3275
FLJ13224	-0.032
USP9Y	-2.242
C7orf53	-1.0965
LRP1B	-0.97325
XAF1	1.4046
ABCG8	0.5665
ANKDD1A	-0.723833333333333
DAND5	-2.0005
SPAG6	6.26616666666667
LINCR	1.48675
ZDHHC22	-1.52725
CCDC60	0.842
THOC7	-1.01966666666667
