Hybridization REF	TCGA-AN-A0FW-01A-11R-A034-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.39875
CREB3L1	0.51825
RPS11	0.70925
PNMA1	-0.08075
MMP2	-0.515333333333333
C10orf90	-1.47325
ZHX3	-0.0298333333333333
ERCC5	0.49575
GPR98	-0.288
RXFP3	-0.007
APBB2	2.1095
PRO0478	-1.1085
KLHL13	-2.68075
PRSSL1	0.74
PDCL3	0.225333333333333
DECR1	-1.577875
SALL1	-3.68425
CADM4	-0.507833333333333
RPS18	0.820071428571428
HNRPD	-0.270416666666667
CFHR5	-0.519
SLC10A7	0.4105
OR2K2	0.948
LMAN1	-0.945
SUHW1	-4.9135
CHD8	-0.1689
SUMO1	0.4024
GP1BA	1.1381
DDB1	0.1225
MYO9B	-0.6429
MMP7	6.15025
CRNKL1	0.458
C9orf45	-1.04133333333333
XAB2	0.27475
RTN1	1.40425
KLHL14	-1.11675
TBX10	-0.677
CENPQ	-1.17175
UTY	-0.8022
ZBTB12	0.2895
DTNBP1	0.45625
KBTBD8	-1.5645
ZEB1	-0.2285
ZG16	-0.55025
MIER1	0.215
ADAM5P	1.491
CHD9	-0.325
STK16	-0.17325
KIAA1486	-0.2615
TOB2	1.42266666666667
BANK1	2.485
OR2V2	-1.00825
GRM2	0.138
PROSC	0.266
SPIN2B	-0.393
PIR	-2.40277777777778
IPO9	-0.2703
EVC	-0.307666666666667
CXCL13	2.21666666666667
KIAA1199	-2.6863
SORL1	0.6945
NAT10	-0.4405
CHD1	-0.31075
SYN3	-0.777
SLC22A2	-0.0942499999999999
SERPINF1	0.406166666666667
WDR34	-0.268
OR7A17	0.53475
C9orf11	-0.5085
RNF216L	-0.3673
LHB	0.5145
STK25	-0.03375
TAOK3	0.13875
LOC152573	-3.05
C3orf39	0.4945
C14orf108	0.5809
CDC25B	-1.09781818181818
BMP3	1.0135
TMEM180	0.00600000000000001
MAP1LC3C	0.442
CRYGC	-1.939
POU3F1	-1.2622
C20orf32	-2.495
CCDC95	-0.282
HIGD1B	3.92525
USP6NL	-1.055625
ABCD4	-0.2465
DIMT1L	-0.707583333333333
TEK	1.452
SLC25A46	-0.62375
LARP7	-1.708
CD160	0.3095
MT1JP	-1.099
PHF20	0.230875
CPNE4	-1.27175
GTPBP1	-0.0477857142857143
RAB33B	1.26833333333333
ALDOC	-2.59675
ZNF212	-0.318
NUDT1	-0.461833333333333
RFPL2	0.1795
ZNF83	-0.669
GDPD5	-1.204875
PDCD4	0.4083
CEP350	0.69725
OR10A2	0.3935
CST7	0.33125
CIAO1	-0.35875
SELL	1.038
OR8J3	0.41
LTBP4	0.0833333333333333
SIRT6	0.3555
CCL19	4.93075
PPIL1	-0.490166666666667
GBP7	0.7538
STK17A	-1.1552
ABR	0.3925
OR9G1	0.4575
FOXE1	-0.673625
CNGA3	-0.1055
GML	-0.2655
CD38	-3.28525
ZDHHC6	-0.989666666666666
NEFH	-1.71325
CTDSP2	0.955083333333333
PGBD5	-2.161
CCNY	-0.0633571428571429
RMND5B	0.4765
ZNF257	-0.2945
FLJ22167	-0.943375
EXOSC7	-0.335166666666667
ROR2	-0.369625
MAOA	1.637625
TNNT3	0.823333333333333
GYPC	-0.795
C7orf33	1.5225
PLIN	4.369
LOC90826	-0.734
RNF4	-0.1629
F8A1	0.399166666666667
PLEKHG4	-2.11925
GRB2	-0.0242
HIST1H2AD	3.013
DUS3L	-0.272666666666667
EIF1	-0.879
RP5-1077B9.4	-1.00866666666667
FPGT	1.835
GDF10	0.2655
COQ9	-0.21425
GCC2	-0.215785714285714
RARRES3	0.630625
PLXNA1	-0.6937
KIAA0100	-0.0927
PMF1	0.80075
FNDC1	5.3075
HS2ST1	-0.256666666666667
CRELD2	0.65125
C8G	-2.804
CD82	-0.15375
LIM2	-0.882
UNQ6490	-1.032
MMP16	-0.59475
DRD3	-0.562
C5orf26	-0.19025
C11orf73	-1.1395
PTP4A2	2.033625
OR4M2	0.242
HPCA	-1.542
SEC14L1	-0.908166666666667
CHFR	-0.5645
EMILIN1	0.431
NDUFS4	-0.92075
COL18A1	-0.461625
PDZD3	-0.0201111111111111
C9orf16	0.136
ERBB2IP	0.248
EMX2	2.52325
FUS	-0.45525
TF	-3.734
CLCN4	-1.202
CXorf56	-0.0235
C11orf72	0.14775
ELAC2	-0.189166666666667
NPR1	0.0775
ASS1	-1.78116666666667
USP42	0.026375
POLR2J	-0.811
SEC23IP	0.0721666666666667
UQCRC1	0.46975
LOC729603	-1.328
C1orf71	-0.16325
POLG	-1.854
ADAM23	-1.987
TFR2	-1.4225
RICTOR	-0.8455
MGC39606	-0.0765
C19orf55	-0.704625
SNAPC1	-1.11316666666667
GNA11	1.093125
CCDC52	0.138833333333333
FSIP1	5.3305
UPF3A	-0.498125
IGSF11	-0.845833333333333
LAGE3	0.10625
CHST6	-2.2975
UNC13B	-0.5585
TTLL4	-1.277125
ZNF687	1.079625
SDC2	-1.4181
COX7A2	0.44225
LAMB4	-0.23125
FAM24A	0.5245
LRRTM3	0.0305
GPHB5	-0.1595
OR4C13	0.2925
EIF3EIP	0.0447142857142857
HABP4	-1.4895
TMEM125	3.63375
CNTN2	0.554875
ASNSD1	-0.07875
FUT4	-0.570625
ACF	-3.42225
LOC158381	0.3785
CDH8	-0.946333333333333
AGPS	-2.0815
C4orf18	4.67225
PECI	-1.37333333333333
UNG	-0.462
GSTP1	-2.33675
DCUN1D5	-1.6145
DKFZP564J0863	-1.11375
SLC9A3R1	2.987375
BCDO2	-1.189625
CHMP7	0.021
REM2	0.4325
DNHD1	-0.33825
FKBP4	0.88025
ZNF350	1.87825
MGC11102	0.463625
BST1	1.225
