Hybridization REF	TCGA-B6-A0I6-01A-11R-A034-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.462666666666667
CREB3L1	0.5405
RPS11	0.528375
PNMA1	-0.68425
MMP2	0.303666666666667
C10orf90	-0.169
ZHX3	-0.299333333333333
ERCC5	0.738
GPR98	-1.285
RXFP3	0.5115
APBB2	1.287
PRO0478	-1.160375
KLHL13	1.329
PRSSL1	-0.792166666666667
PDCL3	-1.04866666666667
DECR1	0.143
SALL1	-2.4042
CADM4	0.742833333333333
RPS18	0.547357142857143
HNRPD	-0.193666666666667
CFHR5	0.364333333333333
SLC10A7	-0.33
OR2K2	1.624
LMAN1	-0.257375
SUHW1	-2.6925
CHD8	0.0283
SUMO1	1.2097
GP1BA	-0.4351
DDB1	-0.16
MYO9B	0.1537
MMP7	7.238
CRNKL1	-0.498375
C9orf45	-0.434
XAB2	0.201
RTN1	0.485142857142857
KLHL14	-1.320875
TBX10	-0.5575
CENPQ	-0.54125
UTY	-0.902538461538462
ZBTB12	-0.8905
DTNBP1	-0.241375
KBTBD8	-2.21983333333333
ZEB1	-0.352666666666667
ZG16	-2.716
MIER1	0.2827
ADAM5P	2.398
CHD9	-0.332625
STK16	0.2235
KIAA1486	-0.423
TOB2	0.980416666666667
BANK1	2.846
OR2V2	-0.0405
GRM2	0.249
PROSC	-0.590375
SPIN2B	0.18625
PIR	-1.241
IPO9	-0.5893
EVC	0.283666666666667
CXCL13	2.18666666666667
KIAA1199	1.0817
SORL1	0.0995
NAT10	-0.41775
CHD1	-0.563
SYN3	0.03625
SLC22A2	-0.46425
SERPINF1	1.21583333333333
WDR34	0.49625
OR7A17	-1.06425
C9orf11	-1.308
RNF216L	-0.4058
LHB	0.3895
STK25	-0.706875
TAOK3	-0.46425
LOC152573	-3.55333333333333
C3orf39	0.025625
C14orf108	0.1507
CDC25B	-0.549272727272727
BMP3	0.933
TMEM180	-0.044
MAP1LC3C	-1.081
CRYGC	-0.742
POU3F1	-1.0974
C20orf32	-1.0315
CCDC95	-0.1315
HIGD1B	3.2805
USP6NL	1.399875
ABCD4	-1.16683333333333
DIMT1L	-0.486333333333333
TEK	0.670166666666667
SLC25A46	-0.522
LARP7	-2.0165
CD160	-0.34475
MT1JP	-0.463666666666667
PHF20	-0.190125
CPNE4	-1.20025
GTPBP1	0.175928571428571
RAB33B	1.33066666666667
ALDOC	-2.222875
ZNF212	-0.28925
NUDT1	-0.501166666666667
RFPL2	-0.50125
ZNF83	0.185666666666667
GDPD5	-0.4025
PDCD4	0.77035
CEP350	0.15175
OR10A2	0.54275
CST7	0.53875
CIAO1	-0.00525
SELL	0.0439999999999999
OR8J3	-1.042
LTBP4	-0.0746666666666667
SIRT6	0.1235
CCL19	2.7065
PPIL1	-0.552166666666667
GBP7	0.898
STK17A	-0.0736
ABR	-0.06675
OR9G1	0.6175
FOXE1	-0.94175
CNGA3	0.7575
GML	0.215
CD38	-2.6295
ZDHHC6	-0.186333333333333
NEFH	-3.1135
CTDSP2	0.231083333333333
PGBD5	-0.046
CCNY	0.830571428571429
RMND5B	-0.433833333333333
ZNF257	-1.74725
FLJ22167	-0.329375
EXOSC7	-0.576
ROR2	0.141375
MAOA	-1.29125
TNNT3	-0.0248
GYPC	-1.422
C7orf33	1.6365
PLIN	-0.247166666666667
LOC90826	-0.1085
RNF4	-0.8613
F8A1	0.262166666666667
PLEKHG4	0.14175
GRB2	-0.7395
HIST1H2AD	0.22025
DUS3L	-1.06166666666667
EIF1	-0.483833333333333
RP5-1077B9.4	-0.948333333333333
FPGT	0.8565
GDF10	-2.1146
COQ9	-0.524
GCC2	-0.656428571428571
RARRES3	1.042
PLXNA1	-0.1946
KIAA0100	-0.9571
PMF1	0.09125
FNDC1	5.25325
HS2ST1	-0.162
CRELD2	0.73925
C8G	-1.48
CD82	1.73175
LIM2	-0.6595
UNQ6490	1.269
MMP16	-0.9365
DRD3	-0.687
C5orf26	-0.2275
C11orf73	0.310125
PTP4A2	-0.022625
OR4M2	-0.1585
HPCA	-1.69883333333333
SEC14L1	-0.1055
CHFR	-0.511
EMILIN1	0.510875
NDUFS4	-0.40225
COL18A1	-0.171875
PDZD3	-0.6564
C9orf16	0.429166666666667
ERBB2IP	-0.081
EMX2	3.811
FUS	-1.5085
TF	-3.667
CLCN4	0.284833333333333
CXorf56	-0.4155
C11orf72	0.418
ELAC2	-1.24258333333333
NPR1	-1.218
ASS1	0.379833333333333
USP42	-0.618125
POLR2J	-0.6355
SEC23IP	-0.499333333333333
UQCRC1	-0.56225
LOC729603	-0.8925
C1orf71	0.02575
POLG	-0.00799999999999999
ADAM23	-3.66575
TFR2	-0.6395
RICTOR	-1.309
MGC39606	1.0505
C19orf55	-0.30625
SNAPC1	-0.903
GNA11	0.521
CCDC52	0.498666666666667
FSIP1	-0.297
UPF3A	0.422375
IGSF11	-2.0995
LAGE3	0.9635
CHST6	0.661
UNC13B	1.203375
TTLL4	-0.064
ZNF687	-0.304625
SDC2	0.3417
COX7A2	-0.78025
LAMB4	-1.13675
FAM24A	0.375
LRRTM3	-1.161
GPHB5	0.3655
OR4C13	1.4025
EIF3EIP	0.846357142857143
HABP4	-0.6985
TMEM125	2.6845
CNTN2	0.61575
ASNSD1	-0.11025
FUT4	-1.269375
ACF	-3.364
LOC158381	0.646
CDH8	1.1725
AGPS	-1.065
C4orf18	1.6985
PECI	-1.9865
UNG	0.299125
GSTP1	0.241875
DCUN1D5	-0.3555
DKFZP564J0863	0.251
SLC9A3R1	-0.8085
BCDO2	-0.142375
