Hybridization REF	TCGA-B6-A0IC-01A-11R-A034-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.178333333333333
CREB3L1	0.40225
RPS11	0.416
PNMA1	0.1985
MMP2	-1.97766666666667
C10orf90	-2.033
ZHX3	0.156833333333333
ERCC5	0.3335
GPR98	-2.474875
RXFP3	0.2675
APBB2	3.0875
PRO0478	-0.95225
KLHL13	-3.14375
PRSSL1	0.221666666666667
PDCL3	0.282333333333333
DECR1	0.486125
SALL1	-3.9255
CADM4	1.074
RPS18	-0.191
HNRPD	-0.228916666666667
CFHR5	0.601
SLC10A7	-0.486142857142857
OR2K2	0.296
LMAN1	-0.77675
SUHW1	-3.4315
CHD8	-0.1236
SUMO1	1.0037
GP1BA	0.2414
DDB1	-0.104333333333333
MYO9B	-0.5486
MMP7	2.49075
CRNKL1	0.5485
C9orf45	-0.323833333333333
XAB2	0.3975
RTN1	4.03375
KLHL14	-2.13966666666667
TBX10	-1.175
CENPQ	-1.35925
UTY	-1.15471428571429
ZBTB12	-0.246
DTNBP1	0.5925
KBTBD8	-2.43316666666667
ZEB1	-2.832
ZG16	-1.33375
MIER1	0.1154
ADAM5P	0.132
CHD9	-0.783125
STK16	1.2985
KIAA1486	-0.935
TOB2	1.06466666666667
BANK1	1.249
OR2V2	-0.4565
GRM2	0.237333333333333
PROSC	-0.033375
SPIN2B	-0.1025
PIR	-3.00877777777778
IPO9	-1.12922222222222
EVC	-0.211333333333333
CXCL13	0.321333333333333
KIAA1199	-1.7585
SORL1	2.28475
NAT10	-1.2495
CHD1	0.116
SYN3	0.36925
SLC22A2	-0.947
SERPINF1	-2.379
WDR34	0.04925
OR7A17	0.529
C9orf11	-0.265
RNF216L	0.3183
LHB	-0.011
STK25	-0.201
TAOK3	0.708375
LOC152573	-2.83175
C3orf39	0.5685
C14orf108	0.8201
CDC25B	-2.32281818181818
BMP3	1.21
TMEM180	-0.8775
MAP1LC3C	-0.4995
CRYGC	0.2435
POU3F1	-1.6332
C20orf32	-1.5555
CCDC95	-0.1955
HIGD1B	3.8835
USP6NL	0.676875
ABCD4	0.359
DIMT1L	-0.534083333333333
TEK	-0.208125
SLC25A46	-0.20525
LARP7	-1.1351
CD160	0.3662
MT1JP	-1.20233333333333
PHF20	-0.1753125
CPNE4	-2.274
GTPBP1	-0.21
RAB33B	1.2466
ALDOC	-3.1295
ZNF212	-0.91275
NUDT1	-1.16166666666667
RFPL2	-0.43575
ZNF83	0.105333333333333
GDPD5	-1.5395
PDCD4	1.69535
CEP350	-0.5975
OR10A2	0.0985
CST7	-2.12375
CIAO1	-0.876
SELL	0.315375
OR8J3	-0.841
LTBP4	-0.460166666666667
SIRT6	0.34275
CCL19	0.595
PPIL1	-1.23816666666667
GBP7	0.179333333333333
STK17A	-2.1113
ABR	0.34
OR9G1	-0.048
FOXE1	-0.853625
CNGA3	0.1765
GML	0.544
CD38	-4.18725
ZDHHC6	0.0403333333333333
NEFH	-2.87925
CTDSP2	0.749083333333333
PGBD5	-2.48966666666667
CCNY	-0.0672142857142857
RMND5B	0.876666666666667
ZNF257	-0.836
FLJ22167	-0.684875
EXOSC7	-0.430166666666667
ROR2	1.559625
MAOA	2.03325
TNNT3	0.157
GYPC	-2.36575
C7orf33	0.919
PLIN	0.449333333333333
LOC90826	0.4295
RNF4	0.16
F8A1	0.728833333333333
PLEKHG4	-0.7155
GRB2	0.6327
HIST1H2AD	0.17125
DUS3L	-1.68666666666667
EIF1	-0.0836666666666667
RP5-1077B9.4	-1.28116666666667
FPGT	1.74875
GDF10	-2.23716666666667
COQ9	-0.332
GCC2	0.581428571428572
RARRES3	3.088125
PLXNA1	-1.1619
KIAA0100	-0.0113
PMF1	-0.12775
FNDC1	2.7505
HS2ST1	-0.7525
CRELD2	-0.00025
C8G	-1.4615
CD82	0.41325
LIM2	-0.7575
UNQ6490	-0.407
MMP16	-0.349
DRD3	-0.03375
C5orf26	0.21775
C11orf73	0.50075
PTP4A2	1.955625
OR4M2	0.5265
HPCA	-1.57233333333333
SEC14L1	-0.617
CHFR	-0.669
EMILIN1	-0.774125
NDUFS4	0.00925
COL18A1	-1.613625
PDZD3	-0.0121
C9orf16	-0.00483333333333333
ERBB2IP	0.238833333333333
EMX2	0.42525
FUS	-1.29075
TF	-3.6501
CLCN4	-0.9665
CXorf56	0.64325
C11orf72	0.32325
ELAC2	-0.0255
NPR1	-2.02275
ASS1	-3.3135
USP42	0.095125
POLR2J	-1.0435
SEC23IP	1.33766666666667
UQCRC1	0.02775
LOC729603	-0.27025
C1orf71	0.16575
POLG	-2.3405
ADAM23	-3.9455
TFR2	-1.45475
RICTOR	-0.968111111111111
MGC39606	-0.618
C19orf55	-0.338875
SNAPC1	-1.69933333333333
GNA11	0.42075
CCDC52	1.152
FSIP1	1.4965
UPF3A	-0.014875
IGSF11	-3.2562
LAGE3	-0.5795
CHST6	-3.1315
UNC13B	2.045875
TTLL4	-1.80925
ZNF687	0.1065
SDC2	-3.0548
COX7A2	0.369
LAMB4	0.2285
FAM24A	0.3435
LRRTM3	-1.9225
GPHB5	-0.205
OR4C13	-1.6685
EIF3EIP	0.690785714285714
HABP4	-1.299
TMEM125	4.3415
CNTN2	0.131142857142857
ASNSD1	-0.03125
FUT4	-1.594
ACF	-3.677
LOC158381	1.8675
CDH8	0.609666666666667
AGPS	0.0436666666666667
C4orf18	5.26975
PECI	0.852583333333333
UNG	-0.352
GSTP1	-0.621625
DCUN1D5	-0.633166666666667
DKFZP564J0863	-1.04375
SLC9A3R1	1.29825
BCDO2	-0.584375
CHMP7	-0.171125
REM2	0.868
DNHD1	-0.023125
FKBP4	-0.101
ZNF350	1.54275
MGC11102	0.41375
BST1	-0.286
KISS1R	-0.257
NCR2	-0.604
DEFB125	-0.662
UBE2W	0.55325
KRT15	2.681375
C10orf99	0.161
SCN11A	-0.186
GFI1	-3.68125
RDHE2	-1.3645
FHL1	-2.92166666666667
OSGEP	0.658166666666667
GATA1	-3.38033333333333
SMC6	-1.293
TTTY14	-1.14625
LPIN3	0.0355
RPL4	-0.3685
RBPMS	0.613
PRPF3	-0.121166666666667
EMR1	-2.9415
SPATA19	0.977
XCR1	0.4785
IRX3	1.7452
RBM6	-0.14325
KLF4	-1.5594
UNC5CL	-0.64425
SEBOX	0.339
BTK	-1.431
KRCC1	1.42775
C6orf27	0.5095
SYTL5	-0.5195
PRND	1.21014285714286
LOC653319	-0.485
PIGL	0.053375
HUS1	0.166
SFRS6	1.38908333333333
C17orf77	1.0315
UIMC1	-0.218
FXYD2	-1.8115
LOC283152	2.90575
ZNF667	-2.952
ZCCHC12	-1.85066666666667
TFEC	1.5047
ATP7B	-0.204833333333333
POLD2	-0.572
RG9MTD1	-0.1795
ACOT2	0.777
HIST1H4I	-0.714375
PPARGC1A	-2.8983
ETFA	-1.4236
POLRMT	-0.112
ZNF146	0.13625
MIA2	-1.1375
KLHL6	-2.13683333333333
HOXB5	-1.783875
NENF	0.302166666666667
CUGBP1	0.9135
PRSS22	2.127
CASC4	1.6878
CUL4B	0.4819
CENPJ	-2.1228
PITX1	-2.28
FLJ31033	-0.071
CELSR3	-2.59183333333333
ZNF568	1.4275
ITSN1	-0.595083333333333
EHBP1L1	-0.7245
C19orf2	-0.36
DCTN1	0.54825
LIN28B	-3.20933333333333
TNKS2	-0.20525
C1QBP	0.181625
CADPS2	1.53525
SRMS	0.981
GJA9	-0.7685
MGC24975	-0.636666666666667
TRIM45	0.266166666666667
TSP50	2.05525
TCP1	-0.976
TMED7	0.7096
CMA1	0.4165
CENPL	-1.786
PTCRA	-0.2225
FST	-4.981
VWCE	-3.88675
PAWR	0.0005
ABCC12	1.10283333333333
LDLR	-1.7791
ASTN2	2.0412
LOC441212	-0.178
GPATCH8	-0.28625
TANC2	-0.00758333333333333
KIF4A	-2.516
C18orf18	0.00824999999999999
PGM1	-0.0935
KIAA0258	1.12
CPD	0.591625
SNCAIP	-2.22466666666667
DCT	-4.21083333333333
HLA-DOA	1.72272727272727
OR11L1	0.5285
UPK1B	-0.167833333333334
DNAJB4	-0.489
UGT1A8	0.33175
HIST1H4L	-1.775
PECR	-1.07433333333333
HSPA2	2.69425
WFIKKN1	-1.627
SERP1	1.65
SYDE2	1.483
TACR2	0.448
NUP85	-0.74925
CD177	-0.235166666666667
LGR5	-2.6855
PIGG	-0.0871666666666667
