Hybridization REF	TCGA-B6-A0IE-01A-11R-A034-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.38925
CREB3L1	0.2
RPS11	0.234
PNMA1	0.39225
MMP2	-0.5115
C10orf90	-1.915
ZHX3	-0.158833333333333
ERCC5	0.03475
GPR98	-0.998125
RXFP3	0.538
APBB2	1.69025
PRO0478	-0.96275
KLHL13	-1.15675
PRSSL1	-0.402833333333333
PDCL3	-0.073
DECR1	0.69575
SALL1	-3.1592
CADM4	-0.1365
RPS18	0.912857142857143
HNRPD	-0.934916666666667
CFHR5	0.9818
SLC10A7	-0.638857142857143
OR2K2	0.901
LMAN1	-0.27975
SUHW1	-3.12233333333333
CHD8	0.000900000000000056
SUMO1	1.144
GP1BA	-0.000800000000000023
DDB1	0.586333333333333
MYO9B	-0.9007
MMP7	6.0665
CRNKL1	1.1365
C9orf45	-1.10133333333333
XAB2	0.068125
RTN1	0.00162499999999999
KLHL14	-1.608625
TBX10	-0.3425
CENPQ	-1.2345
UTY	-0.648636363636364
ZBTB12	0.8615
DTNBP1	-0.264625
KBTBD8	-2.62583333333333
ZEB1	0.437
ZG16	-0.3995
MIER1	0.5023
ADAM5P	-2.835
CHD9	0.739
STK16	-0.11525
KIAA1486	0.5185
TOB2	1.76558333333333
BANK1	1.5995
OR2V2	-0.1485
GRM2	-0.625833333333333
PROSC	-0.484
SPIN2B	0.1725
PIR	-0.662333333333333
IPO9	-0.5419
EVC	0.627666666666667
CXCL13	1.2974
KIAA1199	-4.36588888888889
SORL1	1.16025
NAT10	-1.132
CHD1	-1.17025
SYN3	0.75875
SLC22A2	-1.94225
SERPINF1	-1.49016666666667
WDR34	0.14675
OR7A17	0.1495
C9orf11	null
RNF216L	0.5549
LHB	0.504
STK25	-1.034125
TAOK3	0.31575
LOC152573	-2.92975
C3orf39	0.105375
C14orf108	0.127
CDC25B	-1.54954545454545
BMP3	0.6935
TMEM180	-0.018
MAP1LC3C	0.67125
CRYGC	-0.8825
POU3F1	0.2426
C20orf32	-0.983
CCDC95	0.3145
HIGD1B	4.5395
USP6NL	0.3595
ABCD4	0.0436666666666667
DIMT1L	-1.99133333333333
TEK	1.40725
SLC25A46	-1.18725
LARP7	-1.0367
CD160	0.239333333333333
MT1JP	1.5485
PHF20	-0.426866666666667
CPNE4	-2.7145
GTPBP1	-0.108214285714286
RAB33B	-0.0221666666666666
ALDOC	-1.72625
