Hybridization REF	TCGA-B6-A0IG-01A-11R-A034-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.734166666666667
CREB3L1	2.8465
RPS11	0.51475
PNMA1	0.1585
MMP2	0.811166666666667
C10orf90	-2.39725
ZHX3	0.479166666666667
ERCC5	0.53075
GPR98	0.383125
RXFP3	0.7515
APBB2	0.72725
PRO0478	-0.568375
KLHL13	-1.52675
PRSSL1	-0.401166666666667
PDCL3	0.437666666666667
DECR1	-0.245125
SALL1	-3.17983333333333
CADM4	0.9375
RPS18	0.357
HNRPD	0.0973333333333333
CFHR5	-1.0932
SLC10A7	0.709625
OR2K2	-0.733
LMAN1	0.09475
SUHW1	-2.985
CHD8	0.2933
SUMO1	0.6262
GP1BA	0.5272
DDB1	1.31183333333333
MYO9B	-0.4107
MMP7	7.7455
CRNKL1	1.094375
C9orf45	-1.42033333333333
XAB2	0.12525
RTN1	0.285875
KLHL14	-1.37875
TBX10	0.2125
CENPQ	-1.482
UTY	-0.756
ZBTB12	-0.405
DTNBP1	0.0515
KBTBD8	-2.36366666666667
ZEB1	-0.444833333333333
ZG16	-1.17475
MIER1	-0.1904
ADAM5P	-0.012
CHD9	0.4461875
STK16	1.40275
KIAA1486	-0.3855
TOB2	0.36475
BANK1	3.66025
OR2V2	0.40225
GRM2	0.2305
PROSC	0.27125
SPIN2B	0.40575
PIR	-2.80366666666667
IPO9	-0.2914
EVC	0.347333333333333
CXCL13	3.99666666666667
KIAA1199	-2.4273
SORL1	0.7725
NAT10	0.7415
CHD1	-1.231
SYN3	-0.81325
SLC22A2	-0.38275
SERPINF1	0.325666666666667
WDR34	0.2425
OR7A17	0.15975
C9orf11	-2.375
RNF216L	-0.4524
LHB	0.3175
STK25	0.01275
TAOK3	1.085625
LOC152573	-2.70225
C3orf39	-0.713
C14orf108	0.2533
CDC25B	-0.981
BMP3	0.032
TMEM180	0.108
MAP1LC3C	0.115
CRYGC	-1.0325
POU3F1	-1.2674
C20orf32	-1.2825
CCDC95	0.2905
HIGD1B	3.84125
USP6NL	-0.2455
ABCD4	-0.442333333333333
DIMT1L	-1.668
TEK	0.38725
SLC25A46	-1.235
LARP7	-1.3773
CD160	0.2215
MT1JP	0.205333333333333
PHF20	-0.1485625
CPNE4	-1.2555
GTPBP1	-0.0319285714285714
RAB33B	1.23566666666667
ALDOC	-1.82025
ZNF212	-0.04125
NUDT1	-0.366
RFPL2	-1.016
ZNF83	-0.290833333333333
GDPD5	-0.75275
PDCD4	1.83125
CEP350	-0.15975
OR10A2	0.38775
CST7	0.226
CIAO1	-0.69725
SELL	0.529625
OR8J3	0.3245
LTBP4	-0.299
SIRT6	0.2525
CCL19	4.878
PPIL1	-0.495166666666667
GBP7	-0.1255
STK17A	-1.0766
ABR	0.30125
OR9G1	-0.328
FOXE1	-0.513125
CNGA3	1.1825
GML	0.6605
CD38	-1.97075
ZDHHC6	-0.264
NEFH	-1.93225
CTDSP2	-0.0676666666666667
PGBD5	-2.264
CCNY	0.396
RMND5B	0.887916666666667
ZNF257	0.43475
FLJ22167	0.170625
EXOSC7	-0.249666666666667
ROR2	2.098125
MAOA	-0.860125
TNNT3	0.438333333333333
GYPC	-1.48925
C7orf33	0.9285
PLIN	3.72333333333333
LOC90826	-0.3435
RNF4	-0.5549
F8A1	0.3655
PLEKHG4	-1.633
GRB2	-0.01825
HIST1H2AD	1.1445
DUS3L	-0.863
EIF1	0.940333333333333
RP5-1077B9.4	-1.58983333333333
FPGT	-0.451
GDF10	-0.404333333333333
COQ9	0.86775
GCC2	-0.085
RARRES3	3.659875
PLXNA1	-1.0545
KIAA0100	-0.1108
PMF1	0.02275
FNDC1	5.1455
HS2ST1	-0.474333333333333
CRELD2	0.655
C8G	-1.3045
CD82	1.3665
LIM2	-1.0425
UNQ6490	-1.0055
MMP16	-0.1705
DRD3	0.2235
C5orf26	-1.31025
C11orf73	-0.8595
PTP4A2	0.671125
OR4M2	0.3095
HPCA	-1.063
SEC14L1	-1.18866666666667
CHFR	0.14475
EMILIN1	1.086375
NDUFS4	-1.2855
COL18A1	0.028625
PDZD3	-0.1213
C9orf16	-0.116333333333333
ERBB2IP	-0.347
EMX2	1.02075
FUS	-0.39425
TF	-3.5689
CLCN4	-1.405
CXorf56	-0.24325
C11orf72	0.62725
ELAC2	-0.693
NPR1	-1.024
ASS1	-2.44133333333333
USP42	-0.427875
POLR2J	-0.8815
SEC23IP	1.183
UQCRC1	-0.4165
LOC729603	-0.274
C1orf71	-0.3335
POLG	-0.8785
ADAM23	-3.5955
TFR2	-1.47675
RICTOR	-1.3087
MGC39606	-0.08575
C19orf55	-0.194375
SNAPC1	-0.938
GNA11	1.206625
CCDC52	0.0706666666666667
FSIP1	4.7725
UPF3A	-0.082375
IGSF11	-2.4995
LAGE3	1.0515
CHST6	-2.586
UNC13B	1.02275
TTLL4	-0.736875
ZNF687	0.1615
SDC2	-0.0267
COX7A2	-0.1345
LAMB4	-0.06725
FAM24A	0.627
LRRTM3	-0.344833333333333
GPHB5	0.10725
OR4C13	0.747
EIF3EIP	-0.487428571428571
HABP4	-1.112
TMEM125	3.4445
CNTN2	1.4345
ASNSD1	-0.186
FUT4	-0.06225
ACF	-3.54675
LOC158381	0.155
CDH8	-0.4325
AGPS	-2.41633333333333
C4orf18	2.049625
PECI	0.79925
UNG	-0.092125
GSTP1	-2.3555
DCUN1D5	-1.06966666666667
DKFZP564J0863	0.9135
SLC9A3R1	0.837625
BCDO2	-1.335875
CHMP7	-0.48725
REM2	1.286
DNHD1	-0.8055
FKBP4	-0.832625
ZNF350	2.21625
MGC11102	0.887375
BST1	0.36025
KISS1R	0.919
NCR2	0.00800000000000001
DEFB125	-0.1935
UBE2W	1.013875
KRT15	1.6085
C10orf99	0.4925
SCN11A	0.336
GFI1	-2.4885
RDHE2	3.746
FHL1	-1.36166666666667
OSGEP	0.672833333333333
GATA1	-3.25966666666667
SMC6	-0.90025
TTTY14	-0.5515
LPIN3	-0.3685
RPL4	-0.328
RBPMS	0.3076
PRPF3	-0.615666666666667
EMR1	-2.4535
SPATA19	-0.01075
XCR1	0.5965
IRX3	1.0941
RBM6	-0.4795
KLF4	-0.6867
UNC5CL	-0.7165
SEBOX	-0.2045
BTK	-1.544
KRCC1	1.414
C6orf27	0.7215
SYTL5	-0.084
PRND	0.853375
LOC653319	-0.7965
PIGL	-0.87075
HUS1	-0.499333333333333
SFRS6	1.61841666666667
C17orf77	0.4535
UIMC1	-0.440833333333333
FXYD2	-1.4346
LOC283152	0.72425
ZNF667	-2.0705
ZCCHC12	-0.8285
TFEC	1.2524
ATP7B	2.02683333333333
POLD2	-0.6905
RG9MTD1	-0.9505
ACOT2	-0.424666666666667
HIST1H4I	-0.0495
PPARGC1A	-1.4003
ETFA	-0.5612
POLRMT	-0.00275
ZNF146	0.038875
MIA2	-1.423
KLHL6	-1.38216666666667
HOXB5	2.6875
NENF	0.556833333333333
CUGBP1	1.10525
PRSS22	2.135
CASC4	1.4274
CUL4B	0.0911
CENPJ	-0.9637
PITX1	0.8545
FLJ31033	1.48783333333333
CELSR3	-1.20066666666667
ZNF568	0.51375
ITSN1	0.0309166666666667
EHBP1L1	-0.227166666666667
C19orf2	-0.03525
DCTN1	0.29625
LIN28B	-3.35866666666667
TNKS2	-0.122
C1QBP	-1.028125
CADPS2	1.5935
SRMS	0.5035
GJA9	0.506833333333333
MGC24975	0.228166666666667
TRIM45	-1.31216666666667
TSP50	-1.8925
TCP1	-1.26875
TMED7	-0.3624
CMA1	1.262
CENPL	-0.678
PTCRA	0.02
FST	-3.66175
VWCE	-3.3125
PAWR	-0.3275
ABCC12	1.4428
LDLR	-0.0172
ASTN2	0.7692
LOC441212	-1.39975
GPATCH8	0.21825
TANC2	0.34775
KIF4A	-1.07225
C18orf18	-1.3245
PGM1	-0.92525
KIAA0258	1.15375
CPD	1.04375
SNCAIP	-2.2645
DCT	-3.98483333333333
HLA-DOA	1.92709090909091
OR11L1	0.9505
UPK1B	-0.756833333333333
DNAJB4	-1.14725
UGT1A8	0.05575
HIST1H4L	-1.086
PECR	-0.759833333333333
HSPA2	3.27025
WFIKKN1	-1.0015
SERP1	0.248
SYDE2	1.02925
TACR2	1.167
NUP85	-1.0735
CD177	-0.290166666666667
LGR5	-1.8595
PIGG	-0.72725
PTHR1	-1.12333333333333
RAB5A	-0.573
FLJ13224	-0.2695
USP9Y	-1.28716666666667
C7orf53	-0.35
LRP1B	-0.69575
XAF1	3.083
ABCG8	-1.4125
ANKDD1A	-0.374
DAND5	-1.2005
SPAG6	0.231166666666667
LINCR	1.49875
ZDHHC22	-1.369125
CCDC60	0.781
THOC7	-1.82466666666667
