Hybridization REF	TCGA-A7-A0CG-01A-12R-A056-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.282583333333333
CREB3L1	1.92575
RPS11	1.1065
PNMA1	-0.36375
MMP2	0.585666666666667
C10orf90	-1.56625
ZHX3	-0.222
ERCC5	0.29075
GPR98	0.536428571428571
RXFP3	0.348
APBB2	1.3435
PRO0478	-1.51325
KLHL13	1.07125
PRSSL1	-0.233
PDCL3	0.192833333333333
DECR1	0.45775
SALL1	-3.70133333333333
CADM4	0.733333333333333
RPS18	1.06778571428571
HNRPD	-0.416333333333333
CFHR5	0.600833333333333
SLC10A7	0.04225
OR2K2	1.2935
LMAN1	-0.687
SUHW1	-4.43175
CHD8	-0.175
SUMO1	1.0828
GP1BA	2.0018
DDB1	0.0553333333333333
MYO9B	-0.4252
MMP7	7.3555
CRNKL1	0.716625
C9orf45	-1.44516666666667
XAB2	0.01475
RTN1	1.53071428571429
KLHL14	-1.0575
TBX10	-1.2815
CENPQ	-1.912
UTY	-1.36163636363636
ZBTB12	-0.536
DTNBP1	0.225125
KBTBD8	-0.659666666666667
ZEB1	0.783
ZG16	-1.78733333333333
MIER1	0.7172
ADAM5P	2.8705
CHD9	-0.238125
STK16	0.5915
KIAA1486	-1.591
TOB2	0.716083333333333
BANK1	3.99425
OR2V2	-0.0575000000000001
GRM2	0.174833333333333
PROSC	0.21375
SPIN2B	0.755
PIR	-2.08444444444444
IPO9	-0.6647
EVC	0.4535
CXCL13	5.43566666666667
KIAA1199	-1.953375
SORL1	2.153
NAT10	-0.65025
CHD1	-0.41775
SYN3	-0.37625
SLC22A2	-0.6545
SERPINF1	1.84933333333333
WDR34	-0.54575
OR7A17	-0.324
C9orf11	0.624
RNF216L	-0.3873
LHB	-0.27
STK25	-0.536625
TAOK3	0.29575
LOC152573	-1.3105
C3orf39	0.223625
C14orf108	0.8871
CDC25B	-1.96381818181818
BMP3	-0.189
TMEM180	-1.156
MAP1LC3C	2.27725
CRYGC	-1.109
POU3F1	-1.54988888888889
C20orf32	-1.976
CCDC95	-0.823
HIGD1B	5.618
USP6NL	0.35075
ABCD4	-0.0923333333333333
DIMT1L	-0.454166666666667
TEK	1.835625
SLC25A46	-0.17625
LARP7	-1.5547
CD160	0.1785
MT1JP	-0.122666666666667
PHF20	-0.1689375
CPNE4	-1.547
GTPBP1	-0.543071428571429
RAB33B	1.08533333333333
ALDOC	-2.2055
ZNF212	-0.125
NUDT1	-0.846
RFPL2	-0.37475
ZNF83	-0.538833333333333
GDPD5	-0.427625
PDCD4	2.30935
CEP350	0.1315
OR10A2	0.14525
CST7	2.0985
CIAO1	-1.004
SELL	1.86775
OR8J3	1.046
LTBP4	-0.430666666666667
SIRT6	-0.334
CCL19	5.63375
PPIL1	-1.0275
GBP7	-0.351
STK17A	-0.1334
ABR	0.0605
OR9G1	0.927
FOXE1	-0.691375
CNGA3	0.9965
GML	-0.022
CD38	-0.69175
ZDHHC6	0.00183333333333334
NEFH	-1.25375
CTDSP2	0.88475
PGBD5	-1.77033333333333
CCNY	0.504714285714286
RMND5B	0.168333333333333
ZNF257	-0.7435
FLJ22167	-0.9805
EXOSC7	-0.418666666666667
ROR2	0.55775
MAOA	1.503375
TNNT3	2.92966666666667
GYPC	-0.24525
C7orf33	0.659
PLIN	4.52466666666667
LOC90826	0.18925
RNF4	0.066
F8A1	-0.473333333333333
PLEKHG4	-1.89375
GRB2	-0.9653
HIST1H2AD	0.0635
DUS3L	-1.1565
EIF1	-0.624166666666667
RP5-1077B9.4	-1.53683333333333
FPGT	1.32225
GDF10	2.55683333333333
COQ9	-0.5255
GCC2	0.481857142857143
RARRES3	3.45575
PLXNA1	-0.824
KIAA0100	-0.6118
PMF1	0.32725
FNDC1	5.9135
HS2ST1	-0.435916666666667
CRELD2	0.0515
C8G	-2.0295
CD82	1.712
LIM2	-1.0095
UNQ6490	-0.061
MMP16	0.02925
DRD3	0.4585
C5orf26	0.31125
C11orf73	-0.01275
PTP4A2	1.103875
OR4M2	0.453
HPCA	-1.6135
SEC14L1	-0.206666666666667
CHFR	-0.9925
EMILIN1	1.02875
NDUFS4	-0.1845
COL18A1	0.20075
PDZD3	0.086
C9orf16	-0.147166666666667
ERBB2IP	0.0291666666666667
EMX2	4.9515
FUS	-1.1995
TF	-2.7675
CLCN4	-0.0636666666666666
CXorf56	0.459
C11orf72	0.079
ELAC2	-0.936833333333333
NPR1	0.1105
ASS1	0.0918333333333333
USP42	-0.623125
POLR2J	-0.665
SEC23IP	0.560166666666667
UQCRC1	-0.396
LOC729603	-0.73475
C1orf71	-0.104
POLG	-2.476
ADAM23	-3.10875
