Hybridization REF	TCGA-A8-A06N-01A-12R-A056-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.59225
CREB3L1	-0.425
RPS11	0.190875
PNMA1	1.15825
MMP2	-2.05583333333333
C10orf90	-2.74025
ZHX3	0.019
ERCC5	-0.415
GPR98	-0.0705000000000001
RXFP3	0.3925
APBB2	1.517
PRO0478	-0.584375
KLHL13	-0.42475
PRSSL1	-0.91
PDCL3	-0.123
DECR1	0.411875
SALL1	-4.882
CADM4	-0.0988333333333333
RPS18	-0.253785714285714
HNRPD	-0.238916666666667
CFHR5	0.521
SLC10A7	0.475375
OR2K2	0.815
LMAN1	-0.681875
SUHW1	-4.16075
CHD8	0.3986
SUMO1	0.7241
GP1BA	0.1602
DDB1	0.6055
MYO9B	-0.2111
MMP7	-1.59125
CRNKL1	3.2585
C9orf45	-0.0555
XAB2	1.140125
RTN1	1.2175
KLHL14	-1.63825
TBX10	-1.22
CENPQ	-1.083
UTY	-1.17685714285714
ZBTB12	0.034
DTNBP1	-0.09325
KBTBD8	-2.033
ZEB1	-2.28183333333333
ZG16	2.6445
MIER1	0.1902
ADAM5P	1.1335
CHD9	-0.803625
STK16	0.7925
KIAA1486	-0.2975
TOB2	0.287
BANK1	0.4385
OR2V2	-0.28425
GRM2	-0.0851666666666667
PROSC	0.824625
SPIN2B	0.845
PIR	-1.50422222222222
IPO9	-0.4366
EVC	-3.013
CXCL13	5.092
KIAA1199	-2.8848
SORL1	1.869
NAT10	0.4935
CHD1	1.171
SYN3	0.55425
SLC22A2	-0.8885
SERPINF1	-3.493
WDR34	-0.87
OR7A17	0.72975
C9orf11	-0.5475
RNF216L	-0.2818
LHB	-0.2105
STK25	-0.4245
TAOK3	1.64
LOC152573	-4.27375
C3orf39	0.558
C14orf108	0.8259
CDC25B	-0.388636363636364
BMP3	0.1805
TMEM180	-0.0705
MAP1LC3C	-0.88975
CRYGC	-1.2325
POU3F1	-1.4159
C20orf32	-2.3505
CCDC95	-0.471
HIGD1B	3.82175
USP6NL	-1.664
ABCD4	-0.0265
DIMT1L	-1.13866666666667
TEK	0.261625
SLC25A46	-0.45425
LARP7	-1.5615
CD160	0.4662
MT1JP	0.7355
PHF20	0.5285625
CPNE4	-1.83
GTPBP1	-0.515
RAB33B	1.48433333333333
ALDOC	-2.10925
ZNF212	-0.072
NUDT1	-0.906
RFPL2	-0.78575
ZNF83	0.688666666666667
GDPD5	-1.791125
PDCD4	0.02995
CEP350	-0.10175
OR10A2	0.53475
CST7	-0.899
CIAO1	-1.236
SELL	1.007
OR8J3	-0.087
LTBP4	-0.9265
SIRT6	-0.05775
CCL19	0.759
PPIL1	-0.829833333333333
GBP7	0.487666666666667
STK17A	-2.1237
ABR	-0.7815
OR9G1	1.144
FOXE1	-1.071625
CNGA3	0.5815
GML	0.626
CD38	-3.44125
ZDHHC6	-0.367666666666667
NEFH	-3.8215
CTDSP2	1.47833333333333
PGBD5	-2.05466666666667
CCNY	-0.272357142857143
RMND5B	0.935833333333334
ZNF257	-0.879
FLJ22167	-0.43475
EXOSC7	-1.10466666666667
ROR2	-1.5175
MAOA	-1.90525
TNNT3	-0.177166666666667
GYPC	-1.9785
C7orf33	0.0155
PLIN	0.959
LOC90826	0.639
RNF4	0.3442
F8A1	0.865666666666667
PLEKHG4	-2.653
GRB2	1.47965
HIST1H2AD	0.38475
DUS3L	-0.587
EIF1	0.8035
RP5-1077B9.4	-0.751833333333333
FPGT	1.98275
GDF10	-2.81133333333333
COQ9	-0.39725
GCC2	-0.380928571428571
RARRES3	2.388
PLXNA1	-1.5513
KIAA0100	1.1438
PMF1	-0.0875
FNDC1	2.03175
HS2ST1	0.350333333333333
CRELD2	-0.07025
C8G	-1.9745
CD82	-0.4265
LIM2	-1.087
UNQ6490	-0.1525
MMP16	-0.58
DRD3	-0.146
C5orf26	-0.10125
C11orf73	-1.3745
PTP4A2	0.508
OR4M2	0.2495
HPCA	-1.08866666666667
SEC14L1	-0.993333333333334
CHFR	-0.34
EMILIN1	-0.249625
NDUFS4	0.261
COL18A1	-1.726875
PDZD3	-0.3893
C9orf16	-0.757166666666667
ERBB2IP	0.700833333333333
EMX2	0.57375
FUS	-0.17925
TF	-4.6137
CLCN4	-1.385
CXorf56	0.6795
C11orf72	0.3395
ELAC2	-0.6575
NPR1	-1.3935
ASS1	-4.39766666666667
USP42	0.18225
POLR2J	-0.19
SEC23IP	0.495
UQCRC1	-0.5325
LOC729603	-1.17075
C1orf71	0.331
POLG	-2.454
ADAM23	-4.71425
TFR2	-1.39125
RICTOR	-0.114
MGC39606	0.0125
C19orf55	-0.28875
SNAPC1	-1.31283333333333
GNA11	1.02575
CCDC52	0.504833333333333
FSIP1	3.063
UPF3A	0.017
IGSF11	-3.21616666666667
LAGE3	-0.1075
CHST6	-4.008
UNC13B	0.42325
TTLL4	-1.015375
ZNF687	0.875375
SDC2	-3.2052
COX7A2	0.639
LAMB4	0.17125
FAM24A	-1.3245
LRRTM3	-2.49416666666667
GPHB5	-0.42625
OR4C13	-0.094
EIF3EIP	-0.403142857142857
HABP4	-0.935
TMEM125	3.962
CNTN2	0.41975
ASNSD1	-0.29425
FUT4	-1.287625
ACF	-4.382
LOC158381	1.277
CDH8	-0.34975
AGPS	-1.63283333333333
C4orf18	5.00475
PECI	0.240416666666667
UNG	-0.232
GSTP1	-4.046375
DCUN1D5	-2.3885
DKFZP564J0863	-2.00525
SLC9A3R1	2.60225
BCDO2	-0.69725
CHMP7	-1.13425
REM2	0.827
DNHD1	1.034625
FKBP4	1.0265
ZNF350	2.05175
MGC11102	0.04025
BST1	-0.86075
KISS1R	0.364
NCR2	-0.2535
DEFB125	-1.2035
UBE2W	2.046
KRT15	3.262875
C10orf99	-0.0865
SCN11A	0.069
GFI1	-3.623
RDHE2	-1.16683333333333
FHL1	-2.77166666666667
OSGEP	-0.0221666666666667
GATA1	-3.62983333333333
SMC6	-1.84325
TTTY14	-1.1115
LPIN3	0.2165
RPL4	-0.9288
