Hybridization REF	TCGA-B6-A0IO-01A-11R-A034-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.3675
CREB3L1	0.657
RPS11	0.564875
PNMA1	-0.1935
MMP2	-0.3855
C10orf90	-1.687
ZHX3	-0.1135
ERCC5	0.99575
GPR98	1.13
RXFP3	0.8805
APBB2	1.641
PRO0478	-1.04675
KLHL13	-0.58325
PRSSL1	0.613333333333333
PDCL3	0.695333333333333
DECR1	-1.032375
SALL1	-3.51516666666667
CADM4	1.50216666666667
RPS18	0.308642857142857
HNRPD	-0.515583333333333
CFHR5	0.916333333333333
SLC10A7	0.3105
OR2K2	null
LMAN1	-1.136625
SUHW1	-4.514
CHD8	-0.3622
SUMO1	0.853
GP1BA	1.4166
DDB1	0.0998333333333333
MYO9B	-0.5682
MMP7	6.7555
CRNKL1	0.639875
C9orf45	-1.71033333333333
XAB2	-0.281125
RTN1	1.19114285714286
KLHL14	-2.03828571428571
TBX10	-1.3905
CENPQ	-1.44275
UTY	-1.44809090909091
ZBTB12	0.7685
DTNBP1	0.773
KBTBD8	-0.927666666666667
ZEB1	-0.826666666666667
ZG16	-1.58933333333333
MIER1	0.2297
ADAM5P	null
CHD9	0.8370625
STK16	0.4945
KIAA1486	-0.887
TOB2	1.04275
BANK1	1.065
OR2V2	-1.2315
GRM2	-0.388166666666667
PROSC	0.523
SPIN2B	0.11775
PIR	-0.562111111111111
IPO9	-0.3427
EVC	0.2865
CXCL13	2.26733333333333
KIAA1199	-2.7481
SORL1	1.7955
NAT10	-0.808
CHD1	0.7105
SYN3	-1.041
SLC22A2	-3.1385
SERPINF1	-1.23133333333333
WDR34	-1.25075
OR7A17	0.15775
C9orf11	-2.7865
RNF216L	0.2392
LHB	0.117
STK25	-0.108125
TAOK3	0.955875
LOC152573	-3.1945
C3orf39	0.87025
C14orf108	0.0464
CDC25B	-1.34645454545455
BMP3	0.972
TMEM180	-1.875
MAP1LC3C	-0.40825
CRYGC	-1.3595
POU3F1	-1.4955
C20orf32	-1.9945
CCDC95	-0.35
HIGD1B	3.566
USP6NL	-0.137875
ABCD4	-0.608166666666667
DIMT1L	-1.40925
TEK	0.586625
SLC25A46	-0.09975
LARP7	-1.1374
CD160	0.505
MT1JP	-1.39266666666667
PHF20	0.2728125
CPNE4	-1.32925
GTPBP1	-0.460928571428571
RAB33B	1.266
ALDOC	-1.680875
ZNF212	-0.448
NUDT1	-1.21566666666667
RFPL2	-0.936
ZNF83	0.269666666666667
GDPD5	-1.852375
PDCD4	1.07835
CEP350	0.366
OR10A2	0.1975
CST7	0.27725
CIAO1	-0.708
SELL	0.0802857142857143
OR8J3	1.978
LTBP4	-0.252666666666667
SIRT6	0.19675
CCL19	4.7115
PPIL1	-1.10433333333333
GBP7	-1.0368
STK17A	-1.3351
ABR	-0.224
OR9G1	1.416
FOXE1	-1.120125
CNGA3	-0.6535
GML	-0.6935
CD38	-2.8395
ZDHHC6	0.661333333333333
NEFH	-1.6905
CTDSP2	0.0483333333333333
