Hybridization REF	TCGA-B6-A0WT-01A-11R-A109-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.38825
CREB3L1	1.5215
RPS11	0.08525
PNMA1	-0.288
MMP2	1.60516666666667
C10orf90	-2.01825
ZHX3	0.0211666666666667
ERCC5	0.71825
GPR98	-0.638
RXFP3	-0.03
APBB2	1.4695
PRO0478	-0.525625
KLHL13	-1.358
PRSSL1	-1.02083333333333
PDCL3	-0.235
DECR1	-0.33925
SALL1	-2.0755
CADM4	1.307
RPS18	-0.218357142857143
HNRPD	-0.42275
CFHR5	0.166833333333333
SLC10A7	0.405875
OR2K2	0.395
LMAN1	-0.5415
SUHW1	-3.602
CHD8	-0.0235
SUMO1	0.2528
GP1BA	0.4181
DDB1	0.303333333333333
MYO9B	0.0644
MMP7	6.22125
CRNKL1	0.976125
C9orf45	-0.6815
XAB2	0.110875
RTN1	1.382375
KLHL14	-0.853
TBX10	-1.0875
CENPQ	-1.4315
UTY	-1.17528571428571
ZBTB12	0.0995
DTNBP1	0.2615
KBTBD8	-1.54366666666667
ZEB1	-0.185333333333333
ZG16	-0.55425
MIER1	-0.1607
ADAM5P	-0.5455
CHD9	0.256125
STK16	1.3395
KIAA1486	-0.1795
TOB2	0.679
BANK1	1.64675
OR2V2	0.507
GRM2	0.1815
PROSC	3.112
SPIN2B	-0.25475
PIR	-2.86488888888889
IPO9	0.0417
EVC	1.18416666666667
CXCL13	3.57416666666667
KIAA1199	0.131
SORL1	-0.386
NAT10	-0.74325
CHD1	0.54975
SYN3	-0.05975
SLC22A2	-0.3125
SERPINF1	1.19916666666667
WDR34	-0.87525
OR7A17	0.55825
C9orf11	-0.497
RNF216L	-0.4961
LHB	0.00849999999999999
STK25	-0.485375
TAOK3	0.997875
LOC152573	-2.62825
C3orf39	0.644625
C14orf108	0.9405
CDC25B	-1.33336363636364
BMP3	0.521
TMEM180	-0.1175
MAP1LC3C	0.0175
CRYGC	-0.763
POU3F1	-1.3113
C20orf32	-2.0755
CCDC95	-0.073
HIGD1B	3.88325
USP6NL	-0.84975
ABCD4	-0.0695
DIMT1L	-0.66825
TEK	0.63875
SLC25A46	-0.35725
LARP7	-1.9526
CD160	-0.142333333333333
MT1JP	0.0911666666666667
PHF20	0.0779375
CPNE4	-0.53925
GTPBP1	-0.239285714285714
RAB33B	0.301833333333333
ALDOC	-3.154875
ZNF212	0.14725
NUDT1	-0.613
RFPL2	-0.93525
ZNF83	0.687166666666667
GDPD5	-0.8365
PDCD4	0.93675
CEP350	0.48575
OR10A2	0.076
CST7	0.861
CIAO1	-0.767
SELL	0.840375
OR8J3	1.942
LTBP4	-0.629166666666667
SIRT6	-0.438
CCL19	3.40025
PPIL1	-0.631166666666667
GBP7	0.147
STK17A	-1.1865
ABR	0.52425
OR9G1	0.041
FOXE1	-0.931
CNGA3	0.219
GML	0.4835
CD38	-0.75775
ZDHHC6	-0.480833333333333
NEFH	-1.8445
CTDSP2	0.668416666666667
PGBD5	-2.45833333333333
CCNY	0.0972857142857143
RMND5B	0.3385
ZNF257	-0.98975
FLJ22167	-0.7135
EXOSC7	0.0588333333333333
ROR2	1.640625
MAOA	0.654625
TNNT3	0.441333333333333
