Hybridization REF	TCGA-AN-A0XV-01A-11R-A109-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.26575
CREB3L1	0.89075
RPS11	0.236
PNMA1	-0.0085
MMP2	1.341
C10orf90	-1.2585
ZHX3	-0.221666666666667
ERCC5	0.12275
GPR98	-0.289375
RXFP3	0.487
APBB2	2.555
PRO0478	-0.466125
KLHL13	-2.11625
PRSSL1	0.1375
PDCL3	0.272
DECR1	1.308875
SALL1	-3.34316666666667
CADM4	0.384833333333333
RPS18	0.0918571428571428
HNRPD	-0.916833333333333
CFHR5	-0.1285
SLC10A7	0.590625
OR2K2	-0.1585
LMAN1	-0.156375
SUHW1	-2.7685
CHD8	-0.1533
SUMO1	0.2152
GP1BA	1.0522
DDB1	0.106666666666667
MYO9B	-0.1665
MMP7	4.93
CRNKL1	0.364125
C9orf45	-1.72983333333333
XAB2	-0.23125
RTN1	1.160125
KLHL14	-0.267125
TBX10	-0.371
CENPQ	-1.5035
UTY	-0.627357142857143
ZBTB12	0.163
DTNBP1	-0.157375
KBTBD8	-0.739333333333333
ZEB1	0.0501666666666667
ZG16	-0.6625
MIER1	0.1114
ADAM5P	-0.6465
CHD9	0.3965
STK16	0.485
KIAA1486	0.0835
TOB2	0.665583333333333
BANK1	3.26025
OR2V2	0.09425
GRM2	0.0468333333333333
PROSC	1.274875
SPIN2B	0.54075
PIR	-2.43833333333333
IPO9	-0.7113
EVC	0.701166666666667
CXCL13	2.85166666666667
KIAA1199	-0.1506
SORL1	1.16625
NAT10	0.0435
CHD1	-0.405
SYN3	0.054
SLC22A2	-0.12
SERPINF1	1.55133333333333
WDR34	-0.1505
OR7A17	0.2405
C9orf11	0.269
RNF216L	-0.2812
LHB	0.028
STK25	-0.401625
TAOK3	0.722375
LOC152573	-0.99475
C3orf39	0.50825
C14orf108	0.6569
CDC25B	-1.39409090909091
BMP3	0.278
TMEM180	0.0465
MAP1LC3C	1.0505
CRYGC	-0.553
POU3F1	-0.9579
C20orf32	-0.729
CCDC95	-0.044
HIGD1B	2.72725
USP6NL	-0.2635
ABCD4	-0.108666666666667
DIMT1L	-0.721166666666667
TEK	1.438
SLC25A46	-0.49925
LARP7	-1.6437
CD160	0.254333333333333
MT1JP	1.03483333333333
PHF20	-0.0734375
CPNE4	-0.76125
GTPBP1	-0.32
RAB33B	0.553166666666667
ALDOC	-2.151
ZNF212	-0.131
NUDT1	-1.17383333333333
RFPL2	-0.02125
ZNF83	0.610833333333333
GDPD5	-0.762375
PDCD4	1.63775
CEP350	-0.17075
OR10A2	0.266
CST7	1.406
CIAO1	-0.76525
SELL	1.282625
OR8J3	0.8525
LTBP4	-0.0206666666666667
SIRT6	-0.153
CCL19	4.54575
PPIL1	-0.685
GBP7	0.103166666666667
STK17A	-0.309
ABR	-0.1155
OR9G1	-0.313
FOXE1	-0.279625
CNGA3	0.5155
GML	0.6595
CD38	-1.1695
ZDHHC6	0.2665
NEFH	-1.65825
CTDSP2	0.763083333333333
PGBD5	-1.92833333333333
CCNY	0.157
RMND5B	0.381916666666667
ZNF257	-0.84125
FLJ22167	0.06925
EXOSC7	-0.6835
ROR2	1.107375
MAOA	-0.185625
TNNT3	1.34066666666667
GYPC	-0.6475
C7orf33	0.6085
PLIN	2.38166666666667
LOC90826	0.268
RNF4	-0.065
F8A1	0.774
PLEKHG4	-1.22125
GRB2	0.12785
HIST1H2AD	0.67625
DUS3L	-0.410166666666667
EIF1	-0.630166666666667
RP5-1077B9.4	-0.720333333333333
FPGT	1.57525
GDF10	2.86333333333333
COQ9	0.2515
GCC2	-0.196785714285714
RARRES3	3.347875
PLXNA1	-0.6436
KIAA0100	-0.5041
PMF1	-0.066
FNDC1	4.952
HS2ST1	-0.235666666666667
CRELD2	0.4505
C8G	-1.307
CD82	0.308
LIM2	-0.6625
UNQ6490	-0.363
MMP16	0.24475
DRD3	-0.0205
C5orf26	-0.5395
C11orf73	-0.6095
PTP4A2	-0.110125
OR4M2	0.5315
HPCA	-0.999166666666667
SEC14L1	-0.718
CHFR	-0.12
EMILIN1	0.958125
NDUFS4	-0.2435
COL18A1	0.34875
PDZD3	0.1344
C9orf16	-0.201333333333333
ERBB2IP	0.480333333333333
EMX2	2.7105
FUS	-0.85325
TF	-3.5047
CLCN4	0.355
CXorf56	-0.03425
C11orf72	0.191
ELAC2	-0.366166666666667
NPR1	0.243
ASS1	-2.378
USP42	-0.13625
POLR2J	-0.4575
SEC23IP	0.720333333333333
UQCRC1	0.52375
LOC729603	-0.5155
C1orf71	0.271625
POLG	-1.839
ADAM23	-3.247
TFR2	-1.06325
RICTOR	-0.7926
MGC39606	0.05175
C19orf55	-0.269625
SNAPC1	-1.88916666666667
GNA11	0.93575
CCDC52	0.237666666666667
FSIP1	4.1255
UPF3A	-0.54325
IGSF11	-1.77316666666667
LAGE3	-0.32475
CHST6	-1.366
UNC13B	1.214125
TTLL4	-1.231125
ZNF687	-0.01625
SDC2	1.385
COX7A2	-0.1565
LAMB4	0.0455
FAM24A	0.3415
LRRTM3	-0.4035
GPHB5	-0.08025
OR4C13	-0.25
EIF3EIP	0.374928571428571
HABP4	0
TMEM125	3.813
CNTN2	-0.082875
ASNSD1	0.07175
FUT4	-0.22775
ACF	-3.18625
LOC158381	0.696
CDH8	-0.131
AGPS	-0.441333333333333
C4orf18	4.67675
PECI	0.13575
UNG	-0.393
GSTP1	-1.756125
DCUN1D5	-1.5705
DKFZP564J0863	-0.32425
SLC9A3R1	1.593
BCDO2	0.045
CHMP7	-0.144875
REM2	0.011
DNHD1	-0.220125
FKBP4	0.3475
ZNF350	1.373
MGC11102	-0.248375
BST1	1.065
KISS1R	0.3905
NCR2	-0.1865
DEFB125	0.087
UBE2W	0.77925
KRT15	3.1905
C10orf99	0.264
SCN11A	0.239375
GFI1	-1.82875
RDHE2	3.77933333333333
FHL1	0.230333333333333
OSGEP	-0.0015
