Hybridization REF	TCGA-B6-A0WV-01A-11R-A109-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	1.10741666666667
CREB3L1	0.25625
RPS11	0.204
PNMA1	-0.15025
MMP2	0.134833333333333
C10orf90	-2.20775
ZHX3	0.484666666666667
ERCC5	-0.54225
GPR98	0.99675
RXFP3	0.3555
APBB2	1.43775
PRO0478	-0.932125
KLHL13	-1.01725
PRSSL1	-1.20516666666667
PDCL3	0.411666666666667
DECR1	-0.5815
SALL1	-3.03016666666667
CADM4	0.693166666666667
RPS18	-0.781214285714286
HNRPD	-0.586666666666667
CFHR5	0.3012
SLC10A7	0.334875
OR2K2	1.8455
LMAN1	-0.557375
SUHW1	-3.811
CHD8	0.2745
SUMO1	0.4075
GP1BA	-0.3619
DDB1	0.124166666666667
MYO9B	-0.1134
MMP7	5.3125
CRNKL1	1.379375
C9orf45	-0.275833333333333
XAB2	0.389875
RTN1	1.66075
KLHL14	-1.10725
TBX10	-1.131
CENPQ	-1.765
UTY	-1.17178571428571
ZBTB12	-1.2235
DTNBP1	-0.463875
KBTBD8	-2.86783333333333
ZEB1	-0.8435
ZG16	-1.29375
MIER1	-0.2627
ADAM5P	-1.23
CHD9	0.2230625
STK16	0.54125
KIAA1486	0.093
TOB2	0.83975
BANK1	1.31875
OR2V2	0.916
GRM2	0.236333333333333
PROSC	0.885875
SPIN2B	-0.57725
PIR	-1.00455555555556
IPO9	-0.3362
EVC	-0.262166666666667
CXCL13	0.940666666666667
KIAA1199	-2.6727
SORL1	0.489
NAT10	-0.3355
CHD1	0.41475
SYN3	0.3885
SLC22A2	-0.47875
SERPINF1	-0.346166666666667
WDR34	0.7245
OR7A17	0.3675
C9orf11	-1.1825
RNF216L	-0.2632
LHB	-0.053
STK25	-0.173625
TAOK3	0.83525
LOC152573	-3.21225
C3orf39	1.024625
C14orf108	0.9216
CDC25B	-0.536090909090909
BMP3	-0.8965
TMEM180	0.647
MAP1LC3C	-0.089
CRYGC	-0.088
POU3F1	-1.5567
C20orf32	-2.1765
CCDC95	-0.3985
HIGD1B	3.486
USP6NL	-0.395
ABCD4	-1.05633333333333
DIMT1L	-1.3535
TEK	0.41775
SLC25A46	0.0095
LARP7	-1.9341
CD160	0.4015
MT1JP	-0.856166666666667
PHF20	0.765625
CPNE4	-0.942
GTPBP1	-0.0282142857142857
RAB33B	0.677
ALDOC	-3.14475
ZNF212	0.1775
NUDT1	-0.216666666666667
RFPL2	0.45425
ZNF83	0.358833333333333
GDPD5	-1.27125
PDCD4	1.6201
CEP350	0.172
OR10A2	0.36025
CST7	-0.143
CIAO1	-0.2865
SELL	1.682125
OR8J3	-0.313
LTBP4	-0.706333333333333
SIRT6	0.077
CCL19	3.15325
PPIL1	-0.9825
GBP7	0.135833333333333
STK17A	-0.7113
ABR	0.1095
OR9G1	-0.1345
FOXE1	-0.858625
CNGA3	0.891
GML	0.3625
CD38	-4.78525
ZDHHC6	0.665
NEFH	-2.6055
CTDSP2	0.32425
PGBD5	-2.51916666666667
CCNY	0.0277857142857143
RMND5B	1.17283333333333
