Hybridization REF	TCGA-AN-A0XN-01A-21R-A109-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.594833333333333
CREB3L1	1.63575
RPS11	0.9345
PNMA1	0.397
MMP2	1.98316666666667
C10orf90	-1.17825
ZHX3	-0.123666666666667
ERCC5	-0.3955
GPR98	-1.04471428571429
RXFP3	0.47
APBB2	1.88975
PRO0478	-0.80425
KLHL13	-2.91825
PRSSL1	-0.906166666666667
PDCL3	-0.2
DECR1	-0.268875
SALL1	-1.61616666666667
CADM4	0.748
RPS18	0.455571428571429
HNRPD	-1.16058333333333
CFHR5	0.0111666666666667
SLC10A7	0.342625
OR2K2	0.0475
LMAN1	0.523875
SUHW1	-4.09975
CHD8	-0.6971
SUMO1	0.8735
GP1BA	-0.5157
DDB1	-0.174166666666667
MYO9B	0.5293
MMP7	6.911
CRNKL1	0.38725
C9orf45	-1.097
XAB2	0.279375
RTN1	1.436875
KLHL14	-1.49125
TBX10	-0.962
CENPQ	-1.1155
UTY	-1.172
ZBTB12	0.203
DTNBP1	-0.37
KBTBD8	-0.853333333333333
ZEB1	1.42266666666667
ZG16	-1.98
MIER1	0.3452
ADAM5P	0.1085
CHD9	0.0136875
STK16	-0.14675
KIAA1486	0.241
TOB2	0.406166666666667
BANK1	2.4145
OR2V2	0.21525
GRM2	0.1465
PROSC	2.134625
SPIN2B	-0.1015
PIR	-1.42366666666667
IPO9	-0.185
EVC	1.70383333333333
CXCL13	2.59033333333333
KIAA1199	2.439
SORL1	1.006
NAT10	-0.63625
CHD1	-1.38225
SYN3	1.431
SLC22A2	2.01
SERPINF1	2.29633333333333
WDR34	-0.97975
OR7A17	0.0875
C9orf11	0.341
RNF216L	-0.1672
LHB	-0.0775
STK25	0.2255
TAOK3	0.997
LOC152573	-2.5765
C3orf39	1.0075
C14orf108	-0.0674
CDC25B	-1.89781818181818
BMP3	0.0205
TMEM180	-0.283
MAP1LC3C	-0.08675
CRYGC	-0.7495
POU3F1	-0.6078
C20orf32	-1.3975
CCDC95	-0.8445
HIGD1B	4.07225
USP6NL	-0.383875
ABCD4	-0.863833333333333
DIMT1L	-1.08116666666667
TEK	0.9375
SLC25A46	-0.713
LARP7	-1.7435
CD160	-0.117666666666667
MT1JP	0.0106666666666667
PHF20	0.184125
CPNE4	-1.155
GTPBP1	-0.467928571428571
RAB33B	0.935833333333333
ALDOC	-0.841125
ZNF212	-0.35925
NUDT1	-0.946
RFPL2	-1.219
ZNF83	-0.166333333333333
GDPD5	-0.561
PDCD4	0.51695
CEP350	-0.03575
OR10A2	0.6195
CST7	2.093
CIAO1	-0.625
SELL	0.371125
OR8J3	0.1145
LTBP4	0.183
SIRT6	-0.1125
CCL19	1.2725
PPIL1	-0.579
GBP7	0.282833333333333
STK17A	-0.0234
ABR	0.2285
OR9G1	-0.461
FOXE1	-0.124875
CNGA3	0.932
GML	0.325
CD38	-3.4565
ZDHHC6	-0.148166666666667
