Hybridization REF	TCGA-A2-A0YK-01A-22R-A109-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.25275
CREB3L1	1.24125
RPS11	0.623625
PNMA1	-0.071
MMP2	0.788166666666667
C10orf90	0.132
ZHX3	-0.308833333333333
ERCC5	0.477
GPR98	-1.049625
RXFP3	0.171
APBB2	0.555
PRO0478	-0.380375
KLHL13	-0.25475
PRSSL1	-0.656
PDCL3	0.0425
DECR1	-0.169
SALL1	-3.08216666666667
CADM4	0.401833333333333
RPS18	0.280428571428571
HNRPD	-0.343833333333333
CFHR5	0.00899999999999999
SLC10A7	0.3475
OR2K2	-0.296
LMAN1	-0.896875
SUHW1	-4.194
CHD8	-0.2444
SUMO1	0.0921
GP1BA	2.937
DDB1	-0.00433333333333333
MYO9B	0.1834
MMP7	6.50525
CRNKL1	0.306625
C9orf45	-0.0263333333333333
XAB2	0.11525
RTN1	1.720875
KLHL14	-0.292875
TBX10	-1.33
CENPQ	-1.6725
UTY	-0.973923076923077
ZBTB12	0.5025
DTNBP1	0.124625
KBTBD8	-0.105666666666667
ZEB1	0.6295
ZG16	-1.8725
MIER1	0.1422
ADAM5P	-0.0035
CHD9	0.263125
STK16	-0.32775
KIAA1486	-0.1075
TOB2	0.64525
BANK1	5.90975
OR2V2	0.33475
GRM2	-0.158666666666667
PROSC	2.019375
SPIN2B	-0.23625
PIR	-2.797
IPO9	-0.6159
EVC	0.697166666666667
CXCL13	6.2415
KIAA1199	-3.417
SORL1	1.658
NAT10	-0.6735
CHD1	-0.14875
SYN3	-0.5505
SLC22A2	-0.733
SERPINF1	1.60733333333333
WDR34	-0.66
OR7A17	0.355
C9orf11	0.8095
RNF216L	-0.2236
LHB	0.0735
STK25	-0.2645
TAOK3	1.1165
LOC152573	-1.26375
C3orf39	0.1135
C14orf108	0.8367
CDC25B	-1.375
BMP3	-0.103
TMEM180	-0.216
MAP1LC3C	2.376
CRYGC	-0.501
POU3F1	-1.1843
C20orf32	-1.2555
CCDC95	-0.648
HIGD1B	4.431
USP6NL	0.086375
ABCD4	0.0446666666666667
DIMT1L	-0.289166666666667
TEK	2.159875
SLC25A46	-0.6755
LARP7	-1.6416
CD160	1.16116666666667
MT1JP	0.668166666666667
PHF20	0.0985625
CPNE4	-1.9985
GTPBP1	-0.0605714285714286
RAB33B	1.1475
ALDOC	-1.726625
ZNF212	-0.01375
NUDT1	-1.11416666666667
RFPL2	-0.2425
ZNF83	0.17
GDPD5	-0.33325
PDCD4	2.13495
CEP350	0.5125
OR10A2	0.26725
CST7	2.786
CIAO1	-1.145
SELL	2.871375
OR8J3	-0.179
LTBP4	0.734833333333333
SIRT6	-0.39125
CCL19	5.387
PPIL1	-1.40333333333333
GBP7	-0.452666666666667
STK17A	-0.1711
ABR	0.33475
OR9G1	0.325
FOXE1	-1.057875
CNGA3	1.2905
GML	0.2145
CD38	-0.0105
ZDHHC6	0.353666666666667
NEFH	-0.71675
CTDSP2	1.04916666666667
PGBD5	-1.55883333333333
CCNY	0.266357142857143
RMND5B	0.0678333333333333
ZNF257	-1.9115
FLJ22167	-0.367
EXOSC7	-0.555
ROR2	0.896375
MAOA	1.287
TNNT3	2.308
GYPC	0.20825
C7orf33	-0.68
PLIN	4.2595
LOC90826	-0.18725
RNF4	0.1599
F8A1	0.819666666666667
PLEKHG4	-1.0645
GRB2	0.2006
HIST1H2AD	-0.4985
DUS3L	-0.296833333333333
EIF1	-0.4525
RP5-1077B9.4	-1.13633333333333
FPGT	1.35475
GDF10	3.53283333333333
COQ9	-0.35025
GCC2	0.2785
RARRES3	3.12825
PLXNA1	-0.1685
KIAA0100	-0.1775
PMF1	0.057
FNDC1	5.0105
HS2ST1	-0.3335
CRELD2	0.191
C8G	-1.688
CD82	1.5085
LIM2	-1.187
UNQ6490	-0.2575
MMP16	0.74775
DRD3	-0.11875
C5orf26	-0.29025
C11orf73	-0.812875
PTP4A2	0.162375
OR4M2	1.104
HPCA	-0.922833333333333
SEC14L1	-0.0535
CHFR	0.092875
EMILIN1	1.021375
NDUFS4	-0.3675
COL18A1	0.36975
PDZD3	-0.0657
C9orf16	-0.233166666666667
ERBB2IP	0.2015
EMX2	3.42325
FUS	-0.46275
TF	-2.6004
CLCN4	0.736666666666667
CXorf56	0.32175
C11orf72	-0.1395
ELAC2	-0.727666666666667
NPR1	0.8605
ASS1	-1.1935
USP42	0.10175
POLR2J	-0.977
SEC23IP	0.707
UQCRC1	0.09975
LOC729603	-0.451
C1orf71	-0.0905
POLG	-2.2945
ADAM23	-3.196
TFR2	-2.04475
RICTOR	-0.5009
MGC39606	2.02825
C19orf55	-0.392125
SNAPC1	-1.89133333333333
GNA11	1.1225
CCDC52	-0.145333333333333
