Hybridization REF	TCGA-B6-A0WW-01A-11R-A109-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.464166666666667
CREB3L1	0.976
RPS11	-0.238625
PNMA1	0.088
MMP2	0.789
C10orf90	-1.84
ZHX3	-0.125666666666667
ERCC5	-0.14725
GPR98	0.551
RXFP3	0.555
APBB2	3.0015
PRO0478	-0.561625
KLHL13	-2.27975
PRSSL1	-0.344
PDCL3	0.562
DECR1	0.896
SALL1	-2.46716666666667
CADM4	0.660833333333333
RPS18	-0.447571428571429
HNRPD	-0.635833333333333
CFHR5	0.592333333333333
SLC10A7	0.321625
OR2K2	-0.24
LMAN1	-1.40375
SUHW1	-3.515
CHD8	0.5207
SUMO1	0.5901
GP1BA	-0.1554
DDB1	0.288
MYO9B	-0.3592
MMP7	6.364
CRNKL1	1.095375
C9orf45	-1.16683333333333
XAB2	0.3215
RTN1	0.710125
KLHL14	-0.9185
TBX10	-0.899
CENPQ	-1.47075
UTY	-0.828785714285714
ZBTB12	-0.582
DTNBP1	-0.00487500000000002
KBTBD8	-1.9835
ZEB1	-0.0608333333333333
ZG16	2.016
MIER1	-0.0149
ADAM5P	-0.1505
CHD9	-0.5075
STK16	0.3035
KIAA1486	0.048
TOB2	0.215583333333333
BANK1	0.6035
OR2V2	0.41625
GRM2	0.204
PROSC	1.804
SPIN2B	0.0135
PIR	-1.66933333333333
IPO9	0.3901
EVC	0.938166666666667
CXCL13	2.63266666666667
KIAA1199	-0.3395
SORL1	0.88675
NAT10	-0.57325
CHD1	0.3845
SYN3	-0.484
SLC22A2	-0.13475
SERPINF1	1.05066666666667
WDR34	0.08625
OR7A17	0.57275
C9orf11	-0.102
RNF216L	-0.0791
LHB	0.2315
STK25	-0.0815
TAOK3	1.097125
LOC152573	-2.56825
C3orf39	0.112
C14orf108	1.046
CDC25B	-2.08045454545455
BMP3	-0.113
TMEM180	0.339
MAP1LC3C	-0.031
CRYGC	0.2395
POU3F1	-1.2689
C20orf32	-1.3815
CCDC95	-0.4055
HIGD1B	3.86925
USP6NL	0.167625
ABCD4	-0.8415
DIMT1L	-1.3325
TEK	0.764625
SLC25A46	-0.90225
LARP7	-1.7914
CD160	0.302166666666667
MT1JP	-0.545166666666667
PHF20	0.12125
CPNE4	-1.18725
GTPBP1	-0.728857142857143
RAB33B	0.755666666666667
ALDOC	-3.084875
ZNF212	-0.09625
NUDT1	-0.9285
RFPL2	1.0915
ZNF83	0.236666666666667
GDPD5	-1.06
PDCD4	2.41055
CEP350	0.69725
OR10A2	0.314
CST7	0.46225
CIAO1	-0.4335
SELL	0.3995
OR8J3	-0.156
LTBP4	-0.521333333333333
SIRT6	-0.0965
CCL19	2.19175
PPIL1	-0.424
GBP7	-0.0488333333333333
STK17A	-0.8894
ABR	0.1625
OR9G1	-0.437
FOXE1	-0.603875
CNGA3	0.3775
GML	0.491
CD38	-2.67425
ZDHHC6	0.884
NEFH	-2.73425
CTDSP2	0.0585833333333333
PGBD5	-1.93466666666667
CCNY	0.281714285714286
RMND5B	1.05366666666667
ZNF257	-3.1565
FLJ22167	-0.447875
EXOSC7	-0.9795
ROR2	1.59025
MAOA	-0.927375
TNNT3	0.0773333333333333
GYPC	-1.8595
C7orf33	0.2835
PLIN	0.9125
LOC90826	-0.278
RNF4	0.3088
F8A1	1.17566666666667
PLEKHG4	-2.59125
GRB2	0.46505
HIST1H2AD	1.19825
DUS3L	-1.00433333333333
EIF1	-0.118
RP5-1077B9.4	-1.52466666666667
FPGT	1.2235
GDF10	-0.786166666666667
COQ9	-0.27175
GCC2	-0.0423571428571429
RARRES3	3.107625
PLXNA1	-0.7222
KIAA0100	-0.2554
PMF1	0.27525
FNDC1	5.0155
HS2ST1	-0.63125
CRELD2	-0.00425
C8G	-1.822
CD82	0.6115
LIM2	-0.2025
UNQ6490	0.3145
MMP16	0.17475
DRD3	0.295
C5orf26	-2.19875
C11orf73	-0.847875
PTP4A2	1.064125
OR4M2	0.309
HPCA	-0.438
SEC14L1	-0.215
CHFR	-0.20475
EMILIN1	1.079375
NDUFS4	0.0315
COL18A1	0.1575
PDZD3	0.1552
C9orf16	0.0843333333333333
ERBB2IP	0.425833333333333
EMX2	1.8585
FUS	-0.433
TF	-3.752
CLCN4	-0.693666666666667
CXorf56	0.112
C11orf72	0.19925
ELAC2	-0.206166666666667
NPR1	-1.21325
ASS1	-2.86383333333333
USP42	0.171
POLR2J	-0.429
SEC23IP	0.8435
UQCRC1	-0.6915
LOC729603	-0.76925
C1orf71	0.841125
POLG	-2.392
ADAM23	-3.46425
TFR2	-1.26425
RICTOR	-1.6643
MGC39606	-0.31825
C19orf55	-0.33775
SNAPC1	-1.671
GNA11	0.937625
CCDC52	0.164833333333333
FSIP1	4.7975
UPF3A	-1.145
IGSF11	-2.645
LAGE3	0.959
CHST6	-1.447
UNC13B	1.559625
TTLL4	-0.4905
ZNF687	1.115125
SDC2	0.0246
COX7A2	0.393
LAMB4	-0.0145
FAM24A	-0.386
LRRTM3	-0.874666666666667
GPHB5	-0.13925
OR4C13	0.0995
EIF3EIP	-0.539285714285714
HABP4	-1.1015
TMEM125	2.9015
CNTN2	0.746875
ASNSD1	-0.437
FUT4	-0.000625000000000011
ACF	-4.03325
LOC158381	0.451
CDH8	0.102
AGPS	-1.6185
C4orf18	2.01725
PECI	0.1185
UNG	-0.60025
GSTP1	-2.3815
DCUN1D5	-2.09516666666667
DKFZP564J0863	-0.441
SLC9A3R1	2.445125
BCDO2	-0.68375
CHMP7	0.129625
REM2	0.7735
DNHD1	-0.797375
FKBP4	0.70525
ZNF350	1.96375
MGC11102	0.795
BST1	0.58075
KISS1R	0.949
NCR2	0.338
DEFB125	-0.601
UBE2W	2.030125
KRT15	-0.13775
C10orf99	0.1725
SCN11A	-0.225375
GFI1	-2.58175
RDHE2	-0.882
FHL1	-1.75566666666667
OSGEP	-0.200833333333333
GATA1	-3.4
SMC6	-1.265
TTTY14	-0.7935
LPIN3	-0.00275
RPL4	-1.0873
RBPMS	0.4254
PRPF3	-0.350166666666667
EMR1	-1.1435
SPATA19	-0.16325
XCR1	0.185
IRX3	1.9466
RBM6	-1.35325
KLF4	-1.5664
UNC5CL	0.001
SEBOX	0.461
BTK	-1.4025
KRCC1	0.64225
C6orf27	0.703
SYTL5	-0.921
PRND	1.1985
LOC653319	-1.7245
PIGL	-0.924375
HUS1	0.362333333333333
SFRS6	0.79725
C17orf77	0.1095
UIMC1	-0.728666666666667
FXYD2	-1.6083
LOC283152	0.28175
ZNF667	-1.56975
ZCCHC12	-0.30725
TFEC	2.0423
ATP7B	0.662333333333333
POLD2	-1.03683333333333
RG9MTD1	0.91775
ACOT2	0.650333333333333
HIST1H4I	-0.612625
PPARGC1A	-2.7727
ETFA	-1.4644
POLRMT	-0.24725
ZNF146	-0.266
MIA2	0.424
KLHL6	-1.52633333333333
HOXB5	0.27775
NENF	1.70183333333333
CUGBP1	0.23325
PRSS22	1.078
CASC4	1.69
CUL4B	-0.2019
