Hybridization REF	TCGA-A2-A0YC-01A-11R-A109-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.529916666666667
CREB3L1	0.11375
RPS11	-0.21625
PNMA1	0.07425
MMP2	0.593166666666667
C10orf90	-1.667
ZHX3	-0.295
ERCC5	0.23575
GPR98	1.16525
RXFP3	-0.4265
APBB2	2.07625
PRO0478	-0.406375
KLHL13	-2.88125
PRSSL1	-0.8325
PDCL3	0.5685
DECR1	0.050875
SALL1	-2.77866666666667
CADM4	0.708
RPS18	-0.268571428571429
HNRPD	-0.402833333333333
CFHR5	0.311
SLC10A7	0.54575
OR2K2	0.392
LMAN1	-0.13
SUHW1	-3.5745
CHD8	-0.0565
SUMO1	0.1297
GP1BA	0.0357
DDB1	0.450333333333333
MYO9B	-0.1441
MMP7	5.119
CRNKL1	1.275125
C9orf45	-1.16083333333333
XAB2	0.303875
RTN1	2.284875
KLHL14	-1.515375
TBX10	-1.044
CENPQ	-1.46875
UTY	-0.860571428571428
ZBTB12	0.233
DTNBP1	-0.337875
KBTBD8	-1.18083333333333
ZEB1	0.367666666666667
ZG16	-0.48125
MIER1	0.4183
ADAM5P	-0.789
CHD9	-0.4344375
STK16	0.104
KIAA1486	-0.4275
TOB2	0.533166666666667
BANK1	1.77675
OR2V2	0.08375
GRM2	0.0723333333333333
PROSC	0.819
SPIN2B	-0.527
PIR	-1.78622222222222
IPO9	-0.3176
EVC	0.093
CXCL13	1.86083333333333
KIAA1199	-0.4482
SORL1	-0.55525
NAT10	-0.69425
CHD1	0.2375
SYN3	-0.3295
SLC22A2	0.00325
SERPINF1	0.740333333333333
WDR34	-0.496
OR7A17	0.0985
C9orf11	-0.072
RNF216L	-0.5811
LHB	-0.4255
STK25	-0.6395
TAOK3	0.716
LOC152573	-2.62925
C3orf39	0.1365
C14orf108	0.9826
CDC25B	-1.85281818181818
BMP3	0.017
TMEM180	-0.2365
MAP1LC3C	0.5165
CRYGC	0.0735
POU3F1	-1.5889
C20orf32	-1.404
CCDC95	-0.3305
HIGD1B	3.747
USP6NL	-0.022
ABCD4	-0.207833333333333
DIMT1L	-0.780416666666667
TEK	1.0865
SLC25A46	-0.431
LARP7	-1.488
CD160	0.228
MT1JP	-1.01433333333333
PHF20	0.132875
CPNE4	-0.1145
GTPBP1	0.0393571428571429
RAB33B	1.143
ALDOC	-3.168625
ZNF212	-0.3535
NUDT1	-1.5495
RFPL2	-1.4665
ZNF83	0.760166666666667
GDPD5	-1.59775
PDCD4	2.34575
CEP350	1.11325
OR10A2	0.1865
CST7	0.66925
CIAO1	-0.9795
SELL	1.19375
OR8J3	0.3875
LTBP4	-0.716
SIRT6	-0.02675
CCL19	3.91675
PPIL1	-0.950666666666667
GBP7	0.219833333333333
STK17A	-1.0265
ABR	-0.36875
OR9G1	0.1615
FOXE1	-1.004875
CNGA3	0.2925
GML	0.412
CD38	-2.55425
ZDHHC6	0.303333333333333
NEFH	-2.31725
CTDSP2	0.577
PGBD5	-1.20316666666667
CCNY	-0.097
RMND5B	0.549333333333333
ZNF257	-4.72466666666667
FLJ22167	-0.968
EXOSC7	-0.798833333333333
ROR2	1.020125
MAOA	1.447125
TNNT3	0.415833333333333
GYPC	-1.62775
C7orf33	0.5665
PLIN	3.60816666666667
LOC90826	0.448
RNF4	0.2425
F8A1	0.770333333333333
PLEKHG4	-2.19325
GRB2	0.5825
HIST1H2AD	1.51275
DUS3L	-1.25283333333333
EIF1	0.226833333333333
RP5-1077B9.4	-1.411
FPGT	2.0445
GDF10	-0.000333333333333334
COQ9	-0.78175
GCC2	0.476714285714286
RARRES3	2.8795
PLXNA1	-0.8192
KIAA0100	0.35
PMF1	-0.0635
FNDC1	4.52275
HS2ST1	-0.318166666666667
CRELD2	0.12325
C8G	-2.1675
CD82	-0.201
LIM2	-0.7335
UNQ6490	-0.605
MMP16	-0.3075
DRD3	-0.03175
C5orf26	-1.09425
C11orf73	-0.906875
PTP4A2	1.702125
OR4M2	0.0335
HPCA	-0.826666666666667
SEC14L1	-0.659666666666667
CHFR	-0.61825
EMILIN1	0.629375
NDUFS4	-0.29875
COL18A1	0.324125
PDZD3	-0.0426
C9orf16	-0.09
ERBB2IP	-0.0315
EMX2	1.92325
FUS	-0.598
TF	-4.0417
CLCN4	-0.451666666666667
CXorf56	0.6035
C11orf72	-0.148
ELAC2	-1.26208333333333
NPR1	-0.48025
ASS1	-3.07716666666667
USP42	0.050375
POLR2J	-0.7545
SEC23IP	0.957
UQCRC1	-0.12275
LOC729603	-0.3425
C1orf71	0.35475
POLG	-1.4925
ADAM23	-3.613
TFR2	-1.49225
RICTOR	-0.1825
MGC39606	-0.37575
C19orf55	-0.315875
SNAPC1	-1.66216666666667
GNA11	0.54525
CCDC52	0.0553333333333333
FSIP1	4.6835
UPF3A	-0.28825
IGSF11	-2.5045
LAGE3	0.257
CHST6	-2.1535
UNC13B	0.673625
TTLL4	-1.956375
ZNF687	0.426375
SDC2	1.2272
COX7A2	0.219
LAMB4	-0.0515
FAM24A	0.0455
LRRTM3	-0.5475
GPHB5	-0.35875
OR4C13	0.7275
EIF3EIP	-0.322785714285714
HABP4	-1.0295
TMEM125	3.27575
CNTN2	-0.230625
ASNSD1	-0.065
FUT4	-0.533
ACF	-3.712
LOC158381	1.1815
CDH8	0.22675
AGPS	-0.217833333333333
C4orf18	2.108625
PECI	0.197666666666667
UNG	-0.6865
GSTP1	-2.211625
DCUN1D5	-1.99116666666667
DKFZP564J0863	-1.14075
SLC9A3R1	2.5205
BCDO2	-0.493125
CHMP7	0.23675
REM2	0.988
DNHD1	-0.386625
FKBP4	0.8515
ZNF350	1.286
MGC11102	0.119125
BST1	1.53975
KISS1R	0.069
NCR2	0.00850000000000001
DEFB125	0.762
UBE2W	1.0365
KRT15	2.92275
C10orf99	-0.119
SCN11A	0.119857142857143
GFI1	-2.1615
RDHE2	2.85033333333333
FHL1	0.476166666666667
OSGEP	-0.298666666666667
GATA1	-3.354
SMC6	-0.934
TTTY14	-1.05425
LPIN3	0.018
RPL4	-0.6008
