Hybridization REF	TCGA-A2-A0YL-01A-21R-A109-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.166166666666667
CREB3L1	0.7295
RPS11	0.8535
PNMA1	0.39925
MMP2	1.55033333333333
C10orf90	-0.463
ZHX3	-0.396833333333333
ERCC5	0.06775
GPR98	0.391
RXFP3	0.048
APBB2	1.49425
PRO0478	-1.379625
KLHL13	1.04375
PRSSL1	-0.805
PDCL3	-0.0353333333333333
DECR1	-0.269375
SALL1	-2.468
CADM4	0.7045
RPS18	0.798214285714286
HNRPD	-0.399166666666667
CFHR5	0.678833333333333
SLC10A7	0.45875
OR2K2	-0.0275
LMAN1	-0.863625
SUHW1	-4.213
CHD8	-0.0649
SUMO1	0.0152
GP1BA	0.8718
DDB1	0.0291666666666667
MYO9B	-0.2386
MMP7	6.07375
CRNKL1	1.239625
C9orf45	-1.48316666666667
XAB2	0.43525
RTN1	2.397125
KLHL14	-0.56725
TBX10	-1.4575
CENPQ	-1.3455
UTY	-0.834785714285714
ZBTB12	-0.089
DTNBP1	-0.437125
KBTBD8	-1.107
ZEB1	0.506333333333333
ZG16	-1.93825
MIER1	0.5315
ADAM5P	0.3485
CHD9	0.199375
STK16	-0.5395
KIAA1486	-0.818
TOB2	0.977333333333333
BANK1	2.572
OR2V2	0.38575
GRM2	-0.0906666666666667
PROSC	0.326875
SPIN2B	0.2375
PIR	-2.42455555555556
IPO9	-0.521
EVC	1.03816666666667
CXCL13	3.3355
KIAA1199	-2.337
SORL1	1.33525
NAT10	-0.67875
CHD1	-0.04625
SYN3	-0.39725
SLC22A2	-0.4215
SERPINF1	0.679666666666667
WDR34	-0.13675
OR7A17	0.169
C9orf11	0.051
RNF216L	-0.4589
LHB	-0.5555
STK25	-0.82
TAOK3	1.08675
LOC152573	-1.91475
C3orf39	-0.118
C14orf108	0.8568
CDC25B	-1.84818181818182
BMP3	0.665
TMEM180	-0.3195
MAP1LC3C	1.67275
CRYGC	0.056
POU3F1	-1.723
C20orf32	-1.527
CCDC95	-0.7565
HIGD1B	4.21275
USP6NL	0.7285
ABCD4	-0.0395
DIMT1L	-0.448916666666667
TEK	1.551125
SLC25A46	-0.22025
LARP7	-1.6887
CD160	1.10766666666667
MT1JP	0.9525
PHF20	0.063875
CPNE4	-1.315
GTPBP1	-0.4855
RAB33B	1.54083333333333
ALDOC	-2.376
ZNF212	-0.01025
NUDT1	-1.16033333333333
RFPL2	0.20875
ZNF83	0.575333333333333
GDPD5	-1.276375
PDCD4	2.02735
CEP350	0.84725
OR10A2	0.31375
CST7	1.413
CIAO1	-0.835
SELL	1.9385
OR8J3	0.223
LTBP4	-0.223333333333333
SIRT6	-0.523
CCL19	4.62125
PPIL1	-0.978
GBP7	0.068
STK17A	-0.4692
ABR	-0.18675
OR9G1	-0.32
FOXE1	-0.617125
CNGA3	0.513
GML	0.386
CD38	-2.05625
ZDHHC6	0.407
NEFH	0.89725
CTDSP2	0.8305
PGBD5	-1.28016666666667
CCNY	-0.00471428571428571
RMND5B	0.564916666666667
ZNF257	-0.237
FLJ22167	-0.3805
EXOSC7	-1.00733333333333
ROR2	1.374875
MAOA	-0.01875
TNNT3	0.986666666666667
GYPC	-0.84725
C7orf33	0.2905
PLIN	2.69283333333333
LOC90826	0.4305
RNF4	0.1738
F8A1	0.216166666666667
PLEKHG4	-1.4165
GRB2	-0.4238
HIST1H2AD	-1.35025
DUS3L	-0.5345
EIF1	-0.5905
RP5-1077B9.4	-1.62216666666667
FPGT	1.782
GDF10	1.3975
COQ9	-0.63525
GCC2	0.4325
RARRES3	2.880125
PLXNA1	-0.423
KIAA0100	-0.9217
PMF1	0.1175
FNDC1	4.8115
HS2ST1	-0.0593333333333333
CRELD2	0.03725
C8G	-1.88
CD82	0.86275
LIM2	-1.561
UNQ6490	0.0075
MMP16	0.393
DRD3	-0.138
C5orf26	0.04325
C11orf73	-0.554625
PTP4A2	0.402375
OR4M2	0.243
HPCA	-1.43466666666667
SEC14L1	-0.5835
CHFR	-0.488875
EMILIN1	0.8995
NDUFS4	-0.0475
COL18A1	0.35975
PDZD3	-0.152
C9orf16	0.139166666666667
ERBB2IP	0.290166666666667
EMX2	2.47075
FUS	-0.89975
TF	-3.8503
CLCN4	0.8535
CXorf56	0.19625
C11orf72	0.11975
ELAC2	-1.14241666666667
NPR1	-0.4715
ASS1	-2.5785
USP42	0.089125
POLR2J	-0.795
SEC23IP	0.764166666666667
UQCRC1	-0.9535
LOC729603	-0.669
