Hybridization REF	TCGA-AR-A0U4-01A-11R-A109-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.457083333333333
CREB3L1	0.14175
RPS11	-0.017375
PNMA1	0.29825
MMP2	0.028
C10orf90	-0.3395
ZHX3	-0.497833333333333
ERCC5	-0.96425
GPR98	-2.045
RXFP3	0.4685
APBB2	0.28975
PRO0478	-1.287875
KLHL13	-1.11725
PRSSL1	-0.529666666666667
PDCL3	-0.104333333333333
DECR1	0.699
SALL1	-4.27016666666667
CADM4	0.549833333333333
RPS18	0.0883571428571428
HNRPD	-0.386666666666667
CFHR5	0.540333333333333
SLC10A7	0.165
OR2K2	0.053
LMAN1	0.18275
SUHW1	-3.18075
CHD8	0.3712
SUMO1	0.2486
GP1BA	0.5166
DDB1	0.0243333333333333
MYO9B	0.1973
MMP7	7.635
CRNKL1	-0.08525
C9orf45	-2.5135
XAB2	0.018875
RTN1	2.215
KLHL14	-1.86671428571429
TBX10	-0.547
CENPQ	-0.914
UTY	-1.03614285714286
ZBTB12	0.689
DTNBP1	-0.293875
KBTBD8	-0.556
ZEB1	-0.1025
ZG16	-1.671
MIER1	-0.0589
ADAM5P	0.526
CHD9	-0.206125
STK16	0.49925
KIAA1486	-0.184
TOB2	0.926416666666667
BANK1	1.048
OR2V2	0.17225
GRM2	0.208166666666667
PROSC	0.17125
SPIN2B	-0.862
PIR	-1.41622222222222
IPO9	0.0418
EVC	-1.04116666666667
CXCL13	6.56166666666667
KIAA1199	0.7062
SORL1	0.22825
NAT10	-0.1455
CHD1	-1.14225
SYN3	-0.85725
SLC22A2	0.25825
SERPINF1	0.6515
WDR34	-0.89625
OR7A17	0.1505
C9orf11	0.3435
RNF216L	-0.5326
LHB	0.186
STK25	-0.342375
TAOK3	0.171125
LOC152573	-0.2605
C3orf39	-0.192125
C14orf108	-0.0226
CDC25B	-0.262818181818182
BMP3	0.7925
TMEM180	-0.1035
MAP1LC3C	-0.196666666666667
CRYGC	-0.3125
POU3F1	-0.9916
C20orf32	-0.3175
CCDC95	-0.209
HIGD1B	1.394
USP6NL	0.942125
ABCD4	-1.13166666666667
DIMT1L	-0.239833333333333
TEK	0.7945
SLC25A46	-1.467
LARP7	-1.9113
CD160	0.1445
MT1JP	0.677666666666667
PHF20	-0.7934375
CPNE4	-1.2645
GTPBP1	-0.188428571428571
RAB33B	-0.157
ALDOC	-2.46075
ZNF212	-0.744
NUDT1	-0.8935
RFPL2	-0.426
ZNF83	-0.970833333333333
GDPD5	-0.917375
PDCD4	-0.29015
CEP350	-0.4705
OR10A2	0.5815
CST7	1.77575
CIAO1	-0.5555
SELL	0.948875
OR8J3	1.199
LTBP4	-0.711666666666667
SIRT6	0.67575
CCL19	4.01
PPIL1	-0.5815
GBP7	0.349833333333333
STK17A	-1.3189
ABR	-0.0355
OR9G1	0.259
FOXE1	-0.546
