Hybridization REF	TCGA-B6-A0WX-01A-11R-A109-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.244666666666667
CREB3L1	1.27125
RPS11	0.08475
PNMA1	0.07675
MMP2	1.5935
C10orf90	-0.846
ZHX3	-0.255333333333333
ERCC5	-0.12375
GPR98	-1.700125
RXFP3	0.4175
APBB2	0.2995
PRO0478	-0.7125
KLHL13	-1.07125
PRSSL1	-1.05333333333333
PDCL3	0.316833333333333
DECR1	0.310125
SALL1	-2.37966666666667
CADM4	0.900666666666667
RPS18	0.524571428571429
HNRPD	-1.05541666666667
CFHR5	0.259
SLC10A7	-0.163375
OR2K2	0.274
LMAN1	-0.78375
SUHW1	-2.20075
CHD8	-0.0238
SUMO1	0.5137
GP1BA	1.9087
DDB1	-0.2745
MYO9B	0.4235
MMP7	7.89925
CRNKL1	0.65175
C9orf45	-1.97016666666667
XAB2	0.235375
RTN1	1.740375
KLHL14	-0.93175
TBX10	-1.2895
CENPQ	-1.671
UTY	-0.689142857142857
ZBTB12	0.3175
DTNBP1	-0.0555
KBTBD8	-0.65
ZEB1	1.41333333333333
ZG16	-1.22575
MIER1	0.9412
ADAM5P	0.125
CHD9	0.1985
STK16	-0.54175
KIAA1486	-0.134
TOB2	0.3985
BANK1	3.34
OR2V2	0.21175
GRM2	0.0435
PROSC	0.5685
SPIN2B	-0.37875
PIR	-0.708888888888889
IPO9	0.4523
EVC	1.505
CXCL13	6.62283333333333
KIAA1199	-1.9593
SORL1	1.58925
NAT10	0.83375
CHD1	-0.88225
SYN3	-0.10975
SLC22A2	0.0835
SERPINF1	1.38966666666667
WDR34	-0.72425
OR7A17	0.2315
C9orf11	-0.1405
RNF216L	0.2094
LHB	-0.047
STK25	-0.148875
TAOK3	0.75375
LOC152573	-0.32975
C3orf39	0.77575
C14orf108	-0.6422
CDC25B	-2.10036363636364
BMP3	-0.13
TMEM180	-0.26
MAP1LC3C	0.34375
CRYGC	-0.47
POU3F1	-1.068
C20orf32	-1.3155
CCDC95	-0.02
HIGD1B	3.33325
USP6NL	0.430375
ABCD4	-0.778166666666667
DIMT1L	-0.789416666666667
TEK	0.599625
SLC25A46	-1.47175
LARP7	-1.5905
CD160	0.608166666666667
MT1JP	0.0268333333333334
PHF20	-0.27925
CPNE4	0.19025
GTPBP1	-0.609071428571429
RAB33B	0.223333333333333
ALDOC	-2.647375
ZNF212	0.09825
NUDT1	-0.883
RFPL2	-0.0815
ZNF83	-0.209166666666667
GDPD5	0.108875
PDCD4	0.1361
CEP350	1.40225
OR10A2	0.4125
CST7	0.742
CIAO1	0.2085
SELL	1.7345
OR8J3	0.341
LTBP4	0.294333333333333
SIRT6	0.235
CCL19	5.50775
PPIL1	-0.8935
GBP7	0.0118333333333333
STK17A	0.1633
ABR	0.83775
OR9G1	-0.0905
FOXE1	-0.30475
CNGA3	0.7995
GML	-0.1265
CD38	-0.99075
ZDHHC6	-0.356
NEFH	-1.43175
CTDSP2	0.565833333333333
PGBD5	3.80183333333333
CCNY	0.41
RMND5B	-0.492
ZNF257	0.525
FLJ22167	0.2965
EXOSC7	0.0765
ROR2	0.959125
MAOA	-0.98475
TNNT3	2.11966666666667
GYPC	-0.979
C7orf33	0.5875
PLIN	1.59433333333333
LOC90826	-0.65875
RNF4	-0.2891
F8A1	0.517166666666667
PLEKHG4	-1.07425
GRB2	-0.35635
HIST1H2AD	0.215
DUS3L	-0.791
EIF1	-0.657
RP5-1077B9.4	-0.659166666666667
FPGT	2.02475
GDF10	1.3975
COQ9	0.22575
GCC2	0.275714285714286
RARRES3	1.43775
PLXNA1	0.6256
KIAA0100	-0.4472
PMF1	0.34875
FNDC1	5.7455
HS2ST1	0.759083333333333
CRELD2	0.74625
C8G	-1.3295
CD82	2.35575
LIM2	-1.646
UNQ6490	0.161
MMP16	0.4865
DRD3	-0.03475
C5orf26	-0.995
C11orf73	-0.877125
PTP4A2	-0.653375
OR4M2	-0.1845
HPCA	-1.239
SEC14L1	-0.504666666666667
CHFR	-0.118
EMILIN1	1.38025
NDUFS4	-0.65075
COL18A1	0.81775
PDZD3	-0.2389
C9orf16	-0.0108333333333333
ERBB2IP	0.217166666666667
EMX2	3.57325
FUS	-0.7015
TF	-2.4084
CLCN4	0.403
CXorf56	0.09075
C11orf72	0.38125
ELAC2	-0.124833333333333
NPR1	-0.80475
ASS1	-1.37366666666667
USP42	0.712125
POLR2J	-0.5965
SEC23IP	0.5
UQCRC1	-0.8065
LOC729603	-0.69375
C1orf71	0.431
POLG	-2.1515
ADAM23	-3.085
TFR2	-1.22175
RICTOR	-0.4201
MGC39606	1.13925
C19orf55	-0.340375
