Hybridization REF	TCGA-AN-A0XP-01A-11R-A109-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.564833333333333
CREB3L1	1.72
RPS11	0.750375
PNMA1	-0.42475
MMP2	0.339833333333333
C10orf90	-2.11725
ZHX3	0.383833333333333
ERCC5	0.4825
GPR98	0.671
RXFP3	0.0745
APBB2	1.718
PRO0478	-0.1745
KLHL13	-4.2035
PRSSL1	-0.521333333333333
PDCL3	-0.0686666666666667
DECR1	0.211375
SALL1	-3.51666666666667
CADM4	1.583
RPS18	0.600428571428571
HNRPD	-1.32841666666667
CFHR5	0.9105
SLC10A7	-0.0695
OR2K2	0.503
LMAN1	-1.369375
SUHW1	-3.72175
CHD8	0.17
SUMO1	0.3717
GP1BA	-0.2827
DDB1	-0.271833333333333
MYO9B	-0.131
MMP7	5.659
CRNKL1	0.799
C9orf45	-1.29116666666667
XAB2	0.578125
RTN1	2.712125
KLHL14	-2.15542857142857
TBX10	-0.839
CENPQ	-1.874
UTY	-1.46935714285714
ZBTB12	0.075
DTNBP1	0.49225
KBTBD8	-1.729
ZEB1	0.851666666666667
ZG16	-2.435
MIER1	0.5635
ADAM5P	0.721
CHD9	-0.595625
STK16	-0.27075
KIAA1486	-0.5215
TOB2	1.24483333333333
BANK1	0.9955
OR2V2	-0.05325
GRM2	0.203833333333333
PROSC	0.259125
SPIN2B	-0.57
PIR	-2.08366666666667
IPO9	-0.3671
EVC	0.504166666666667
CXCL13	2.06766666666667
KIAA1199	-0.161
SORL1	1.10025
NAT10	-0.54375
CHD1	-0.16675
SYN3	-0.29825
SLC22A2	-0.5625
SERPINF1	0.961333333333333
WDR34	-0.25925
OR7A17	-0.10375
C9orf11	0.22
RNF216L	0.1268
LHB	-0.085
STK25	-0.68575
TAOK3	0.422875
LOC152573	-2.381
C3orf39	0.85325
C14orf108	0.214
CDC25B	-2.12472727272727
BMP3	-0.44
TMEM180	-0.652
MAP1LC3C	-0.87975
CRYGC	-0.7895
POU3F1	-1.1162
C20orf32	-2.277
CCDC95	-0.259
HIGD1B	5.39325
USP6NL	-0.69975
ABCD4	-0.532666666666667
DIMT1L	-0.718833333333333
TEK	0.712375
SLC25A46	-0.32275
LARP7	-1.0877
CD160	-0.0915
MT1JP	-0.249
PHF20	0.5691875
CPNE4	-2.02575
GTPBP1	0.663785714285714
RAB33B	0.7605
ALDOC	-2.595375
ZNF212	0.000500000000000007
NUDT1	-1.27333333333333
RFPL2	-1.07775
ZNF83	-0.0595
GDPD5	-0.81025
PDCD4	0.83055
CEP350	0.32825
OR10A2	0.3845
CST7	-0.3745
CIAO1	-1.13375
SELL	0.078
OR8J3	-0.2535
LTBP4	-0.1905
SIRT6	0.17325
CCL19	0.672
PPIL1	-0.756166666666667
GBP7	0.00333333333333335
STK17A	-1.2059
ABR	-0.3795
OR9G1	0.3275
FOXE1	-0.785625
CNGA3	0.084
GML	0.189
CD38	-2.87925
ZDHHC6	-0.289166666666667
NEFH	-2.17025
CTDSP2	0.05525
PGBD5	-2.2755
CCNY	-0.379857142857143
RMND5B	0.878916666666667
ZNF257	-0.438
FLJ22167	-1.913375
EXOSC7	-0.250166666666667
ROR2	1.63675
MAOA	-1.74225
TNNT3	-0.51
GYPC	-0.961
C7orf33	1.008
PLIN	0.192666666666667
LOC90826	-0.764
RNF4	-0.2449
F8A1	0.129333333333333
PLEKHG4	-1.9995
GRB2	0.1268
HIST1H2AD	0.592
DUS3L	-0.216333333333333
EIF1	-0.2305
RP5-1077B9.4	-0.861333333333333
FPGT	1.58
GDF10	-2.59383333333333
COQ9	-0.57975
GCC2	0.0962857142857143
RARRES3	4.179625
PLXNA1	-0.6143
KIAA0100	-0.2498
PMF1	0.691
FNDC1	6.20225
HS2ST1	0.383416666666667
CRELD2	0.609
C8G	-1.59
CD82	1.14975
LIM2	-1.362
UNQ6490	-0.155
MMP16	-0.241
DRD3	-0.05975
C5orf26	-0.0085
C11orf73	-0.7185
PTP4A2	1.14075
OR4M2	0.6655
HPCA	-1.33633333333333
SEC14L1	-0.6495
CHFR	-0.386
EMILIN1	1.04375
NDUFS4	-0.022
COL18A1	0.734
PDZD3	-0.1566
C9orf16	0.16
ERBB2IP	0.5345
EMX2	1.74725
FUS	-0.887
TF	-3.267
CLCN4	-1.32933333333333
CXorf56	0.1345
C11orf72	0.272
ELAC2	-0.7555
NPR1	-0.83925
ASS1	-2.67516666666667
USP42	0.3925
POLR2J	-0.3105
SEC23IP	0.709833333333333
UQCRC1	-0.018
LOC729603	0.19875
C1orf71	0.08275
POLG	-2.3185
ADAM23	-3.268
TFR2	-1.544
RICTOR	-0.5102
MGC39606	-0.398
C19orf55	-0.28025
SNAPC1	-1.78866666666667
GNA11	1.083875
CCDC52	-0.246833333333333
FSIP1	5.1955
UPF3A	-1.108625
IGSF11	-2.6712
LAGE3	0.118
CHST6	-1.7205
UNC13B	0.265375
TTLL4	-1.6055
ZNF687	0.95375
SDC2	-0.8651
COX7A2	0.5855
LAMB4	-0.5405
FAM24A	0.487
LRRTM3	-0.809833333333333
GPHB5	0.08525
OR4C13	0.3245
EIF3EIP	-0.252785714285714
HABP4	-1.0995
TMEM125	3.53725
CNTN2	0.975625
ASNSD1	-0.61625
FUT4	-0.591125
ACF	-3.4185
LOC158381	0.9845
CDH8	0.4625
AGPS	-0.785166666666667
C4orf18	4.431625
PECI	0.272583333333333
UNG	-1.2115
GSTP1	-2.1685
DCUN1D5	-0.831833333333333
DKFZP564J0863	-0.27225
SLC9A3R1	1.675125
BCDO2	0.34775
CHMP7	-0.52425
REM2	0.869
DNHD1	-0.552375
FKBP4	0.358
ZNF350	2.58975
MGC11102	0.15775
BST1	1.1645
KISS1R	2.336
NCR2	-1.0095
DEFB125	-0.406
UBE2W	1.29375
KRT15	-0.609625
C10orf99	0.394
SCN11A	0.184625
GFI1	-3.271
RDHE2	4.59383333333333
FHL1	-1.431
OSGEP	-0.0116666666666667
GATA1	-2.815
SMC6	-1.146
TTTY14	-0.2895
LPIN3	-0.38975
RPL4	-1.2775
RBPMS	0.822
PRPF3	0.136
EMR1	-2.154
SPATA19	-0.453
XCR1	0.0025
IRX3	2.2639
RBM6	-1.09125
KLF4	0.7912
UNC5CL	-2.17575
SEBOX	0.0285
BTK	-1.6955
KRCC1	-0.0125
C6orf27	0.748
SYTL5	-0.5975
PRND	2.59775
LOC653319	-1.5695
PIGL	-1.416
HUS1	-0.175
SFRS6	0.400666666666667
C17orf77	0.377
UIMC1	-0.901166666666667
FXYD2	-1.7056
LOC283152	2.70225
ZNF667	0.159
ZCCHC12	-0.82225
TFEC	2.3983
ATP7B	0.1125
POLD2	-1.15966666666667
RG9MTD1	-0.00975
ACOT2	0.335833333333333
HIST1H4I	-0.422125
PPARGC1A	-2.9384
ETFA	-1.8912
POLRMT	0.068
ZNF146	-0.924375
MIA2	-2.3975
KLHL6	-1.22483333333333
HOXB5	2.4025
NENF	1.02716666666667
CUGBP1	0.1425
PRSS22	2.157
CASC4	1.1681
CUL4B	0.2536
CENPJ	-2.2172
PITX1	1.43333333333333
FLJ31033	1.352
CELSR3	-0.909166666666667
ZNF568	0.754
ITSN1	-0.674333333333333
EHBP1L1	-0.797666666666667
C19orf2	-0.779
DCTN1	-0.1525
LIN28B	-2.90983333333333
TNKS2	-2.36675
C1QBP	-1.184125
CADPS2	1.78225
SRMS	0.827
GJA9	-0.225333333333333
MGC24975	-0.3895
TRIM45	0.776833333333333
TSP50	-0.807
TCP1	-1.061
TMED7	1.1204
CMA1	-0.919
CENPL	-1.17616666666667
PTCRA	0.8935
FST	-2.37575
VWCE	-3.628
PAWR	-0.09575
ABCC12	0.713833333333333
LDLR	0.3035
ASTN2	0.8975
LOC441212	-1.27275
GPATCH8	-0.35475
TANC2	0.0453333333333333
KIF4A	-2.316
C18orf18	-2.59875
PGM1	-1.246
KIAA0258	1.16225
CPD	0.560625
SNCAIP	-2.06266666666667
DCT	-4.02466666666667
HLA-DOA	1.81436363636364
OR11L1	0.3465
UPK1B	-0.141166666666667
DNAJB4	-1.197875
UGT1A8	-0.304
HIST1H4L	-0.4185
PECR	-1.3675
HSPA2	1.80525
WFIKKN1	-2.6485
SERP1	0.732625
SYDE2	1.1785
TACR2	0.8975
NUP85	-0.5705
CD177	-0.362
LGR5	-1.74766666666667
PIGG	0.382916666666667
PTHR1	-1.717
RAB5A	-0.1868
FLJ13224	0.065
USP9Y	-1.675
C7orf53	-0.66
LRP1B	-1.77525
XAF1	3.6519
ABCG8	-0.7215
ANKDD1A	-0.854333333333333
DAND5	-2.3825
SPAG6	6.33216666666667
LINCR	2.3075
ZDHHC22	-1.817875
CCDC60	1.41
THOC7	-1.1115
TCTA	2.102
OR8K3	-0.5025
NY-REN-7	-0.5085
B2M	2.38833333333333
C6orf141	-2.154625
LPPR4	3.41575
SQLE	-2.380375
SEPHS1	-0.97075
BTBD14B	0.953071428571429
PLRG1	-0.49425
SPG7	-0.6676875
ZNF614	-0.111666666666667
PARD6G	1.6285
INPP5B	-1.0274
GRPEL2	-0.353875
PPID	-0.6297
TRIM56	0.3255
UBE2J1	-0.906375
IL20RA	5.74775
LOC387856	-0.28175
C1orf107	0.63175
UTS2R	2.69725
C19orf22	-0.89475
SAFB2	0.183125
KIAA0652	0.13125
KLRG1	-0.3815
MS4A8B	0.664833333333333
FRAG1	-0.145
KIAA1546	0.02225
E2F4	-1.7227
CLEC4M	0.9255
BTBD14A	-0.74125
KIAA0999	1.7334
GYPA	-3.3632
TAC1	0.6973
TRAIP	-1.4385
KIAA0232	0.5802
ERCC8	-1.638
GPX4	0.733625
KIAA0368	-0.3815
GPR157	0.944666666666667
CTAGE4	0.3295
C9orf30	-1.5365
OR52A1	0.0135
HSP90B3P	-1.26
ALG9	-0.0222
