Hybridization REF	TCGA-A2-A0YD-01A-11R-A109-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.263166666666667
CREB3L1	1.5675
RPS11	0.4815
PNMA1	0.48575
MMP2	1.37283333333333
C10orf90	-1.64125
ZHX3	-0.419
ERCC5	0.41175
GPR98	-1.808
RXFP3	0.097
APBB2	1.38025
PRO0478	-1.182875
KLHL13	-1.415
PRSSL1	-0.421833333333333
PDCL3	0.0985
DECR1	0.2515
SALL1	-2.603
CADM4	0.1165
RPS18	0.338428571428572
HNRPD	-0.6835
CFHR5	-0.390833333333333
SLC10A7	0.377375
OR2K2	-0.0805
LMAN1	-1.033125
SUHW1	-4.035
CHD8	-0.0082
SUMO1	0.4028
GP1BA	0.9898
DDB1	-0.168833333333333
MYO9B	-0.1456
MMP7	6.76075
CRNKL1	0.779875
C9orf45	-2.29016666666667
XAB2	-0.032125
RTN1	1.81
KLHL14	-1.55525
TBX10	-0.72
CENPQ	-1.44075
UTY	-1.32858333333333
ZBTB12	-0.4075
DTNBP1	-0.127375
KBTBD8	-0.484
ZEB1	1.29333333333333
ZG16	-1.79025
MIER1	0.7893
ADAM5P	-1.6415
CHD9	-0.474625
STK16	-0.13175
KIAA1486	0.0115
TOB2	0.793583333333333
BANK1	3.307
OR2V2	0.17125
GRM2	-0.129166666666667
PROSC	0.1345
SPIN2B	0.01675
PIR	-1.97777777777778
IPO9	-0.0587
EVC	1.20483333333333
CXCL13	4.08183333333333
KIAA1199	-1.0715
SORL1	1.76225
NAT10	-0.4705
CHD1	-0.331
SYN3	-0.8825
SLC22A2	0.162
SERPINF1	1.79166666666667
WDR34	-0.3425
OR7A17	0.0565
C9orf11	0.00499999999999998
RNF216L	-0.3653
LHB	-0.238
STK25	-0.4665
TAOK3	0.505625
LOC152573	-1.8225
C3orf39	0.616625
C14orf108	0.2313
CDC25B	-1.87781818181818
BMP3	0.2155
TMEM180	0.151
MAP1LC3C	0.9695
CRYGC	-1.077
POU3F1	-1.1315
C20orf32	-1.082
CCDC95	-0.1865
HIGD1B	4.45025
USP6NL	-0.419125
ABCD4	0.0141666666666667
DIMT1L	-0.540833333333333
TEK	1.6325
SLC25A46	-0.52075
LARP7	-1.2625
CD160	0.2445
MT1JP	-0.688666666666667
PHF20	0.0349375
CPNE4	-1.07425
GTPBP1	-0.794571428571428
RAB33B	0.641833333333333
ALDOC	-2.6385
ZNF212	-0.31375
NUDT1	-1.3685
RFPL2	0.07375
ZNF83	-0.299
GDPD5	-0.305875
PDCD4	2.65645
CEP350	0.55825
OR10A2	0.321
CST7	1.11275
CIAO1	-0.84275
SELL	1.671625
OR8J3	-0.098
LTBP4	0.0503333333333333
SIRT6	0.28525
CCL19	5.26575
PPIL1	-1.3545
GBP7	0.000666666666666681
STK17A	-0.4262
ABR	0.19625
OR9G1	0.2445
FOXE1	-0.804875
CNGA3	0.1225
GML	-0.00600000000000001
CD38	-2.13475
ZDHHC6	-0.0391666666666667
NEFH	0.03075
CTDSP2	0.4165
PGBD5	-1.33366666666667
CCNY	-7.14285714285527e-05
RMND5B	0.310583333333333
ZNF257	-0.655
FLJ22167	-0.759875
EXOSC7	-0.4985
ROR2	1.678625
MAOA	1.10125
TNNT3	1.95316666666667
GYPC	-0.29425
