Hybridization REF	TCGA-A2-A0YM-01A-11R-A109-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.417
CREB3L1	-0.15175
RPS11	-0.047125
PNMA1	0.2675
MMP2	-0.101333333333333
C10orf90	-0.69625
ZHX3	-1.23416666666667
ERCC5	-0.17725
GPR98	-1.714875
RXFP3	0.4865
APBB2	-0.08825
PRO0478	-1.42825
KLHL13	-0.98675
PRSSL1	-0.803
PDCL3	0.269666666666667
DECR1	-0.425375
SALL1	-3.88266666666667
CADM4	1.01633333333333
RPS18	1.22821428571429
HNRPD	-0.152833333333333
CFHR5	0.7586
SLC10A7	0.00887500000000001
OR2K2	0.104
LMAN1	0.071
SUHW1	-3.045
CHD8	-0.632
SUMO1	0.9974
GP1BA	0.3913
DDB1	-0.621166666666667
MYO9B	0.3937
MMP7	7.947
CRNKL1	-0.030375
C9orf45	-0.808833333333333
XAB2	0.18775
RTN1	1.744375
KLHL14	-1.957125
TBX10	-0.7305
CENPQ	-0.542
UTY	-0.906214285714286
ZBTB12	0.5245
DTNBP1	0.05225
KBTBD8	-1.092
ZEB1	-1.52716666666667
ZG16	-1.07625
MIER1	-0.4435
ADAM5P	-0.0865
CHD9	-1.023
STK16	0.68675
KIAA1486	-0.1735
TOB2	0.610166666666667
BANK1	1.6395
OR2V2	0.46075
GRM2	0.148666666666667
PROSC	-0.178125
SPIN2B	-0.4245
PIR	-2.68533333333333
IPO9	-0.0551
EVC	0.323833333333333
CXCL13	4.931
KIAA1199	-0.9105
SORL1	-0.31875
NAT10	-0.3445
CHD1	-0.812
SYN3	-0.55075
SLC22A2	-0.29775
SERPINF1	0.368
WDR34	1.0465
OR7A17	0.15775
C9orf11	-0.372
RNF216L	-0.0751
LHB	0.122
STK25	0.42725
TAOK3	0.534125
LOC152573	-1.69375
C3orf39	0.8455
C14orf108	0.4238
CDC25B	-0.458454545454545
BMP3	0.807
TMEM180	-0.367
MAP1LC3C	1.895
CRYGC	-0.302
POU3F1	-0.9534
C20orf32	-0.8795
CCDC95	-0.3155
HIGD1B	1.336
USP6NL	1.54625
ABCD4	-0.858166666666667
DIMT1L	-0.684916666666667
TEK	0.056625
SLC25A46	-0.92525
LARP7	-1.6333
CD160	0.156
MT1JP	1.57133333333333
PHF20	-0.762625
CPNE4	2.54325
GTPBP1	-0.0526428571428571
RAB33B	1.18283333333333
ALDOC	-2.705625
ZNF212	-0.454
NUDT1	-0.705666666666667
RFPL2	-0.2235
ZNF83	-1.236
GDPD5	-1.179375
PDCD4	0.3006
CEP350	-0.158
OR10A2	0.4435
CST7	1.21275
CIAO1	-0.376
SELL	1.047625
OR8J3	0.249
LTBP4	-0.0571666666666667
SIRT6	0.3135
CCL19	4.832
PPIL1	-0.152
GBP7	0.2515
STK17A	-1.3086
ABR	0.448
OR9G1	0.243
FOXE1	-0.736375
CNGA3	0.7515
GML	0.049
CD38	0.084
ZDHHC6	0.540333333333333
NEFH	-2.71525
CTDSP2	0.136833333333333
PGBD5	4.21533333333333
CCNY	0.530428571428571
RMND5B	-0.0484166666666667
ZNF257	-0.802
FLJ22167	-0.581
EXOSC7	0.026
ROR2	0.465375
MAOA	-0.810125
TNNT3	0.936166666666666
GYPC	-1.02375
C7orf33	0.9385
PLIN	2.10433333333333
LOC90826	-0.37925
RNF4	-0.1411
F8A1	0.997
PLEKHG4	-0.362
GRB2	0.1963
HIST1H2AD	0.4895
DUS3L	0.0371666666666667
EIF1	-0.758666666666667
RP5-1077B9.4	-0.0256666666666666
FPGT	-0.434
GDF10	-1.26133333333333
COQ9	-0.68575
GCC2	-0.4075
RARRES3	0.6115
PLXNA1	0.1644
KIAA0100	-0.2044
PMF1	0.37225
FNDC1	5.90275
HS2ST1	0.596
CRELD2	0.6635
C8G	-0.464
CD82	1.70775
LIM2	-1.271
UNQ6490	0.01
MMP16	-0.8685
DRD3	0.0225
C5orf26	-1.89475
C11orf73	-0.267125
PTP4A2	-0.474125
OR4M2	0.28
HPCA	-1.077
SEC14L1	-0.265833333333333
CHFR	-0.33425
EMILIN1	0.66425
NDUFS4	-1.0865
COL18A1	-0.101125
PDZD3	-0.0646
C9orf16	0.639166666666667
ERBB2IP	-0.438666666666667
EMX2	2.59925
FUS	-1.08225
TF	-3.1481
CLCN4	0.500333333333333
CXorf56	0.172
C11orf72	0.341
ELAC2	-0.21325
NPR1	-0.74
ASS1	-0.208666666666667
USP42	0.281875
POLR2J	-0.9875
SEC23IP	-0.201166666666667
UQCRC1	0.086
LOC729603	-0.3785
C1orf71	-0.458375
POLG	-1.459
ADAM23	-3.414
TFR2	-0.2465
RICTOR	-1.3459
MGC39606	1.338
C19orf55	-0.04875
SNAPC1	-1.06683333333333
GNA11	0.410375
CCDC52	-0.177333333333333
FSIP1	-1.709
UPF3A	-0.290875
IGSF11	0.284333333333333
LAGE3	0.113
CHST6	1.8745
UNC13B	-0.2155
TTLL4	1.292375
ZNF687	0.3055
SDC2	-0.6741
COX7A2	0.089
LAMB4	0.02825
FAM24A	0.3095
LRRTM3	-0.6955
GPHB5	0.481
OR4C13	-0.174
EIF3EIP	0.200928571428571
HABP4	-0.351
TMEM125	5.3455
CNTN2	0.70225
ASNSD1	-0.169
FUT4	-0.065625
ACF	-3.714
LOC158381	-0.362
CDH8	0.22475
AGPS	0.156
C4orf18	0.86875
PECI	-1.50433333333333
UNG	-0.041625
GSTP1	0.5535
DCUN1D5	-1.334
DKFZP564J0863	-0.43125
SLC9A3R1	0.053375
BCDO2	-1.199
CHMP7	-0.5715
REM2	0.531
DNHD1	-0.229625
FKBP4	0.178875
ZNF350	0.769
MGC11102	-0.040125
BST1	1.9015
KISS1R	1.3235
NCR2	0.0245
DEFB125	0.35
UBE2W	1.176
KRT15	2.065125
C10orf99	0.636
SCN11A	0.443
GFI1	-1.08675
RDHE2	2.65733333333333
FHL1	-1.242
OSGEP	-0.106
GATA1	-3.349
SMC6	-0.64475
TTTY14	-1.11275
LPIN3	-0.7415
RPL4	-0.3834
RBPMS	-0.0287
PRPF3	0.67
EMR1	-1.6995
SPATA19	-0.45875
XCR1	0.366
IRX3	0.9475
RBM6	-1.29725
KLF4	-0.4087
UNC5CL	-0.466
SEBOX	-0.238
BTK	-0.51475
KRCC1	0.5135
C6orf27	0.4095
SYTL5	-0.95
PRND	0.5295
LOC653319	-1.3195
PIGL	-0.519875
HUS1	-0.3135
SFRS6	-1.18191666666667
C17orf77	-0.0955
UIMC1	-0.856166666666667
FXYD2	-1.0547
LOC283152	0.14275
ZNF667	-0.58475
ZCCHC12	-0.643
TFEC	3.8824
ATP7B	-2.27716666666667
POLD2	-0.175166666666667
RG9MTD1	0.72375
ACOT2	-0.552
HIST1H4I	-0.94625
PPARGC1A	-1.185
ETFA	-2.1912
POLRMT	-0.2165
ZNF146	0.02525
MIA2	-1.76
KLHL6	-0.351
HOXB5	-1.729
NENF	0.744666666666667
CUGBP1	0.17375
PRSS22	1.2395
CASC4	0.1862
CUL4B	-0.119
CENPJ	-1.3653
PITX1	-0.2765
FLJ31033	1.65933333333333
CELSR3	1.13516666666667
ZNF568	-0.651
ITSN1	-0.752416666666667
EHBP1L1	-0.127166666666667
C19orf2	0.49275
DCTN1	-0.08975
LIN28B	-3.57466666666667
TNKS2	-0.0645
C1QBP	-0.312
CADPS2	-0.105
SRMS	0.398
GJA9	-0.00433333333333334
MGC24975	-0.220333333333333
TRIM45	-0.641666666666667
TSP50	0.1745
TCP1	-0.98175
TMED7	-0.8097
CMA1	-0.1225
CENPL	-0.219833333333333
PTCRA	0.0125
FST	-4.5765
VWCE	-3.647
PAWR	-0.80675
ABCC12	0.201166666666667
LDLR	-1.3429
ASTN2	-0.6823
LOC441212	-0.33825
GPATCH8	-0.20675
TANC2	-0.0444166666666667
KIF4A	-0.3555
C18orf18	-3.694
PGM1	-0.62875
KIAA0258	1.43225
CPD	-1.1225
SNCAIP	-2.15625
DCT	-4.02916666666667
HLA-DOA	2.78590909090909
OR11L1	0.5285
UPK1B	4.00316666666667
DNAJB4	1.09775
UGT1A8	-0.282
HIST1H4L	-0.4505
PECR	-1.03433333333333
HSPA2	-0.94825
WFIKKN1	-1.7305
SERP1	0.491625
