Hybridization REF	TCGA-B6-A0WY-01A-11R-A109-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.292416666666667
CREB3L1	0.8535
RPS11	0.597875
PNMA1	-0.20775
MMP2	0.935166666666667
C10orf90	-2.104
ZHX3	0.00966666666666667
ERCC5	0.15825
GPR98	0.057875
RXFP3	0.5515
APBB2	1.462
PRO0478	-1.3535
KLHL13	1.66575
PRSSL1	0.319
PDCL3	0.170833333333333
DECR1	0.134
SALL1	-2.80166666666667
CADM4	0.940333333333333
RPS18	0.7635
HNRPD	-0.968
CFHR5	0.541166666666667
SLC10A7	0.012125
OR2K2	1.012
LMAN1	-1.15
SUHW1	-3.94025
CHD8	0.2864
SUMO1	0.5737
GP1BA	0.9136
DDB1	-0.121166666666667
MYO9B	-0.1899
MMP7	7.02275
CRNKL1	0.49975
C9orf45	-1.79583333333333
XAB2	0.121125
RTN1	2.0075
KLHL14	-1.3245
TBX10	-1.0155
CENPQ	-1.35875
UTY	-0.808142857142857
ZBTB12	0.225
DTNBP1	0.135125
KBTBD8	-0.927166666666667
ZEB1	0.8385
ZG16	-0.64125
MIER1	0.2827
ADAM5P	0.822
CHD9	0.037375
STK16	-0.2555
KIAA1486	-0.115
TOB2	0.62475
BANK1	3.18875
OR2V2	0.396
GRM2	0.445
PROSC	1.6535
SPIN2B	-0.4035
PIR	-1.94344444444444
IPO9	-0.7911
EVC	1.00966666666667
CXCL13	7.93683333333333
KIAA1199	-2.7635
SORL1	0.76475
NAT10	-0.284
CHD1	-0.247
SYN3	-0.7325
SLC22A2	-0.2975
SERPINF1	1.19633333333333
WDR34	-0.0245
OR7A17	0.34425
C9orf11	-0.2025
RNF216L	-0.4667
LHB	-0.1275
STK25	-0.435625
TAOK3	0.550375
LOC152573	-2.10975
C3orf39	0.628625
C14orf108	0.2777
CDC25B	-1.51154545454545
BMP3	0.331
TMEM180	-0.093
MAP1LC3C	-0.11175
CRYGC	-0.0955
POU3F1	-1.1614
C20orf32	-0.7215
CCDC95	-0.035
HIGD1B	4.49175
USP6NL	0.121375
ABCD4	-0.325333333333333
DIMT1L	-0.478916666666667
TEK	1.183375
SLC25A46	-0.60925
LARP7	-1.6675
CD160	0.517
MT1JP	1.39516666666667
PHF20	-0.1188125
CPNE4	-0.2045
GTPBP1	0.0719285714285714
RAB33B	0.5415
ALDOC	-1.371125
ZNF212	-0.2795
NUDT1	-1.10316666666667
RFPL2	-0.66175
ZNF83	-0.909166666666667
GDPD5	-0.274625
PDCD4	2.0241
CEP350	-0.4635
OR10A2	0.249
CST7	0.62675
CIAO1	-0.237
SELL	0.747
OR8J3	-0.379
LTBP4	0.0318333333333333
SIRT6	-0.06475
CCL19	5.33025
PPIL1	-0.502333333333333
GBP7	0.509666666666667
STK17A	-0.7893
ABR	0.28025
OR9G1	-0.2555
FOXE1	-0.26475
CNGA3	0.4655
GML	0.3075
CD38	-1.60875
ZDHHC6	-0.270666666666667
NEFH	-0.13575
CTDSP2	0.53675
PGBD5	-2.14016666666667
CCNY	-0.0715714285714286
RMND5B	0.923416666666667
ZNF257	-0.3445
FLJ22167	0.072625
EXOSC7	-0.400833333333333
ROR2	0.73425
MAOA	0.787
TNNT3	0.8965
GYPC	-0.292
C7orf33	0.6775
PLIN	0.591666666666667
LOC90826	-0.6845
RNF4	-0.2857
F8A1	0.2395
PLEKHG4	-1.30475
GRB2	-0.0973
HIST1H2AD	1.0265
DUS3L	-0.594166666666667
EIF1	-0.2515
RP5-1077B9.4	-1.12366666666667
FPGT	0.5535
GDF10	0.178833333333333
COQ9	0.3835
GCC2	-0.0512142857142857
RARRES3	3.298
PLXNA1	-0.3747
KIAA0100	-0.5313
PMF1	-0.252
FNDC1	5.47975
HS2ST1	0.355833333333333
CRELD2	1.05275
C8G	-1.613
CD82	1.0295
LIM2	-1.861
