Hybridization REF	TCGA-AO-A0J7-01A-11R-A034-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.0156666666666667
CREB3L1	0.69525
RPS11	0.877
PNMA1	1.31625
MMP2	-0.0923333333333333
C10orf90	-1.90875
ZHX3	-0.417833333333333
ERCC5	0.449
GPR98	-0.57975
RXFP3	0.7465
APBB2	1.95625
PRO0478	-1.37325
KLHL13	-3.29833333333333
PRSSL1	-1.26183333333333
PDCL3	-0.0165
DECR1	-0.539375
SALL1	-3.34116666666667
CADM4	0.9015
RPS18	0.136428571428571
HNRPD	-0.74925
CFHR5	1.85183333333333
SLC10A7	-0.408625
OR2K2	0.6275
LMAN1	-1.465625
SUHW1	-3.6495
CHD8	0.3762
SUMO1	0.6675
GP1BA	-0.0593
DDB1	-0.533833333333333
MYO9B	0.0575
MMP7	6.725
CRNKL1	0.458375
C9orf45	-0.977
XAB2	0.92225
RTN1	0.42
KLHL14	-1.6455
TBX10	-0.6765
CENPQ	-1.34525
UTY	-0.965846153846154
ZBTB12	0.11
DTNBP1	-0.473875
KBTBD8	-2.64616666666667
ZEB1	-0.844833333333333
ZG16	-1.10575
MIER1	-0.4883
ADAM5P	-1.0685
CHD9	-0.6945625
STK16	0.9665
KIAA1486	-0.385
TOB2	1.0295
BANK1	-0.1285
OR2V2	0.525
GRM2	0.1375
PROSC	0.183375
SPIN2B	0.12025
PIR	-4.46466666666667
IPO9	-0.3064
EVC	0.387833333333333
CXCL13	1.8446
KIAA1199	-1.4277
SORL1	0.5375
NAT10	-0.355
CHD1	-0.12525
SYN3	-1.182
SLC22A2	-0.0342499999999999
SERPINF1	-0.601333333333333
WDR34	0.0315
OR7A17	-0.072
C9orf11	-0.3295
RNF216L	-0.8122
LHB	0.1285
STK25	-0.319375
TAOK3	0.5105
LOC152573	-2.962
C3orf39	1.63225
C14orf108	0.1706
CDC25B	-0.612363636363637
BMP3	0.195
TMEM180	0.3005
MAP1LC3C	-0.454
CRYGC	-0.544
POU3F1	-1.0995
C20orf32	-1.069
CCDC95	-0.141
HIGD1B	3.4265
USP6NL	-0.254625
ABCD4	-0.528166666666667
DIMT1L	-0.0295833333333334
TEK	0.676875
SLC25A46	0.1355
LARP7	-1.6153
CD160	0.5965
MT1JP	-1.451
PHF20	-0.3559375
CPNE4	0.96775
GTPBP1	-0.273928571428571
RAB33B	0.991
ALDOC	-2.874125
ZNF212	-0.09525
NUDT1	-1.24016666666667
RFPL2	-1.216
ZNF83	-0.268666666666667
GDPD5	-1.553125
PDCD4	1.8551
CEP350	0.09075
OR10A2	0.58875
CST7	-0.1935
CIAO1	-1.1365
SELL	0.2125
OR8J3	-0.328
LTBP4	-0.774666666666667
