Hybridization REF	TCGA-A2-A0YE-01A-11R-A109-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.147416666666667
CREB3L1	0.02925
RPS11	0.404875
PNMA1	0.4755
MMP2	0.552333333333333
C10orf90	-1.16925
ZHX3	0.382166666666667
ERCC5	-0.46375
GPR98	-1.71875
RXFP3	0.6835
APBB2	0.29575
PRO0478	-1.126125
KLHL13	-3.5955
PRSSL1	-0.684666666666667
PDCL3	0.204666666666667
DECR1	-0.52025
SALL1	-3.087
CADM4	2.638
RPS18	-0.00292857142857138
HNRPD	-0.490666666666667
CFHR5	0.385166666666667
SLC10A7	0.309625
OR2K2	0.2535
LMAN1	-0.157125
SUHW1	-2.57175
CHD8	-0.2464
SUMO1	1.3246
GP1BA	0.0172
DDB1	0.189833333333333
MYO9B	0.0361
MMP7	8.3255
CRNKL1	-0.332
C9orf45	-1.997
XAB2	0.409625
RTN1	0.550625
KLHL14	-1.357375
TBX10	-1.2115
CENPQ	-1.27975
UTY	-0.891214285714286
ZBTB12	0.608
DTNBP1	-0.647375
KBTBD8	-1.6215
ZEB1	-0.910666666666667
ZG16	-1.55625
MIER1	-0.5557
ADAM5P	-0.3595
CHD9	-0.39325
STK16	1.12675
KIAA1486	-0.0265
TOB2	0.657916666666667
BANK1	1.97075
OR2V2	-0.00275
GRM2	0.0163333333333334
PROSC	-0.057125
SPIN2B	0.34275
PIR	-2.01988888888889
IPO9	0.0371
EVC	1.0815
CXCL13	5.193
KIAA1199	-0.0728
SORL1	-1.5455
NAT10	0.0745
CHD1	-1.24975
SYN3	-0.0635
SLC22A2	-0.53025
SERPINF1	-0.1505
WDR34	-1.04675
OR7A17	0.26825
C9orf11	-0.2505
RNF216L	0.3679
LHB	-0.0415
STK25	0.29925
TAOK3	0.51
LOC152573	-1.444
C3orf39	0.96825
C14orf108	-0.2191
CDC25B	-1.42509090909091
BMP3	0.6365
TMEM180	-0.0925
MAP1LC3C	-0.1325
CRYGC	0.0465
POU3F1	-1.2663
C20orf32	-1.443
CCDC95	0.248
HIGD1B	2.969
USP6NL	1.24275
ABCD4	-0.431666666666667
DIMT1L	-0.729083333333333
TEK	0.583375
SLC25A46	-0.595
LARP7	-1.9366
CD160	-0.25
MT1JP	-0.208166666666667
PHF20	0.0184375
CPNE4	-1.3055
GTPBP1	-0.249857142857143
RAB33B	0.730333333333333
ALDOC	-3.383
ZNF212	-0.34625
NUDT1	0.541333333333333
RFPL2	-0.5105
ZNF83	0.027
GDPD5	1.99575
PDCD4	-0.51715
CEP350	0.035
OR10A2	-0.00525
CST7	1.05825
CIAO1	0.24425
SELL	0.24425
OR8J3	0.086
LTBP4	-1.0335
SIRT6	-0.9165
CCL19	4.11175
PPIL1	0.0348333333333333
GBP7	0.254333333333333
STK17A	-1.0236
ABR	-0.3435
OR9G1	0.343
FOXE1	-0.862125
CNGA3	-0.247
GML	0.763
CD38	-0.757
ZDHHC6	-0.487833333333333
NEFH	-3.12625
CTDSP2	0.198833333333333
PGBD5	0.107666666666667
CCNY	0.396142857142857
RMND5B	0.117416666666667
ZNF257	0.10525
FLJ22167	-0.8165
EXOSC7	-0.0716666666666667
ROR2	0.11125
MAOA	-2.454625
TNNT3	0.614833333333333
GYPC	-1.76025
C7orf33	1.304
PLIN	0.731
LOC90826	-0.57975
RNF4	-0.0171
F8A1	0.685
PLEKHG4	-2.80775
GRB2	-0.3249
HIST1H2AD	-0.537
DUS3L	-1.137
EIF1	-0.836833333333333
RP5-1077B9.4	-0.533333333333333
FPGT	0.98075
GDF10	-0.745666666666667
COQ9	-0.33375
GCC2	0.0160714285714285
RARRES3	1.678625
PLXNA1	0.5739
KIAA0100	-0.1946
PMF1	-0.02325
FNDC1	5.72425
HS2ST1	0.19075
CRELD2	0.8145
C8G	-1.6805
CD82	1.0315
LIM2	-1.442
UNQ6490	-0.3145
MMP16	1.28725
DRD3	-0.04875
C5orf26	-1.475
C11orf73	-0.706625
PTP4A2	-0.46825
OR4M2	0.47
HPCA	-1.04066666666667
SEC14L1	-0.752
CHFR	-0.671625
EMILIN1	0.382125
NDUFS4	-0.7895
COL18A1	0.640125
PDZD3	0.1148
C9orf16	0.5115
ERBB2IP	0.397333333333333
EMX2	3.56425
FUS	-0.29725
TF	-2.1285
CLCN4	2.0325
CXorf56	0.7375
C11orf72	0.30875
ELAC2	-0.762416666666667
NPR1	-1.5745
ASS1	-0.307
USP42	0.007
POLR2J	-0.163
SEC23IP	0.0233333333333333
UQCRC1	0.37375
LOC729603	-0.614
C1orf71	0.24175
POLG	-0.3215
ADAM23	-3.80175
TFR2	-1.2895
RICTOR	-0.8981
MGC39606	2.5295
C19orf55	-0.333375
SNAPC1	-1.52316666666667
GNA11	-0.72475
CCDC52	-0.210333333333333
FSIP1	-1.4105
UPF3A	-0.703625
IGSF11	-2.45316666666667
LAGE3	1.638
CHST6	1.779
UNC13B	-0.215375
TTLL4	1.412125
ZNF687	0.14225
SDC2	1.2195
COX7A2	0.57325
LAMB4	-0.26225
FAM24A	0.777
LRRTM3	-0.884333333333334
GPHB5	0.0245
OR4C13	0.4615
EIF3EIP	-0.221857142857143
HABP4	0.128
TMEM125	3.52975
CNTN2	1.494375
ASNSD1	0.628
FUT4	-1.094
ACF	-3.961
LOC158381	0.073
CDH8	-0.0935
AGPS	-0.293666666666667
C4orf18	0.94825
PECI	-1.7225
UNG	-1.0255
GSTP1	0.895
DCUN1D5	-0.944
DKFZP564J0863	-0.188
SLC9A3R1	0.2945
BCDO2	-1.001375
CHMP7	-0.135
REM2	0.619
DNHD1	-0.302625
FKBP4	0.42375
ZNF350	0.821
MGC11102	0.40775
BST1	1.17225
KISS1R	1.2825
NCR2	0.1225
DEFB125	0.501
UBE2W	1.3785
KRT15	3.2055
C10orf99	0.4715
SCN11A	0.00850000000000001
GFI1	-2.68025
RDHE2	-0.7355
FHL1	-2.21866666666667
OSGEP	0.00700000000000001
GATA1	-3.6425
SMC6	-0.04175
TTTY14	-1.00725
LPIN3	-0.09925
RPL4	-0.5824
RBPMS	-0.2937
PRPF3	-0.494333333333333
EMR1	-2.74
SPATA19	0.2
XCR1	0.2775
IRX3	2.1381
RBM6	-0.59425
KLF4	-1.5974
UNC5CL	-0.80425
SEBOX	0.1495
BTK	-1.8765
KRCC1	0.81625
C6orf27	0.1985
SYTL5	-1.1835
PRND	1.184125
LOC653319	-1.342
PIGL	-1.22725
HUS1	0.611
SFRS6	-0.842583333333333
C17orf77	0.491
UIMC1	-1.54233333333333
FXYD2	-1.4054
LOC283152	1.086
ZNF667	0.2335
ZCCHC12	0.62775
TFEC	1.3478
ATP7B	-0.0973333333333333
POLD2	-0.229833333333333
RG9MTD1	-0.92325
ACOT2	-0.813333333333333
HIST1H4I	-0.448
PPARGC1A	-1.7358
ETFA	-1.6407
POLRMT	-1.495
ZNF146	0.543875
MIA2	-1.2975
KLHL6	-1.59266666666667
HOXB5	-1.8945
NENF	1.04033333333333
CUGBP1	0.40975
PRSS22	2.50066666666667
CASC4	1.2243
CUL4B	0.0111
CENPJ	-1.1193
PITX1	-0.6735
FLJ31033	0.8535
CELSR3	-1.50183333333333
ZNF568	0.693
ITSN1	-0.1725
EHBP1L1	-0.499166666666667
C19orf2	-0.38375
DCTN1	-0.248
LIN28B	-3.057
TNKS2	0.272
C1QBP	-1.077125
CADPS2	0.971
SRMS	-0.106
GJA9	0.422
MGC24975	-0.801666666666667
TRIM45	-1.01916666666667
TSP50	3.2785
TCP1	-0.16325
TMED7	0.6746
CMA1	0.0325
CENPL	-0.7855
