Hybridization REF	TCGA-A2-A0YT-01A-11R-A109-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.31375
CREB3L1	0.1135
RPS11	-0.115125
PNMA1	-0.398
MMP2	-0.132
C10orf90	-2.37025
ZHX3	-0.00666666666666666
ERCC5	-1.016
GPR98	0.47075
RXFP3	0.7265
APBB2	2.1835
PRO0478	-1.209
KLHL13	-2.72975
PRSSL1	0.831333333333333
PDCL3	0.585833333333333
DECR1	0.20475
SALL1	-3.7445
CADM4	0.698333333333333
RPS18	0.322857142857143
HNRPD	-0.86525
CFHR5	0.501333333333333
SLC10A7	0.113875
OR2K2	-0.2635
LMAN1	-1.61425
SUHW1	-3.619
CHD8	-0.378
SUMO1	0.4354
GP1BA	0.4651
DDB1	-0.464666666666667
MYO9B	-0.0505
MMP7	6.73125
CRNKL1	0.847375
C9orf45	-2.052
XAB2	0.47225
RTN1	1.81975
KLHL14	-1.208875
TBX10	1.1515
CENPQ	-0.87525
UTY	-0.957071428571429
ZBTB12	1.072
DTNBP1	-0.42125
KBTBD8	-1.64466666666667
ZEB1	-0.297833333333333
ZG16	0.82
MIER1	0.0336
ADAM5P	0.9165
CHD9	-0.224625
STK16	0.83225
KIAA1486	-0.0685
TOB2	1.01033333333333
BANK1	1.5715
OR2V2	-0.041
GRM2	0.165833333333333
PROSC	-0.639375
SPIN2B	0.6805
PIR	0.796888888888889
IPO9	-0.374
EVC	-0.9535
CXCL13	1.33216666666667
KIAA1199	-2.9996
SORL1	0.37275
NAT10	-0.393
CHD1	0.072
SYN3	-0.671
SLC22A2	-0.00525
SERPINF1	-0.116666666666667
WDR34	0.37575
OR7A17	-0.2225
C9orf11	-0.4675
RNF216L	-0.826
LHB	-0.09
STK25	-0.8185
TAOK3	0.25625
LOC152573	-1.9985
C3orf39	-0.01675
C14orf108	0.3236
CDC25B	-1.04172727272727
BMP3	0.143
TMEM180	0.2605
MAP1LC3C	0.4535
CRYGC	-0.024
POU3F1	-1.1394
C20orf32	-1.2865
CCDC95	0.099
HIGD1B	3.518
USP6NL	0.167875
ABCD4	-0.9035
DIMT1L	-0.54675
TEK	1.293125
SLC25A46	-0.823
LARP7	-1.2659
CD160	0.655666666666667
MT1JP	0.586
PHF20	0.6026875
CPNE4	-1.62125
GTPBP1	-0.581214285714286
RAB33B	0.777333333333333
ALDOC	-1.40875
ZNF212	-0.629
NUDT1	-1.27733333333333
RFPL2	-0.206
ZNF83	0.482833333333333
GDPD5	-1.116625
PDCD4	1.7571
CEP350	-0.01125
OR10A2	0.21475
CST7	0.971
CIAO1	-0.00275
SELL	0.555875
OR8J3	0.303
LTBP4	-0.708666666666667
SIRT6	0.1115
CCL19	4.33075
PPIL1	0.281833333333333
GBP7	0.662333333333333
STK17A	-0.765
ABR	-0.1575
OR9G1	-0.236
FOXE1	-0.8095
CNGA3	0.3245
GML	0.3675
CD38	-1.70375
ZDHHC6	-0.102666666666667
NEFH	0.0995
CTDSP2	0.360333333333333
PGBD5	-1.4445
CCNY	0.007
RMND5B	1.23783333333333
ZNF257	-0.7775
FLJ22167	-0.18725
EXOSC7	-1.12383333333333
ROR2	1.05275
MAOA	-1.2325
TNNT3	0.604666666666667
GYPC	-1.2755
C7orf33	0.836
PLIN	2.03583333333333
LOC90826	-0.03175
RNF4	0.4452
F8A1	0.2075
PLEKHG4	-2.2605
GRB2	0.32155
HIST1H2AD	1.6655
DUS3L	-0.685666666666667
EIF1	-0.708
RP5-1077B9.4	-0.4925
FPGT	1.0525
GDF10	-0.208166666666667
COQ9	0.691
GCC2	-0.461285714285714
RARRES3	2.2705
PLXNA1	-0.8521
KIAA0100	-0.0347
PMF1	0.51375
FNDC1	4.5775
HS2ST1	0.23625
CRELD2	0.14625
C8G	-0.8165
CD82	0.9805
LIM2	-1.082
UNQ6490	0.462
MMP16	0.264
DRD3	-0.152
C5orf26	-0.7205
C11orf73	-0.747375
PTP4A2	0.135125
OR4M2	0.7155
HPCA	-0.112833333333333
SEC14L1	-0.287
CHFR	-0.604375
EMILIN1	0.43
NDUFS4	-0.0455
COL18A1	-0.645625
PDZD3	0.00260000000000001
C9orf16	0.302
ERBB2IP	0.316
EMX2	2.379
FUS	-0.8415
TF	-4.1377
CLCN4	-0.882666666666667
CXorf56	0.5365
C11orf72	0.482
ELAC2	-0.66325
NPR1	-0.45325
ASS1	-0.4665
USP42	-0.632125
POLR2J	-0.1265
SEC23IP	0.6455
UQCRC1	-0.28175
LOC729603	-0.66425
C1orf71	0.277
POLG	-1.205
ADAM23	-3.399
TFR2	-1.224
RICTOR	-0.67
MGC39606	-0.21975
C19orf55	-0.245875
SNAPC1	-1.70433333333333
GNA11	0.430875
CCDC52	-0.002
FSIP1	2.6585
UPF3A	-1.60375
IGSF11	-2.32483333333333
LAGE3	1.0655
CHST6	-2.937
UNC13B	0.262375
TTLL4	-0.95075
ZNF687	0.331
SDC2	-0.0396
COX7A2	0.36125
LAMB4	0.17675
FAM24A	0.1525
LRRTM3	-1.04916666666667
GPHB5	0.2065
OR4C13	0.0465
EIF3EIP	-0.0251428571428571
HABP4	-0.689
TMEM125	3.744
CNTN2	-0.156625
ASNSD1	-0.33325
FUT4	-0.6695
ACF	-3.696
LOC158381	1.105
CDH8	0.0485
AGPS	-1.5315
C4orf18	3.778125
PECI	0.21825
UNG	-0.579875
GSTP1	-2.855125
DCUN1D5	-1.4935
DKFZP564J0863	-1.1375
SLC9A3R1	2.5685
BCDO2	-0.06575
CHMP7	-0.9885
REM2	1.647
DNHD1	-0.3065
FKBP4	0.873125
ZNF350	2.06725
MGC11102	0.16975
BST1	0.7325
KISS1R	1.9025
NCR2	0.377
DEFB125	0.9545
UBE2W	1.612875
KRT15	-1.3265
C10orf99	0.4345
SCN11A	0.20325
GFI1	-2.5855
RDHE2	-0.4235
FHL1	-1.37566666666667
OSGEP	-0.048
GATA1	-3.3475
SMC6	-1.146
TTTY14	-1.29025
LPIN3	-0.2445
RPL4	-0.584
RBPMS	-0.7478
PRPF3	0.188
EMR1	-1.8265
SPATA19	-0.16275
XCR1	1.051
IRX3	1.0981
RBM6	-1.99575
KLF4	-1.0469
UNC5CL	-1.21725
SEBOX	-0.154
BTK	-1.48175
KRCC1	0.4975
C6orf27	0.54
SYTL5	-1.5385
PRND	1.21775
LOC653319	-0.683
PIGL	-0.858375
HUS1	-0.463
SFRS6	-0.113916666666667
C17orf77	0.513
UIMC1	-0.854333333333333
FXYD2	-1.6138
LOC283152	1.38725
ZNF667	-2.14725
ZCCHC12	-0.64825
TFEC	2.4785
ATP7B	-0.000666666666666677
POLD2	-0.967833333333333
RG9MTD1	0.089
ACOT2	1.15083333333333
HIST1H4I	1.976
PPARGC1A	-2.4777
ETFA	-0.2091
POLRMT	-0.52475
ZNF146	-0.877625
MIA2	-0.855
KLHL6	-1.06566666666667
HOXB5	-1.354125
NENF	0.608
CUGBP1	-0.32875
PRSS22	2.36466666666667
CASC4	1.6302
