Hybridization REF	TCGA-BH-A0W4-01A-11R-A109-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.137916666666667
CREB3L1	1.36775
RPS11	0.895125
PNMA1	0.62125
MMP2	1.18716666666667
C10orf90	-2.05125
ZHX3	0.0245
ERCC5	0.17525
GPR98	0.820625
RXFP3	0.443
APBB2	1.178
PRO0478	-0.877625
KLHL13	-0.6075
PRSSL1	-0.720666666666667
PDCL3	0.0663333333333333
DECR1	0.2295
SALL1	-2.53716666666667
CADM4	1.16666666666667
RPS18	0.544642857142857
HNRPD	-0.647666666666667
CFHR5	-0.151833333333333
SLC10A7	0.402
OR2K2	-0.3495
LMAN1	-0.798875
SUHW1	-4.02275
CHD8	0.0749
SUMO1	0.5089
GP1BA	-0.1262
DDB1	-0.1775
MYO9B	-0.2507
MMP7	6.97625
CRNKL1	0.598
C9orf45	-0.884333333333333
XAB2	0.3025
RTN1	1.76175
KLHL14	-1.098125
TBX10	-1.598
CENPQ	-1.8735
UTY	-0.961928571428571
ZBTB12	-0.366
DTNBP1	0.081875
KBTBD8	-2.06183333333333
ZEB1	0.523333333333333
ZG16	-1.08625
MIER1	0.3257
ADAM5P	-0.3165
CHD9	-0.209125
STK16	-0.32825
KIAA1486	-0.373
TOB2	1.1985
BANK1	1.97525
OR2V2	0.124
GRM2	-0.163166666666667
PROSC	-0.157
SPIN2B	0.20875
PIR	-2.993
IPO9	-0.5849
EVC	1.10316666666667
CXCL13	1.74366666666667
KIAA1199	-2.0521
SORL1	1.32875
NAT10	-0.67025
CHD1	-0.56275
SYN3	-0.8285
SLC22A2	-0.0355
SERPINF1	0.953666666666667
WDR34	-0.021
OR7A17	0.278
C9orf11	0.0455
RNF216L	-0.1972
LHB	-0.3065
STK25	-0.247125
TAOK3	0.92475
LOC152573	-1.6015
C3orf39	0.690375
C14orf108	0.519
CDC25B	-2.35409090909091
BMP3	-0.136
TMEM180	-0.085
MAP1LC3C	0.3645
CRYGC	-0.207
POU3F1	-1.5405
C20orf32	-1.4445
CCDC95	-0.4025
HIGD1B	3.9965
USP6NL	-0.04675
ABCD4	-0.273166666666667
DIMT1L	-0.665416666666667
TEK	0.954125
SLC25A46	-0.48125
LARP7	-1.4074
CD160	-0.0893333333333333
MT1JP	1.15833333333333
PHF20	0.15425
CPNE4	-1.21525
GTPBP1	-0.2885
RAB33B	0.935
ALDOC	-2.4515
ZNF212	-0.1665
NUDT1	-0.925833333333333
RFPL2	-0.244
ZNF83	0.0636666666666667
GDPD5	-0.925
PDCD4	2.15005
CEP350	-0.0585
OR10A2	0.077
CST7	0.144
CIAO1	-0.86725
SELL	-0.117375
OR8J3	-0.376
LTBP4	-0.318166666666667
SIRT6	-0.17825
CCL19	4.4925
PPIL1	-0.781
GBP7	0.375666666666667
STK17A	-0.8822
ABR	-0.329
OR9G1	-0.4425
FOXE1	-1.0005
CNGA3	0.487
GML	0.229
CD38	-3.5135
ZDHHC6	0.127833333333333
NEFH	-0.35325
CTDSP2	0.448166666666667
PGBD5	-1.477
CCNY	-0.0395714285714286
RMND5B	0.82925
ZNF257	-0.311
FLJ22167	-0.15625
EXOSC7	-0.3635
ROR2	1.701
MAOA	0.842375
TNNT3	1.59216666666667
GYPC	-0.9645
C7orf33	0.3195
PLIN	4.411
LOC90826	0.052
RNF4	0.2398
F8A1	0.3925
PLEKHG4	-1.566
GRB2	0.54695
HIST1H2AD	-1.07
DUS3L	-0.567833333333333
EIF1	-0.094
RP5-1077B9.4	-1.0235
FPGT	1.40925
GDF10	0.267666666666667
COQ9	-0.61225
GCC2	-0.0142857142857143
RARRES3	2.967375
PLXNA1	-0.2307
KIAA0100	0.00659999999999998
PMF1	0.01375
FNDC1	5.42425
HS2ST1	0.298916666666667
CRELD2	0.705
C8G	-1.457
CD82	0.5325
LIM2	-1.2945
UNQ6490	-0.1095
MMP16	0.62275
DRD3	0.02175
C5orf26	0.0015
C11orf73	-0.417375
PTP4A2	1.15775
OR4M2	-0.309
HPCA	-1.6125
SEC14L1	-0.671333333333333
CHFR	-0.374375
EMILIN1	1.0965
NDUFS4	-0.0675
COL18A1	0.87425
PDZD3	-0.0098
C9orf16	0.160666666666667
ERBB2IP	0.534666666666667
EMX2	3.75825
FUS	-1.10825
TF	-3.7308
CLCN4	-0.300166666666667
CXorf56	0.13625
C11orf72	0.33175
ELAC2	-0.855
NPR1	0.09925
ASS1	-1.772
USP42	0.1595
POLR2J	-0.177
SEC23IP	0.7715
UQCRC1	-0.27325
LOC729603	-0.57475
C1orf71	-0.157125
POLG	-2.1295
ADAM23	-3.0495
TFR2	-1.88225
RICTOR	-0.5429
MGC39606	0.90325
C19orf55	-0.10775
SNAPC1	-1.66516666666667
GNA11	0.769
CCDC52	0.656166666666667
FSIP1	4.793
UPF3A	-0.30475
IGSF11	-2.48666666666667
LAGE3	-0.25975
CHST6	-1.0435
UNC13B	0.88075
TTLL4	-1.3285
ZNF687	0.273625
SDC2	-0.1987
COX7A2	-0.3005
LAMB4	0.14275
FAM24A	-0.331
LRRTM3	-0.715666666666667
GPHB5	0.31375
OR4C13	0.275
EIF3EIP	0.420071428571429
HABP4	-0.4655
TMEM125	3.6525
CNTN2	0.05075
ASNSD1	-0.02575
FUT4	-0.6525
ACF	-4.27625
LOC158381	0.921
CDH8	0.72775
AGPS	-2.28916666666667
C4orf18	2.855
PECI	-0.164333333333333
UNG	-0.80875
GSTP1	-1.53075
DCUN1D5	-1.12583333333333
DKFZP564J0863	-1.174
SLC9A3R1	1.463875
BCDO2	-0.1115
CHMP7	-0.12025
REM2	0.4505
DNHD1	-0.6665
FKBP4	-0.5185
ZNF350	2.0765
MGC11102	-0.2645
BST1	0.7725
KISS1R	0.6215
NCR2	0.0865
DEFB125	0.0645
UBE2W	0.82325
KRT15	1.38875
C10orf99	0.278
SCN11A	0.31225
GFI1	-2.8645
RDHE2	2.184
FHL1	0.9815
OSGEP	-0.117666666666667
GATA1	-3.52866666666667
SMC6	-0.873
TTTY14	-1.08475
LPIN3	0.024
RPL4	-0.0154
RBPMS	0.9219
PRPF3	-0.739333333333333
EMR1	-2.028
SPATA19	-0.06925
XCR1	0.7105
IRX3	2.5848
RBM6	-0.44775
KLF4	-0.3533
UNC5CL	-0.02275
SEBOX	-0.005
BTK	-1.72325
KRCC1	0.8725
C6orf27	0.185
SYTL5	-0.5255
PRND	1.454
LOC653319	-1.2515
PIGL	-1.33225
HUS1	-0.422
SFRS6	-0.102083333333333
C17orf77	0.296
UIMC1	-0.472166666666667
FXYD2	-1.8545
LOC283152	0.3915
ZNF667	0.38775
ZCCHC12	-0.751
TFEC	1.1608
ATP7B	1.59633333333333
POLD2	-0.9735
RG9MTD1	-0.27525
ACOT2	1.15383333333333
HIST1H4I	-0.91625
PPARGC1A	-1.6568
ETFA	-1.2018
POLRMT	-0.39575
ZNF146	-0.068875
MIA2	-1.1275
KLHL6	-1.92166666666667
HOXB5	-0.770625
NENF	0.6355
CUGBP1	-0.14125
PRSS22	1.47783333333333
CASC4	1.3895
CUL4B	0.0523
CENPJ	-1.5129
PITX1	0.4525
FLJ31033	0.4895
CELSR3	-1.36866666666667
ZNF568	0.99075
ITSN1	-0.213583333333333
EHBP1L1	-1.01916666666667
C19orf2	-0.84175
DCTN1	0.23075
LIN28B	-3.6492
TNKS2	-0.59475
C1QBP	-1.24675
CADPS2	1.6295
SRMS	0.59
GJA9	0.128166666666667
MGC24975	-0.517166666666667
TRIM45	0.0035
TSP50	0.1395
TCP1	-1.23575
TMED7	0.5387
CMA1	0.5805
CENPL	-1.8575
PTCRA	-0.2295
FST	-2.12675
VWCE	-3.138
PAWR	0.651
ABCC12	0.2455
LDLR	-1.1887
ASTN2	1.8895
LOC441212	-0.641125
GPATCH8	-0.1725
TANC2	0.134
KIF4A	-2.1875
C18orf18	-0.8595
PGM1	-0.7765
KIAA0258	0.66225
CPD	0.61275
SNCAIP	-0.0325
DCT	-4.50133333333333
HLA-DOA	1.96272727272727
OR11L1	0.282
UPK1B	-0.4815
DNAJB4	-0.085375
UGT1A8	-0.07975
HIST1H4L	-1.0845
PECR	-1.3235
HSPA2	1.51425
WFIKKN1	-2.958
SERP1	0.72125
