Hybridization REF	TCGA-B6-A0WZ-01A-11R-A109-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.378166666666667
CREB3L1	1.527
RPS11	1.248625
PNMA1	0.13875
MMP2	0.6675
C10orf90	-2.29925
ZHX3	0.566833333333333
ERCC5	0.445
GPR98	0.482
RXFP3	0.882
APBB2	1.29475
PRO0478	-0.83125
KLHL13	-1.80925
PRSSL1	-0.716166666666667
PDCL3	-0.145666666666667
DECR1	-0.006875
SALL1	-3.43933333333333
CADM4	2.19016666666667
RPS18	0.725214285714286
HNRPD	-1.44533333333333
CFHR5	0.803333333333333
SLC10A7	0.029
OR2K2	-0.225
LMAN1	-1.019875
SUHW1	-4.3545
CHD8	0.5628
SUMO1	1.0616
GP1BA	-0.1698
DDB1	-0.208833333333333
MYO9B	-0.1563
MMP7	3.46125
CRNKL1	0.02325
C9orf45	-1.25866666666667
XAB2	0.793125
RTN1	3.054875
KLHL14	-1.651375
TBX10	-1.2945
CENPQ	-2.457
UTY	-1.46953846153846
ZBTB12	0.294
DTNBP1	-0.21
KBTBD8	-2.607
ZEB1	0.380166666666667
ZG16	-1.96825
MIER1	0.5856
ADAM5P	0.5425
CHD9	0.4249375
STK16	0.325
KIAA1486	-0.2565
TOB2	1.65491666666667
BANK1	1.754
OR2V2	-0.03875
GRM2	0.1315
PROSC	-0.309375
SPIN2B	-0.79025
PIR	-2.79933333333333
IPO9	-0.095
EVC	1.08083333333333
CXCL13	0.939166666666667
KIAA1199	-0.5386
SORL1	1.93575
NAT10	-0.671
CHD1	-0.71375
SYN3	-0.40325
SLC22A2	-0.2185
SERPINF1	0.767833333333333
WDR34	0.739
OR7A17	0.27925
C9orf11	-1.0705
RNF216L	0.5685
LHB	0.0195
STK25	0.211875
TAOK3	0.70425
LOC152573	-3.36325
C3orf39	0.525875
C14orf108	0.5825
CDC25B	-2.24145454545455
BMP3	0.242
TMEM180	-0.288
MAP1LC3C	-0.342
CRYGC	-0.598
POU3F1	-1.1638
C20orf32	-1.9255
CCDC95	0.162
HIGD1B	4.46375
USP6NL	-0.311875
ABCD4	-0.0848333333333333
DIMT1L	-1.44441666666667
TEK	0.71
SLC25A46	-0.7505
LARP7	-1.2181
CD160	0.258666666666667
MT1JP	-0.655166666666667
PHF20	-0.0351875
CPNE4	2.161
GTPBP1	0.00957142857142857
RAB33B	1.008
ALDOC	-2.699625
ZNF212	0.014
NUDT1	-0.924166666666667
RFPL2	0.7195
ZNF83	0.305
GDPD5	-0.5075
PDCD4	1.9335
CEP350	-0.05925
OR10A2	0.5765
CST7	0.70875
CIAO1	-0.6645
SELL	0.118375
OR8J3	-0.2575
LTBP4	-0.0933333333333333
SIRT6	0.6585
CCL19	1.288
PPIL1	-0.872666666666667
GBP7	0.147166666666667
STK17A	-0.3183
ABR	-0.4825
OR9G1	0.244
FOXE1	-0.6355
CNGA3	2.39
GML	0.724
CD38	-4.779
ZDHHC6	0.0455
NEFH	-2.41925
CTDSP2	-0.0398333333333333
PGBD5	-2.89466666666667
CCNY	-0.101285714285714
RMND5B	0.622833333333333
ZNF257	-0.85025
FLJ22167	-1.525875
EXOSC7	-0.286166666666667
ROR2	0.016375
MAOA	-0.671125
TNNT3	1.32916666666667
GYPC	-1.6325
C7orf33	-1.445
PLIN	2.65283333333333
LOC90826	-0.40575
RNF4	-0.1253
F8A1	-0.273
PLEKHG4	-2.6655
GRB2	-0.22205
HIST1H2AD	0.59825
DUS3L	-1.1355
EIF1	-0.446333333333333
RP5-1077B9.4	-0.563833333333333
FPGT	1.657
GDF10	-2.05583333333333
COQ9	-0.59625
GCC2	0.374214285714286
RARRES3	3.664625
PLXNA1	-1.0951
KIAA0100	-0.1274
PMF1	0.266
FNDC1	5.936
HS2ST1	0.0119166666666669
CRELD2	1.059
C8G	-1.3085
CD82	1.809
LIM2	-1.2595
UNQ6490	0.239
MMP16	-0.37625
DRD3	0.108666666666667
C5orf26	-0.35475
C11orf73	-0.696
PTP4A2	1.772625
OR4M2	0.6235
HPCA	-1.16166666666667
SEC14L1	-0.863333333333333
CHFR	-0.171125
EMILIN1	0.96175
NDUFS4	-0.5575
COL18A1	0.143625
PDZD3	0.0034
C9orf16	0.751666666666667
ERBB2IP	0.535
EMX2	4.25025
FUS	-0.78475
TF	-3.6495
CLCN4	-0.7655
CXorf56	-0.6735
C11orf72	0.4255
ELAC2	-1.10025
NPR1	-0.784
ASS1	0.075
USP42	-0.072625
POLR2J	0.4925
SEC23IP	0.7425
UQCRC1	-0.0715
LOC729603	-0.7525
C1orf71	-0.328375
POLG	-1.918
ADAM23	-3.638
TFR2	-1.13725
RICTOR	-1.2863
MGC39606	1.00125
C19orf55	0.339875
SNAPC1	-1.61116666666667
GNA11	1.3295
CCDC52	0.110833333333333
FSIP1	4.818
UPF3A	-0.748875
IGSF11	-2.43366666666667
LAGE3	-0.11275
CHST6	-0.7175
UNC13B	0.57825
TTLL4	-0.57
ZNF687	0.16575
SDC2	-0.426
COX7A2	0.023
LAMB4	0.2645
FAM24A	1.064
LRRTM3	-1.858
GPHB5	0.67325
OR4C13	0.414
EIF3EIP	0.568428571428571
HABP4	-0.6935
TMEM125	4.15925
CNTN2	0.51275
ASNSD1	-0.37025
FUT4	-1.37325
ACF	-4
LOC158381	0.087
CDH8	-0.3385
AGPS	-3.3555
C4orf18	3.310375
PECI	0.615083333333333
UNG	-1.242125
GSTP1	-2.306125
DCUN1D5	-0.811666666666667
DKFZP564J0863	0.06975
SLC9A3R1	1.633375
BCDO2	-0.011625
CHMP7	-0.779625
REM2	0.2175
DNHD1	-0.266375
FKBP4	0.079
ZNF350	2.5545
MGC11102	0.357625
BST1	-0.21
KISS1R	2.4765
NCR2	0.174
DEFB125	0.7375
UBE2W	0.633875
KRT15	2.32425
C10orf99	0.4655
SCN11A	0.005125
GFI1	-3.72425
RDHE2	4.31683333333333
FHL1	-2.33083333333333
OSGEP	0.394
GATA1	-3.25616666666667
SMC6	-0.274
TTTY14	-0.642
LPIN3	0.37225
RPL4	-0.9214
RBPMS	1.0783
PRPF3	-0.776666666666667
EMR1	-2.2945
SPATA19	0.24425
XCR1	0.97
IRX3	2.7854
RBM6	-0.90375
KLF4	-1.6834
UNC5CL	-0.56025
SEBOX	0.2125
BTK	-2.56875
KRCC1	0.17725
C6orf27	1.0545
SYTL5	-0.2755
PRND	2.855875
LOC653319	-1.164
PIGL	-1.442875
HUS1	-0.0766666666666667
SFRS6	-0.376916666666667
C17orf77	0.178
UIMC1	-0.987666666666667
FXYD2	-1.8051
LOC283152	3.20175
ZNF667	-0.000499999999999997
ZCCHC12	-1.1225
TFEC	0.9069
ATP7B	1.73733333333333
POLD2	-0.611833333333333
RG9MTD1	-0.53575
ACOT2	1.36533333333333
HIST1H4I	-0.97625
PPARGC1A	-0.0834
ETFA	-1.3132
POLRMT	-0.01675
ZNF146	-0.70425
MIA2	-2.3115
KLHL6	-2.27683333333333
HOXB5	2.547375
NENF	1.38183333333333
CUGBP1	0.4115
PRSS22	2.75533333333333
CASC4	1.2932
CUL4B	0.1838
CENPJ	-1.901
PITX1	0.4505
FLJ31033	0.255
CELSR3	0.730833333333333
ZNF568	0.677
ITSN1	-0.589833333333333
EHBP1L1	-1.44216666666667
C19orf2	-0.726
DCTN1	0.3785
LIN28B	-3.27216666666667
TNKS2	-1.12575
C1QBP	-1.964125
CADPS2	2.47225
SRMS	0.90575
GJA9	0.157
MGC24975	0.0833333333333333
TRIM45	1.03483333333333
TSP50	0.3875
TCP1	-2.2015
TMED7	0.9196
CMA1	0.684
CENPL	-2.14866666666667
PTCRA	0.0115
FST	-2.5275
VWCE	-3.71425
PAWR	0.68875
ABCC12	2.28733333333333
LDLR	-0.3742
ASTN2	0.8494
LOC441212	-0.462625
GPATCH8	-0.50725
TANC2	-0.1425
KIF4A	-1.86125
C18orf18	-1.856
PGM1	-1.1675
KIAA0258	1.73525
CPD	0.64475
SNCAIP	-2.11125
DCT	-4.41183333333333
HLA-DOA	2.14509090909091
OR11L1	0.6795
UPK1B	-0.3595
DNAJB4	-2.1075
UGT1A8	-0.56075
HIST1H4L	0.004
PECR	-0.553166666666667
HSPA2	2.49025
WFIKKN1	-1.6435
SERP1	0.552875
SYDE2	1.49
TACR2	1.4725
NUP85	-0.65625
CD177	-1.092
LGR5	-2.03483333333333
PIGG	-0.44725
PTHR1	-0.7255
RAB5A	-0.4561
FLJ13224	-0.4465
USP9Y	-1.8408
C7orf53	-0.095
LRP1B	-0.09
XAF1	2.0231
ABCG8	-0.445
ANKDD1A	-0.732833333333333
DAND5	-0.267
SPAG6	0.176666666666667
LINCR	-0.5995
ZDHHC22	-1.63125
CCDC60	1.2105
THOC7	-1.9055
TCTA	1.1559
OR8K3	0.2615
NY-REN-7	-0.05675
B2M	1.181
C6orf141	-1.37375
LPPR4	1.523
SQLE	-1.230625
SEPHS1	-0.6185
BTBD14B	1.49578571428571
PLRG1	-0.39825
SPG7	-0.6975
ZNF614	0.3
PARD6G	1.40466666666667
INPP5B	-0.2011
GRPEL2	-0.17
PPID	-1.2351
TRIM56	-0.01025
UBE2J1	-0.414875
