Hybridization REF	TCGA-AN-A0XS-01A-22R-A109-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.146083333333333
CREB3L1	0.717
RPS11	0.633625
PNMA1	0.44225
MMP2	1.1955
C10orf90	-1.83475
ZHX3	0.453833333333333
ERCC5	0.43075
GPR98	1.612
RXFP3	0.7205
APBB2	1.29775
PRO0478	-0.616
KLHL13	0.249
PRSSL1	-0.220166666666667
PDCL3	-0.295166666666667
DECR1	1.3675
SALL1	-2.1545
CADM4	0.707333333333333
RPS18	0.115142857142857
HNRPD	-0.954
CFHR5	0.5888
SLC10A7	-0.287375
OR2K2	-0.592
LMAN1	-1.037625
SUHW1	-4.33975
CHD8	0.1481
SUMO1	0.648
GP1BA	1.1679
DDB1	-0.346833333333333
MYO9B	0.1332
MMP7	5.873
CRNKL1	0.6625
C9orf45	-0.867166666666667
XAB2	0.560125
RTN1	2.35875
KLHL14	-1.0075
TBX10	-1.0355
CENPQ	-1.48825
UTY	-1.36746153846154
ZBTB12	-0.322
DTNBP1	0.107875
KBTBD8	-0.888333333333333
ZEB1	0.596
ZG16	-0.90575
MIER1	0.1681
ADAM5P	0.089
CHD9	-0.5009375
STK16	0.333
KIAA1486	-0.384
TOB2	0.99225
BANK1	4.43875
OR2V2	0.22125
GRM2	0.0611666666666667
PROSC	-0.301
SPIN2B	-0.08225
PIR	-2.70622222222222
IPO9	-0.9849
EVC	1.02733333333333
CXCL13	5.679
KIAA1199	1.0373
SORL1	2.3225
NAT10	-0.82625
CHD1	-0.251
SYN3	0.34475
SLC22A2	-0.24125
SERPINF1	2.3745
WDR34	-0.21675
OR7A17	0.33125
C9orf11	0.128
RNF216L	-0.4569
LHB	-0.188
STK25	-0.183625
TAOK3	0.699875
LOC152573	-2.24525
C3orf39	0.819
C14orf108	0.277
CDC25B	-2.22272727272727
BMP3	1.042
TMEM180	0.125
MAP1LC3C	0.2675
CRYGC	-0.403
POU3F1	-0.8158
C20orf32	-1.439
CCDC95	0.301
HIGD1B	3.98875
USP6NL	0.00862499999999997
ABCD4	-0.0308333333333333
DIMT1L	-0.981
TEK	1.56125
SLC25A46	-0.542
LARP7	-1.6196
CD160	0.489
MT1JP	0.154166666666667
PHF20	0.06125
CPNE4	-2.34175
GTPBP1	-0.319428571428571
RAB33B	0.720833333333333
ALDOC	-2.762875
ZNF212	0.0295
NUDT1	-1.15016666666667
RFPL2	-1.70375
ZNF83	0.0665
GDPD5	-0.5225
PDCD4	2.0636
CEP350	-0.06625
OR10A2	-0.03675
CST7	1.93175
CIAO1	-0.69225
SELL	1.87475
OR8J3	0.0665
LTBP4	-0.240333333333333
SIRT6	0.2585
CCL19	5.339
PPIL1	-0.951166666666667
GBP7	0.359333333333333
STK17A	0.324
ABR	0.3055
OR9G1	-0.0905
FOXE1	-0.823375
CNGA3	2.443
GML	0.3015
CD38	0.46575
ZDHHC6	-0.160833333333333
NEFH	-2.68975
CTDSP2	1.22716666666667
PGBD5	-1.92733333333333
CCNY	0.118214285714286
RMND5B	0.924666666666667
ZNF257	-0.74675
FLJ22167	-1.061875
EXOSC7	-0.205333333333333
ROR2	0.875125
MAOA	0.693125
TNNT3	1.59883333333333
GYPC	-0.3845
C7orf33	0.9585
PLIN	4.45916666666667
LOC90826	-0.632
RNF4	-0.4216
F8A1	0.509333333333333
PLEKHG4	-2.13025
GRB2	0.6764
HIST1H2AD	-0.0465
DUS3L	-0.648
EIF1	-0.025
RP5-1077B9.4	-0.876666666666667
FPGT	1.4535
GDF10	1.64
COQ9	-0.448
GCC2	0.724142857142857
RARRES3	3.401625
PLXNA1	-0.549
KIAA0100	0.144
PMF1	-0.046
FNDC1	5.9155
HS2ST1	0.347166666666667
CRELD2	0.396
C8G	-1.894
CD82	1.6655
LIM2	-0.8945
UNQ6490	0.2955
MMP16	-0.418
DRD3	-0.1485
C5orf26	-0.94625
C11orf73	-0.637625
PTP4A2	1.57725
OR4M2	0.689
HPCA	-1.44333333333333
SEC14L1	-0.430666666666667
CHFR	-0.30825
EMILIN1	1.469125
NDUFS4	-0.1505
COL18A1	0.38725
PDZD3	-0.204
C9orf16	0.21
ERBB2IP	0.542833333333333
EMX2	4.66075
FUS	-0.93975
TF	-3.9391
CLCN4	-0.312333333333333
CXorf56	-0.27025
C11orf72	0.37375
ELAC2	-0.27625
NPR1	-0.089
ASS1	-0.759166666666667
USP42	-0.140375
POLR2J	-1.1215
SEC23IP	0.463833333333333
UQCRC1	0.174
LOC729603	-0.76425
C1orf71	-0.57525
POLG	-2.4325
ADAM23	-2.9195
TFR2	-1.96075
RICTOR	-0.7987
MGC39606	0.42425
C19orf55	-0.2395
SNAPC1	-1.72883333333333
GNA11	0.770875
CCDC52	0.802666666666667
FSIP1	3.9195
UPF3A	-0.91025
IGSF11	-2.60716666666667
LAGE3	0.38475
CHST6	-0.5685
UNC13B	0.6095
TTLL4	-1.255625
ZNF687	-0.1265
SDC2	-0.6667
COX7A2	0.24075
LAMB4	-0.09
FAM24A	-0.026
LRRTM3	-0.730166666666667
GPHB5	0.26225
OR4C13	0.261
EIF3EIP	0.271714285714286
HABP4	-0.665
TMEM125	3.71575
CNTN2	-0.12475
ASNSD1	0.16725
FUT4	-0.518625
ACF	-3.9955
LOC158381	0.2995
CDH8	0.21925
AGPS	-0.514333333333333
C4orf18	2.937
PECI	0.16875
UNG	-0.963375
GSTP1	-1.282875
DCUN1D5	-1.55466666666667
DKFZP564J0863	-1.228
SLC9A3R1	0.725125
BCDO2	-0.143375
CHMP7	-0.362
REM2	0.4755
DNHD1	-0.294
FKBP4	0.203375
ZNF350	2.29875
MGC11102	0.0635
BST1	1.5605
KISS1R	1.7685
NCR2	0.4965
DEFB125	0.452
UBE2W	1.4315
KRT15	0.799625
C10orf99	0.4055
SCN11A	0.826125
GFI1	-1.4035
RDHE2	-0.761333333333333
FHL1	0.6415
OSGEP	0.252166666666667
GATA1	-3.46866666666667
SMC6	-1.06125
TTTY14	-0.84825
LPIN3	-0.07075
RPL4	-0.571
RBPMS	0.5221
PRPF3	-0.789666666666667
EMR1	-1.0895
SPATA19	0.09
XCR1	0.405
IRX3	2.4162
RBM6	-0.6075
KLF4	-1.4857
UNC5CL	1.284
SEBOX	-0.286
BTK	-0.2315
KRCC1	0.90775
C6orf27	0.7435
SYTL5	-0.85
PRND	2.54575
LOC653319	-1.562
PIGL	-0.456375
HUS1	-0.783
SFRS6	0.124333333333333
C17orf77	0.071
UIMC1	-0.697333333333333
FXYD2	-1.6932
LOC283152	2.5645
ZNF667	-1.64125
ZCCHC12	-0.96475
TFEC	2.8964
ATP7B	2.081
POLD2	-1.65766666666667
RG9MTD1	0.16575
ACOT2	1.296
HIST1H4I	-0.6535
PPARGC1A	-1.8886
ETFA	-1.4904
POLRMT	-0.14
ZNF146	-0.450125
MIA2	-1.8065
KLHL6	0.0721666666666667
HOXB5	-0.52675
NENF	0.18
CUGBP1	-0.367
PRSS22	2.09966666666667
CASC4	1.0774
CUL4B	0.2251
CENPJ	-2.0184
PITX1	0.287333333333333
FLJ31033	0.0431666666666667
CELSR3	-2.70416666666667
ZNF568	0.14
ITSN1	-0.0510833333333333
EHBP1L1	-0.484
C19orf2	-1.00825
DCTN1	0.558
LIN28B	-3.69783333333333
TNKS2	-0.24275
C1QBP	-0.62775
CADPS2	-0.037
SRMS	0.97325
GJA9	0.291666666666667
MGC24975	-0.086
TRIM45	-0.256666666666667
TSP50	-0.24925
TCP1	-1.18375
TMED7	0.2868
CMA1	0.759
CENPL	-2.19333333333333
PTCRA	0.366
FST	-2.77
VWCE	-4.105
PAWR	-0.17025
ABCC12	0.225833333333333
LDLR	-2.0166
ASTN2	0.6349
LOC441212	-0.957
GPATCH8	-0.13575
TANC2	-0.563666666666667
KIF4A	-2.5085
C18orf18	-0.95775
PGM1	-1.626
KIAA0258	1.092
CPD	0.59325
SNCAIP	-0.5935
DCT	-4.42616666666667
HLA-DOA	3.38413636363636
OR11L1	0.4
UPK1B	-0.400333333333333
DNAJB4	-0.967125
UGT1A8	-0.17975
HIST1H4L	-0.1885
PECR	-0.739166666666667
HSPA2	2.2235
WFIKKN1	-0.148
SERP1	0.366875
SYDE2	2.093
TACR2	0.7625
NUP85	-0.5465
CD177	1.20116666666667
LGR5	-1.833
PIGG	-0.465666666666667
PTHR1	-0.826833333333333
RAB5A	-0.0946
FLJ13224	-0.216
USP9Y	-2.269
C7orf53	-1.414
LRP1B	-0.6035
XAF1	1.3696
ABCG8	-0.1795
ANKDD1A	-0.349166666666667
DAND5	-1.6845
SPAG6	0.128166666666667
LINCR	0.388
ZDHHC22	-1.23325
CCDC60	1.156
THOC7	-1.2765
TCTA	1.0191
OR8K3	0.2475
NY-REN-7	-0.5155
B2M	1.91866666666667
C6orf141	-2.240125
LPPR4	1.00425
SQLE	-1.78375
SEPHS1	-0.958
BTBD14B	0.677357142857143
PLRG1	-0.21925
SPG7	-0.540375
ZNF614	-0.167166666666667
PARD6G	1.52083333333333
INPP5B	-0.6723
GRPEL2	-0.525875
PPID	-0.7361
TRIM56	-0.46325
UBE2J1	-0.099875
IL20RA	5.6095
LOC387856	0.28025
C1orf107	0.0891666666666667
UTS2R	1.9945
C19orf22	-0.3885
SAFB2	-0.436875
KIAA0652	0.132125
KLRG1	0.3245
MS4A8B	3.537
FRAG1	0.1805
KIAA1546	0.208
E2F4	-1.6968
CLEC4M	0.261833333333333
BTBD14A	-1.15125
KIAA0999	1.216
GYPA	-3.2195
TAC1	1.8447
TRAIP	-1.29716666666667
KIAA0232	0.8047
ERCC8	-1.43225
GPX4	0.935375
KIAA0368	-0.573
GPR157	0.0391666666666667
CTAGE4	0.4105
C9orf30	-2.24133333333333
OR52A1	0.1725
HSP90B3P	-0.8765
ALG9	-0.3269
BTBD10	0.45725
SDK2	0.73025
BAIAP3	2.5185
RABGGTB	-0.974375
ANKRD40	-0.1215
KRT74	-0.0885
CALCOCO2	0.440571428571429
SNCA	-3.4105
TMSL8	-4.718125
C2orf53	-0.225
ESRRB	-0.5225
ARHGAP26	-1.5735
TDRD9	-2.5975
HRAS	-0.1605
KLRC4	-3.2515
JAGN1	0.1635
BSDC1	0.5935
RNF43	0.59
NDUFAF1	0.29775
