Hybridization REF	TCGA-A2-A0YF-01A-21R-A109-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.0659166666666667
CREB3L1	2.20675
RPS11	0.2785
PNMA1	0.23425
MMP2	-0.428833333333333
C10orf90	-2.34925
ZHX3	-0.859
ERCC5	0.57175
GPR98	-0.152125
RXFP3	0.887
APBB2	1.81925
PRO0478	-0.936
KLHL13	-1.4895
PRSSL1	-0.594333333333333
PDCL3	0.0896666666666667
DECR1	0.608625
SALL1	-3.77516666666667
CADM4	0.266166666666667
RPS18	0.232857142857143
HNRPD	-0.5975
CFHR5	1.06683333333333
SLC10A7	1.55825
OR2K2	-0.3025
LMAN1	-0.738375
SUHW1	-4.435
CHD8	-0.1302
SUMO1	0.7941
GP1BA	1.3596
DDB1	0.511
MYO9B	-0.3428
MMP7	5.586
CRNKL1	0.79775
C9orf45	-2.04983333333333
XAB2	0.759625
RTN1	2.858375
KLHL14	-0.734
TBX10	-1.414
CENPQ	-0.97625
UTY	-1.55854545454545
ZBTB12	0.0585
DTNBP1	0.105875
KBTBD8	-0.760166666666667
ZEB1	-0.584
ZG16	2.82125
MIER1	0.5058
ADAM5P	2.22
CHD9	-0.58475
STK16	0.623
KIAA1486	-0.534
TOB2	0.335666666666667
BANK1	1.9985
OR2V2	0.60125
GRM2	0.356166666666667
PROSC	0.17875
SPIN2B	-0.14025
PIR	-2.684
IPO9	-0.5041
EVC	-0.874833333333333
CXCL13	3.295
KIAA1199	-1.8858
SORL1	0.9155
NAT10	-0.33425
CHD1	-0.59325
SYN3	-1.1975
SLC22A2	-0.2775
SERPINF1	0.0233333333333333
WDR34	0.1685
OR7A17	0.18125
C9orf11	-0.4995
RNF216L	-0.4247
LHB	-0.2785
STK25	-0.61725
TAOK3	0.927625
LOC152573	-2.78475
C3orf39	1.392375
C14orf108	0.2398
CDC25B	-0.739
BMP3	1.036
TMEM180	0.00600000000000001
MAP1LC3C	0.15725
CRYGC	-0.419
POU3F1	-1.5708
C20orf32	-1.9455
CCDC95	-0.308
HIGD1B	5.081
USP6NL	0.212
ABCD4	-0.513
DIMT1L	-0.41725
TEK	1.345
SLC25A46	-0.43625
LARP7	-1.7667
CD160	0.6748
MT1JP	-1.3955
PHF20	-0.4438125
CPNE4	2.23
GTPBP1	-0.616357142857143
RAB33B	1.79416666666667
ALDOC	-2.571
ZNF212	-0.27975
NUDT1	-1.19916666666667
RFPL2	-1.73925
ZNF83	-0.223
GDPD5	0.645125
PDCD4	2.56575
CEP350	0.4405
OR10A2	0.141
CST7	0.23125
CIAO1	-0.92675
SELL	0.788
OR8J3	0.0445
LTBP4	-0.1365
SIRT6	0.435
CCL19	4.3825
PPIL1	-0.834166666666667
GBP7	1.4858
STK17A	-0.5094
ABR	0.33925
OR9G1	-0.5625
FOXE1	-1.0455
CNGA3	3.013
GML	0.2745
CD38	-2.97133333333333
ZDHHC6	0.0525
NEFH	-3.25275
CTDSP2	0.556416666666667
PGBD5	-2.52216666666667
CCNY	-0.289142857142857
RMND5B	0.918333333333333
ZNF257	0.2035
FLJ22167	-0.7695
EXOSC7	-0.413833333333333
ROR2	1.357875
MAOA	2.27275
TNNT3	2.1265
GYPC	-1.377
C7orf33	1.661
PLIN	4.285
LOC90826	-0.00975
RNF4	0.2015
F8A1	0.564833333333333
PLEKHG4	-3.354
GRB2	-0.1185
HIST1H2AD	0.67875
DUS3L	-0.494666666666667
EIF1	-0.228666666666667
RP5-1077B9.4	-1.48183333333333
FPGT	1.83
GDF10	1.61183333333333
COQ9	-0.7085
GCC2	-0.0270714285714286
RARRES3	3.017875
PLXNA1	-0.9773
KIAA0100	-1.0598
PMF1	0.12875
FNDC1	5.143
HS2ST1	-0.273833333333333
CRELD2	0.28825
C8G	-1.24
CD82	-0.306
LIM2	-1.013
UNQ6490	0.03
MMP16	-0.57675
DRD3	0.0055
C5orf26	-0.51225
C11orf73	-1.180625
