Hybridization REF	TCGA-AV-A03E-20A-01R-A109-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.551416666666667
CREB3L1	2.52125
RPS11	-0.253875
PNMA1	0.569
MMP2	2.8705
C10orf90	2.807
ZHX3	1.2745
ERCC5	1.5795
GPR98	-1.243875
RXFP3	1.346
APBB2	0.44075
PRO0478	-0.471
KLHL13	0.607
PRSSL1	-0.46
PDCL3	-0.895
DECR1	-0.30625
SALL1	0.753666666666667
CADM4	-0.292833333333333
RPS18	0.426214285714286
HNRPD	-0.936333333333333
CFHR5	0.415166666666667
SLC10A7	-0.23625
OR2K2	0.661
LMAN1	-1.598125
SUHW1	-3.449
CHD8	-0.6903
SUMO1	1.0211
GP1BA	0.8093
DDB1	-0.690666666666667
MYO9B	0.5594
MMP7	2.05525
CRNKL1	-1.437375
C9orf45	-1.082
XAB2	0.976875
RTN1	1.427
KLHL14	-0.75775
TBX10	-1.119
CENPQ	-1.4285
UTY	-1.459
ZBTB12	0.409
DTNBP1	-0.554
KBTBD8	-0.961333333333333
ZEB1	-0.119
ZG16	-1.549
MIER1	0.5329
ADAM5P	-0.5065
CHD9	0.6555625
STK16	1.34725
KIAA1486	0.6635
TOB2	0.6475
BANK1	0.34325
OR2V2	-0.106
GRM2	0.00299999999999999
PROSC	-0.71875
SPIN2B	0.1275
PIR	-0.747666666666667
IPO9	-0.075
EVC	3.05466666666667
CXCL13	1.17766666666667
KIAA1199	-3.0735
SORL1	-4.873
NAT10	-0.1735
CHD1	-0.895
SYN3	0.0195
SLC22A2	-0.05775
SERPINF1	-3.69283333333333
WDR34	0.195
OR7A17	-0.06625
C9orf11	-1.0465
RNF216L	1.2922
LHB	0.9695
STK25	-0.473625
TAOK3	1.26375
LOC152573	-2.6845
C3orf39	0.404375
C14orf108	-0.1719
CDC25B	-1.03836363636364
BMP3	0.464
TMEM180	1.217
MAP1LC3C	-0.8745
CRYGC	-0.3145
POU3F1	-0.8848
C20orf32	-1.6475
CCDC95	0.897
HIGD1B	0.11125
USP6NL	-0.40325
ABCD4	0.264666666666667
DIMT1L	-0.41025
TEK	-1.30325
SLC25A46	-0.401
LARP7	-0.7425
CD160	0.051
MT1JP	3.25783333333333
PHF20	0.016125
CPNE4	0.66425
GTPBP1	-0.191571428571429
RAB33B	0.331333333333333
ALDOC	-0.295875
ZNF212	0.392
NUDT1	-0.377333333333333
RFPL2	-0.5455
ZNF83	-4.761
GDPD5	-1.926375
PDCD4	0.106
CEP350	-1.38525
OR10A2	0.4825
CST7	-2.03275
CIAO1	0.3515
SELL	-0.0225
OR8J3	1.209
LTBP4	0.7255
SIRT6	1.64725
CCL19	1.116
PPIL1	-1.67516666666667
GBP7	-0.118666666666667
STK17A	0.2085
ABR	2.37725
OR9G1	-0.006
FOXE1	-0.5945
CNGA3	3.761
GML	0.2215
CD38	-3.7585
ZDHHC6	0.701833333333333
NEFH	-3.564
CTDSP2	-0.562833333333333
PGBD5	-2.88016666666667
CCNY	0.815071428571429
RMND5B	-0.39775
ZNF257	-3.66775
FLJ22167	-0.297375
EXOSC7	0.397166666666667
ROR2	-2.3
MAOA	0.631625
TNNT3	-0.243333333333333
GYPC	0.802
C7orf33	1.3
PLIN	-0.373666666666667
LOC90826	0.08225
RNF4	-0.893
F8A1	-1.06266666666667
PLEKHG4	-0.22
GRB2	-0.50485
HIST1H2AD	-0.709
DUS3L	-0.420666666666667
EIF1	-0.611833333333333
RP5-1077B9.4	0.300833333333333
FPGT	1.282
GDF10	-1.601
COQ9	0.147
GCC2	-0.0649285714285714
RARRES3	1.51675
PLXNA1	0.6702
KIAA0100	0.3354
PMF1	-0.374
FNDC1	0.04
HS2ST1	0.14225
CRELD2	0.664
C8G	-1.0715
CD82	1.893
LIM2	-1.705
UNQ6490	0.085
MMP16	0.503
DRD3	0.37425
C5orf26	-0.60275
C11orf73	-1.511625
PTP4A2	0.654
OR4M2	0.7895
HPCA	0.358333333333333
SEC14L1	-0.737833333333333
CHFR	-3.6585
EMILIN1	0.30525
NDUFS4	-0.0685
COL18A1	-2.702125
PDZD3	-0.369
C9orf16	1.42483333333333
ERBB2IP	-0.1255
EMX2	-0.457
FUS	-1.31075
TF	-3.6287
CLCN4	1.11616666666667
CXorf56	-1.70525
C11orf72	0.563
ELAC2	-0.404916666666667
NPR1	-2.36025
ASS1	-0.569666666666667
USP42	-0.579
POLR2J	0.676
SEC23IP	-0.137
UQCRC1	0.5895
LOC729603	-0.64725
C1orf71	-1.494
POLG	-1.999
ADAM23	-0.56125
TFR2	-0.41625
RICTOR	-0.648
MGC39606	-0.117
C19orf55	0.0985
SNAPC1	0.500333333333333
GNA11	0.099125
CCDC52	-1.2495
FSIP1	1.05
UPF3A	-0.26875
IGSF11	-2.21366666666667
LAGE3	-0.10225
CHST6	-1.468
UNC13B	-0.495125
TTLL4	-0.939375
ZNF687	-0.45125
SDC2	-2.0145
COX7A2	-0.07325
LAMB4	-1.049
FAM24A	0.1035
LRRTM3	-1.299
GPHB5	1.17175
OR4C13	1.043
EIF3EIP	0.651071428571429
HABP4	0.7185
TMEM125	-3.534
CNTN2	-0.5355
ASNSD1	-0.2435
FUT4	-1.0975
ACF	-2.98175
LOC158381	-1.6065
CDH8	0.0115
AGPS	-0.594833333333333
C4orf18	-2.908625
PECI	-0.587416666666667
UNG	-0.944
GSTP1	-0.203875
DCUN1D5	-2.3
DKFZP564J0863	-0.2615
SLC9A3R1	-1.905625
BCDO2	0.666875
CHMP7	-0.8445
REM2	0.221
DNHD1	0.612
FKBP4	-1.432375
ZNF350	-0.93275
MGC11102	0.307125
BST1	-0.426
KISS1R	3.233
NCR2	0.2315
DEFB125	0.376
UBE2W	0.020375
KRT15	-2.1395
C10orf99	1.256
SCN11A	0.462625
GFI1	-3.94475
RDHE2	-0.724166666666667
FHL1	-1.408
OSGEP	-0.148666666666667
GATA1	-2.836
SMC6	-0.47925
TTTY14	-0.33775
LPIN3	-0.4245
RPL4	0.1801
RBPMS	0.7337
PRPF3	-0.185166666666667
EMR1	1.078
SPATA19	0.10425
XCR1	1.43
IRX3	1.6718
RBM6	-1.0695
KLF4	-1.2833
UNC5CL	-2.70825
SEBOX	1.0745
BTK	-3.3545
KRCC1	-0.00325
C6orf27	1.0805
SYTL5	-0.942
PRND	-0.29375
LOC653319	0.6785
PIGL	0.823875
HUS1	0.4795
SFRS6	-0.0910833333333334
C17orf77	0.319
UIMC1	0.0178333333333333
FXYD2	-1.3737
LOC283152	0.47125
ZNF667	-2.82075
ZCCHC12	-1.67525
TFEC	-0.5224
ATP7B	-2.29933333333333
POLD2	-0.964833333333333
RG9MTD1	-1.21425
ACOT2	-0.055
HIST1H4I	-1.206875
PPARGC1A	1.5231
ETFA	-2.3779
POLRMT	0.5585
ZNF146	-1.457625
MIA2	-1.571
KLHL6	-4.10683333333333
HOXB5	-0.784
NENF	1.303
CUGBP1	-0.23575
PRSS22	-0.303833333333333
CASC4	1.2738
CUL4B	0.5097
CENPJ	-1.3155
PITX1	-0.109
FLJ31033	0.3925
CELSR3	1.50333333333333
ZNF568	-1.637
ITSN1	-0.149083333333333
EHBP1L1	-0.00666666666666667
C19orf2	-1.3175
DCTN1	0.03125
LIN28B	-2.866
TNKS2	-1.309
C1QBP	-0.45775
CADPS2	1.2755
SRMS	0.51
GJA9	-0.194833333333333
MGC24975	-0.742666666666667
TRIM45	0.256
TSP50	0.3485
TCP1	-1.1235
TMED7	-0.1398
CMA1	0.744
CENPL	-1.943
PTCRA	0.1945
FST	-2.6455
VWCE	-1.2145
PAWR	-1.845
ABCC12	0.4295
LDLR	-0.8435
ASTN2	1.0535
LOC441212	0.710875
GPATCH8	-0.29
TANC2	-0.502833333333333
KIF4A	-1.4875
C18orf18	-0.064
PGM1	-1.757
KIAA0258	-0.32225
CPD	-1.333
SNCAIP	-2.29575
DCT	-4.01383333333333
HLA-DOA	1.4535
OR11L1	1.094
UPK1B	-0.7315
DNAJB4	-2.7425
UGT1A8	0.044
HIST1H4L	-0.1425
PECR	-0.5865
HSPA2	0.55625
WFIKKN1	-2.643
SERP1	-1.87625
SYDE2	-0.91325
TACR2	1.6515
NUP85	-0.46
CD177	0.0691666666666667
LGR5	-2.332
PIGG	-0.256916666666667
PTHR1	-2.41833333333333
RAB5A	-0.6247
FLJ13224	0.049
USP9Y	-2.15983333333333
C7orf53	1.72
LRP1B	1.2415
XAF1	0.3281
ABCG8	-0.4565
ANKDD1A	0.840333333333333
DAND5	-1.1635
SPAG6	-0.056
LINCR	-0.30175
ZDHHC22	-1.304625
CCDC60	-0.4825
THOC7	-0.553833333333333
TCTA	1.3399
OR8K3	-0.32075
NY-REN-7	0.15125
B2M	1.34483333333333
C6orf141	-0.39475
LPPR4	4.67625
SQLE	-1.473375
SEPHS1	-0.74275
BTBD14B	1.87107142857143
PLRG1	0.6635
SPG7	-0.1416875
ZNF614	-0.576666666666667
PARD6G	0.571
INPP5B	-0.3755
GRPEL2	-0.22675
PPID	-0.4151
TRIM56	-0.3925
UBE2J1	-0.47475
IL20RA	-1.61975
LOC387856	0.41625
C1orf107	0.527583333333333
UTS2R	3.1705
C19orf22	-1.04175
SAFB2	0.17825
KIAA0652	-0.50575
KLRG1	-0.467
MS4A8B	0.363333333333333
FRAG1	0.25825
KIAA1546	-0.49
E2F4	-0.7312
