Hybridization REF	TCGA-BH-A0DH-01A-11R-A084-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.0558333333333333
CREB3L1	1.331
RPS11	0.180125
PNMA1	0.9835
MMP2	-0.240166666666667
C10orf90	-1.45575
ZHX3	-0.238833333333333
ERCC5	-0.51075
GPR98	-0.2355
RXFP3	0.0895
APBB2	0.759
PRO0478	-0.772625
KLHL13	0.08275
PRSSL1	2.10433333333333
PDCL3	0.228333333333333
DECR1	0.9
SALL1	-3.46083333333333
CADM4	0.6885
RPS18	-0.355714285714286
HNRPD	-0.64025
CFHR5	0.6595
SLC10A7	0.16225
OR2K2	0.415
LMAN1	0.012875
SUHW1	-3.77175
CHD8	0.0181
SUMO1	0.614
GP1BA	-0.3701
DDB1	0.2035
MYO9B	-0.4092
MMP7	5.35825
CRNKL1	0.387375
C9orf45	-1.40566666666667
XAB2	0.049125
RTN1	2.49075
KLHL14	-1.471125
TBX10	-1.087
CENPQ	-0.948
UTY	-0.851428571428571
ZBTB12	0.1
DTNBP1	0.137375
KBTBD8	-1.35583333333333
ZEB1	0.5515
ZG16	1.061
MIER1	1.0558
ADAM5P	0.1295
CHD9	0.092375
STK16	0.66175
KIAA1486	-0.487
TOB2	0.145916666666667
BANK1	1.23025
OR2V2	-0.62625
GRM2	0.0263333333333333
PROSC	0.6125
SPIN2B	0.66375
PIR	-1.89211111111111
IPO9	-0.6626
EVC	-0.251333333333333
CXCL13	1.38016666666667
KIAA1199	-1.3782
SORL1	2.6895
NAT10	-0.5035
CHD1	0.13975
SYN3	-0.36775
SLC22A2	-0.367
SERPINF1	0.504833333333333
WDR34	0.776
OR7A17	0.23975
C9orf11	-0.3515
RNF216L	-0.4066
LHB	-0.262
STK25	-1.299125
TAOK3	0.936
LOC152573	-2.59975
C3orf39	0.987875
C14orf108	0.4687
CDC25B	-2.28236363636364
BMP3	0.3595
TMEM180	-0.083
MAP1LC3C	0.01575
CRYGC	0.0419999999999999
POU3F1	-1.07
C20orf32	-1.753
CCDC95	0.0115
HIGD1B	4.202
USP6NL	-0.15675
ABCD4	-0.902
DIMT1L	-1.37891666666667
TEK	1.082625
SLC25A46	-0.0445
LARP7	-1.5845
CD160	0.181666666666667
MT1JP	-1.2865
PHF20	0.167375
CPNE4	-1.948
GTPBP1	-0.913357142857143
RAB33B	0.972166666666667
ALDOC	-1.9155
ZNF212	-0.47875
NUDT1	-0.313666666666667
RFPL2	-1.50675
ZNF83	-0.009
GDPD5	0.199625
PDCD4	2.4622
CEP350	-0.04275
OR10A2	0.5465
CST7	0.13225
CIAO1	-0.7795
SELL	0.218875
OR8J3	0.0055
LTBP4	-0.052
SIRT6	-0.28275
CCL19	3.20575
PPIL1	-0.1705
GBP7	0.367833333333333
STK17A	-0.3335
ABR	0.26225
OR9G1	0.4685
FOXE1	-1.36575
CNGA3	-0.0915
GML	0.0365
CD38	-0.03775
ZDHHC6	-0.319166666666667
NEFH	-2.53825
CTDSP2	0.994333333333333
PGBD5	-2.093
CCNY	0.251142857142857
RMND5B	0.4735
ZNF257	-0.189
FLJ22167	-1.11325
EXOSC7	-0.800333333333333
ROR2	-0.087375
MAOA	2.353
TNNT3	-0.333333333333333
GYPC	-1.24525
C7orf33	0.7655
PLIN	3.96083333333333
LOC90826	-0.40425
RNF4	-0.2806
F8A1	0.429
PLEKHG4	-0.65175
GRB2	0.6236
HIST1H2AD	0.462
DUS3L	-1.49283333333333
EIF1	0.483166666666667
RP5-1077B9.4	-1.9235
FPGT	2.145
GDF10	0.145
COQ9	-0.374
GCC2	0.474285714285714
