Hybridization REF	TCGA-B6-A0RM-01A-11R-A084-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.475833333333333
CREB3L1	-0.038
RPS11	0.358625
PNMA1	1.31975
MMP2	-0.962333333333333
C10orf90	-2.231
ZHX3	-0.0186666666666667
ERCC5	-0.024
GPR98	0.598
RXFP3	0.383
APBB2	1.2855
PRO0478	-0.764625
KLHL13	-3.38625
PRSSL1	-0.855666666666667
PDCL3	0.629666666666667
DECR1	0.826625
SALL1	-5.07533333333333
CADM4	0.822166666666667
RPS18	0.360928571428571
HNRPD	-0.484166666666667
CFHR5	0.0248333333333333
SLC10A7	0.0825
OR2K2	0.0355
LMAN1	-1.029625
SUHW1	-3.507
CHD8	0.0112
SUMO1	0.5365
GP1BA	-0.0302
DDB1	0.198
MYO9B	-0.5
MMP7	0.228
CRNKL1	0.994375
C9orf45	-0.510666666666667
XAB2	0.042375
RTN1	0.524375
KLHL14	-1.201875
TBX10	-1.3105
CENPQ	-1.65825
UTY	-0.883928571428571
ZBTB12	0.2195
DTNBP1	-0.442625
KBTBD8	-1.91683333333333
ZEB1	1.0385
ZG16	-1.47325
MIER1	0.8584
ADAM5P	0.178
CHD9	0.9149375
STK16	1.65675
KIAA1486	-0.608
TOB2	0.803583333333333
BANK1	1.155
OR2V2	0.35975
GRM2	-0.00483333333333334
PROSC	1.3425
SPIN2B	0.358
PIR	-2.56777777777778
IPO9	-0.7545
EVC	-0.462166666666667
CXCL13	1.362
KIAA1199	-0.7745
SORL1	1.40275
NAT10	-0.432
CHD1	-0.096
SYN3	-0.42375
SLC22A2	-0.2365
SERPINF1	0.619666666666667
WDR34	-0.14725
OR7A17	0.427
C9orf11	0.276
RNF216L	-0.4124
LHB	-0.128
STK25	-0.123875
TAOK3	0.986375
LOC152573	-2.741
C3orf39	0.487875
C14orf108	0.2632
CDC25B	-2.28818181818182
BMP3	0.41
TMEM180	-0.0985
MAP1LC3C	0.039
CRYGC	-0.4455
POU3F1	-1.319
C20orf32	-1.6185
CCDC95	0.2625
HIGD1B	3.59325
USP6NL	-0.993625
ABCD4	0.0821666666666667
DIMT1L	-1.03608333333333
TEK	0.36475
SLC25A46	-0.85775
LARP7	-1.1105
CD160	-0.272666666666667
MT1JP	-0.431333333333333
PHF20	0.0193125
CPNE4	-1.33675
GTPBP1	-0.4095
RAB33B	0.987333333333333
ALDOC	-2.307875
ZNF212	-0.23575
NUDT1	-1.31833333333333
RFPL2	-0.397
ZNF83	0.58
GDPD5	-2.245125
PDCD4	2.4211
CEP350	-0.05825
OR10A2	0.07725
CST7	0.2825
CIAO1	-1.20175
SELL	0.564625
OR8J3	0.308
LTBP4	-0.431166666666667
SIRT6	-0.44
CCL19	3.62225
PPIL1	-0.999
GBP7	0.531833333333333
STK17A	-2.0793
ABR	-0.0055
OR9G1	-0.467
FOXE1	-0.943625
CNGA3	0.152
GML	-0.003
CD38	-3.26075
ZDHHC6	0.4205
NEFH	-2.89275
CTDSP2	1.28141666666667
PGBD5	-1.425
CCNY	0.398071428571429
RMND5B	0.877333333333333
ZNF257	-0.916
FLJ22167	-0.812625
EXOSC7	-0.472666666666667
ROR2	0.66575
MAOA	-0.325
TNNT3	5.813
GYPC	-2.091
C7orf33	0.3355
PLIN	0.852
LOC90826	-0.06525
RNF4	0.2489
F8A1	0.459666666666667
PLEKHG4	-2.114
GRB2	1.97355
HIST1H2AD	-0.169
DUS3L	-1.1495
EIF1	-0.375
RP5-1077B9.4	-1.806
FPGT	1.23
GDF10	-0.905333333333333
COQ9	-0.5385
GCC2	0.586071428571429
RARRES3	3.479
PLXNA1	-0.6947
KIAA0100	0.2734
PMF1	-0.23475
FNDC1	4.86375
HS2ST1	-0.419666666666667
CRELD2	-0.52675
C8G	-2.0155
CD82	0.5265
LIM2	-0.7725
UNQ6490	-0.164
MMP16	-0.20075
DRD3	0.02625
C5orf26	-1.3135
C11orf73	-1.434125
PTP4A2	0.7825
OR4M2	0.41
HPCA	-0.950666666666666
SEC14L1	-0.848
CHFR	-0.56575
EMILIN1	0.576125
NDUFS4	-0.19225
COL18A1	-1.5025
PDZD3	-0.1273
C9orf16	-0.656166666666667
ERBB2IP	0.276333333333333
EMX2	3.028
FUS	-0.59975
TF	-3.9973
CLCN4	0.3405
CXorf56	0.879
C11orf72	0.25975
ELAC2	-0.375666666666667
NPR1	-1.92975
ASS1	-0.8305
USP42	-0.002125
POLR2J	-0.6445
SEC23IP	1.40683333333333
UQCRC1	-0.11125
LOC729603	-0.70375
C1orf71	0.460125
POLG	-1.7095
ADAM23	-3.16775
TFR2	-1.80525
RICTOR	-0.4536
MGC39606	-0.5985
C19orf55	-0.24925
SNAPC1	-1.41616666666667
GNA11	0.99575
CCDC52	0.683666666666667
FSIP1	4.647
UPF3A	0.439
IGSF11	-0.758666666666667
LAGE3	-2.069
CHST6	-2.285
UNC13B	1.1975
TTLL4	-1.73875
ZNF687	-0.348125
SDC2	0.188
COX7A2	-0.293
LAMB4	-0.18
FAM24A	0.1605
LRRTM3	-0.8215
GPHB5	0.0495
OR4C13	-0.5965
EIF3EIP	0.00442857142857144
HABP4	-1.0605
TMEM125	3.73625
CNTN2	-0.4095
ASNSD1	-0.53225
FUT4	-0.8085
ACF	-3.2945
LOC158381	0.7565
CDH8	0.0275
AGPS	-2.55916666666667
C4orf18	1.82375
PECI	-0.0915
UNG	-0.13525
GSTP1	-3.04325
DCUN1D5	-1.46766666666667
DKFZP564J0863	-1.4815
SLC9A3R1	0.0375
BCDO2	0.93475
CHMP7	-0.831625
REM2	0.2645
DNHD1	-0.335625
FKBP4	0.662125
ZNF350	1.30225
MGC11102	0.12
BST1	-0.293
KISS1R	0.295
NCR2	0.223
DEFB125	-0.3255
UBE2W	2.248625
KRT15	1.200875
C10orf99	0.208
SCN11A	0.266625
GFI1	-2.319
RDHE2	3.31983333333333
FHL1	3.524
