Hybridization REF	TCGA-BH-A0RX-01A-21R-A084-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.09
CREB3L1	0.51725
RPS11	0.367
PNMA1	-0.49675
MMP2	1.467
C10orf90	-0.2315
ZHX3	-0.290166666666667
ERCC5	-0.31
GPR98	-1.01225
RXFP3	1.157
APBB2	0.12875
PRO0478	-1.215875
KLHL13	2.35875
PRSSL1	-0.1255
PDCL3	0.3655
DECR1	0.753625
SALL1	-2.83266666666667
CADM4	0.679666666666667
RPS18	0.460857142857143
HNRPD	-0.89175
CFHR5	0.5702
SLC10A7	-0.164875
OR2K2	0.0365
LMAN1	-0.04475
SUHW1	-2.50875
CHD8	-0.3997
SUMO1	0.075
GP1BA	1.1043
DDB1	-0.132333333333333
MYO9B	0.4427
MMP7	8.14975
CRNKL1	0.4325
C9orf45	-2.01866666666667
XAB2	-0.453125
RTN1	1.187125
KLHL14	-0.78475
TBX10	-0.7865
CENPQ	-1.41425
UTY	-0.863666666666667
ZBTB12	-0.293
DTNBP1	-0.00712500000000001
KBTBD8	-0.683333333333333
ZEB1	0.682166666666667
ZG16	-1.425
MIER1	0.8245
ADAM5P	-0.001
CHD9	0.1085625
STK16	-0.27825
KIAA1486	0.1705
TOB2	0.7925
BANK1	4.13375
OR2V2	0.49425
GRM2	0.424166666666667
PROSC	-0.23175
SPIN2B	-0.06975
PIR	-0.666666666666667
IPO9	-0.1503
EVC	0.3195
CXCL13	7.64416666666667
KIAA1199	0.2868
SORL1	0.23375
NAT10	-0.18075
CHD1	-0.483
SYN3	0.93525
SLC22A2	-0.42825
SERPINF1	0.863333333333333
WDR34	-0.61225
OR7A17	0.086
C9orf11	-0.3245
RNF216L	0.5954
LHB	0.178
STK25	-0.539125
TAOK3	0.731625
LOC152573	-1.86225
C3orf39	0.526
C14orf108	-0.53
CDC25B	0.233727272727273
BMP3	0.356
TMEM180	0.1755
MAP1LC3C	-0.46275
CRYGC	-0.829
POU3F1	-1.107
C20orf32	-1.07
CCDC95	-0.2035
HIGD1B	3.7275
USP6NL	1.458875
ABCD4	-0.535166666666667
DIMT1L	-0.799
TEK	1.70875
