Hybridization REF	TCGA-A2-A0ST-01A-12R-A084-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.0148333333333333
CREB3L1	1.81475
RPS11	1.0045
PNMA1	-0.29125
MMP2	-0.2315
C10orf90	-1.84475
ZHX3	-1.05916666666667
ERCC5	0.5415
GPR98	-0.806
RXFP3	0.5375
APBB2	-0.131
PRO0478	-0.605375
KLHL13	-1.036
PRSSL1	-0.753833333333333
PDCL3	0.103833333333333
DECR1	-0.382125
SALL1	-3.614
CADM4	-0.0988333333333333
RPS18	0.652214285714286
HNRPD	-0.422083333333333
CFHR5	0.8902
SLC10A7	-0.0244285714285714
OR2K2	0.763
LMAN1	0.19675
SUHW1	-2.80475
CHD8	-0.282
SUMO1	0.3407
GP1BA	3.3237
DDB1	-0.428166666666667
MYO9B	0.3801
MMP7	8.288
CRNKL1	-0.429375
C9orf45	-1.198
XAB2	-0.16575
RTN1	2.34
KLHL14	-0.66375
TBX10	-1.4915
CENPQ	-1.16825
UTY	-1.06492857142857
ZBTB12	-0.1545
DTNBP1	0.709625
KBTBD8	0.990166666666667
ZEB1	0.677166666666667
ZG16	-1.52875
MIER1	0.9887
ADAM5P	0.281
CHD9	0.2914375
STK16	-0.1795
KIAA1486	-0.0905
TOB2	0.592166666666667
BANK1	6.05375
OR2V2	0.489666666666667
GRM2	-0.214
PROSC	0.16425
SPIN2B	0.18725
PIR	-1.86844444444444
IPO9	-0.398
EVC	0.0911666666666667
CXCL13	7.66383333333333
KIAA1199	-2.60755555555556
SORL1	1.19575
NAT10	0.54125
CHD1	0.06825
SYN3	-0.513
SLC22A2	-0.115
SERPINF1	0.829
WDR34	-1.09275
OR7A17	0.23725
C9orf11	-0.7575
RNF216L	0.1217
LHB	0.0385
STK25	-0.7205
TAOK3	0.93575
LOC152573	-0.6945
C3orf39	-0.390875
C14orf108	0.2532
CDC25B	-1.35563636363636
BMP3	0.259
TMEM180	-0.12
MAP1LC3C	0.87125
CRYGC	-0.4735
POU3F1	-0.9435
C20orf32	-0.797
CCDC95	-0.626
HIGD1B	3.8645
USP6NL	0.69975
ABCD4	-0.334166666666667
DIMT1L	-0.261083333333333
TEK	1.0995
SLC25A46	-0.3905
LARP7	-1.385
CD160	2.4585
MT1JP	-0.616
PHF20	-0.004375
CPNE4	-1.014
GTPBP1	0.1185
RAB33B	0.9458
ALDOC	-1.9025
