Hybridization REF	TCGA-AO-A0JG-01A-31R-A084-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.352916666666667
CREB3L1	0.56925
RPS11	0.41775
PNMA1	0.652
MMP2	-0.0136666666666667
C10orf90	-1.51425
ZHX3	-0.282333333333333
ERCC5	0.61025
GPR98	0.500625
RXFP3	0.406
APBB2	2.947
PRO0478	-0.684375
KLHL13	-0.01625
PRSSL1	-0.3465
PDCL3	0.582
DECR1	-0.267
SALL1	-3.48816666666667
CADM4	1.22166666666667
RPS18	0.276571428571429
HNRPD	-0.178833333333333
CFHR5	0.252
SLC10A7	0.752
OR2K2	-0.319
LMAN1	-0.529125
SUHW1	-3.84625
CHD8	-0.3508
SUMO1	0.5334
GP1BA	2.0651
DDB1	-0.798333333333333
MYO9B	-0.2089
MMP7	6.4635
CRNKL1	1.40325
C9orf45	-1.61183333333333
XAB2	-0.055
RTN1	1.367
KLHL14	-0.583
TBX10	-1.31
CENPQ	-1.309
UTY	-1.35371428571429
ZBTB12	0.411
DTNBP1	0.597875
KBTBD8	-1.047
ZEB1	1.06433333333333
ZG16	-1.8855
MIER1	0.9035
ADAM5P	-0.5865
CHD9	0.3563125
STK16	0.99575
KIAA1486	-0.384
TOB2	0.698
BANK1	4.65575
OR2V2	-0.1005
GRM2	-0.0425
PROSC	-0.381875
SPIN2B	0.06175
PIR	-2.32833333333333
IPO9	-0.5501
EVC	0.448333333333333
CXCL13	5.521
KIAA1199	-3.4491
SORL1	1.5615
NAT10	-0.748
CHD1	0.17825
SYN3	0.115
SLC22A2	-0.8275
SERPINF1	0.124166666666667
WDR34	-1.0755
OR7A17	0.26425
C9orf11	-0.6325
RNF216L	-0.2574
LHB	0.088
STK25	-0.357
TAOK3	0.093125
LOC152573	-2.73075
C3orf39	-0.16975
C14orf108	0.6927
CDC25B	-2.29472727272727
BMP3	-0.423
TMEM180	-0.187
MAP1LC3C	0.50475
CRYGC	-0.7725
POU3F1	-1.4694
C20orf32	-1.666
CCDC95	-0.7545
HIGD1B	4.63175
USP6NL	-0.855125
ABCD4	-0.07
DIMT1L	-0.2335
TEK	2.007375
SLC25A46	-0.302
LARP7	-1.4139
CD160	1.37066666666667
MT1JP	0.0711666666666667
PHF20	-0.31575
CPNE4	-1.623
GTPBP1	-0.686357142857143
RAB33B	1.76233333333333
ALDOC	-2.104625
ZNF212	-0.144
NUDT1	-1.572
RFPL2	-0.10675
ZNF83	0.383833333333333
GDPD5	-0.60975
PDCD4	1.10375
CEP350	0.864
OR10A2	0.19775
CST7	2.3195
CIAO1	-0.78925
SELL	2.165375
OR8J3	0.0285
LTBP4	0.133333333333333
SIRT6	-0.14125
CCL19	5.06975
PPIL1	-1.34483333333333
GBP7	0.864
STK17A	-0.3428
ABR	0.6605
OR9G1	0.761
FOXE1	-0.987375
CNGA3	0.8135
GML	0.317
CD38	-0.96125
ZDHHC6	-0.0648333333333333
NEFH	-2.00775
CTDSP2	0.858083333333333
PGBD5	-1.58716666666667
CCNY	0.247571428571429
RMND5B	0.248
ZNF257	-1.53625
FLJ22167	-0.212
EXOSC7	-0.890166666666667
ROR2	0.67775
MAOA	-0.541375
TNNT3	2.20233333333333
GYPC	-0.7605
C7orf33	0.6255
PLIN	3.17383333333333
LOC90826	0.55525
RNF4	0.1236
F8A1	0.7345
PLEKHG4	-0.275
GRB2	0.49095
HIST1H2AD	2.38975
DUS3L	-0.458666666666667
EIF1	-0.217166666666667
RP5-1077B9.4	-1.28
FPGT	2.19625
GDF10	2.333
COQ9	0.2145
GCC2	0.851071428571429
RARRES3	2.47825
PLXNA1	-0.8824
KIAA0100	-0.5752
PMF1	-0.24325
FNDC1	5.067
HS2ST1	-0.170666666666667
CRELD2	-0.5155
C8G	-0.69
CD82	0.6305
LIM2	-1.529
UNQ6490	0.0645
MMP16	0.229
DRD3	-0.051
C5orf26	-0.1
C11orf73	-0.923
PTP4A2	0.3175
OR4M2	0.832
HPCA	-1.26766666666667
SEC14L1	-0.554666666666667
CHFR	-0.057875
EMILIN1	0.514375
NDUFS4	0.21275
COL18A1	0.3
PDZD3	0.0468
C9orf16	-0.195666666666667
ERBB2IP	0.701833333333333
EMX2	3.697
FUS	-1.048
TF	-3.7953
CLCN4	0.146
CXorf56	0.9635
C11orf72	0.43525
ELAC2	-0.739333333333333
NPR1	0.21675
ASS1	-2.844
USP42	0.35875
POLR2J	-0.611
SEC23IP	1.0945
UQCRC1	-0.79225
LOC729603	-0.6265
C1orf71	0.802
POLG	-2.7185
ADAM23	-2.97175
TFR2	-1.39875
RICTOR	-0.1926
MGC39606	1.3565
C19orf55	-0.4855
SNAPC1	-1.4605
GNA11	0.91725
CCDC52	-0.160166666666667
FSIP1	4.5955
UPF3A	0.603125
IGSF11	-2.821
LAGE3	-0.26175
CHST6	-3.2345
UNC13B	0.702
TTLL4	-1.229625
ZNF687	0.169
SDC2	-0.6434
COX7A2	-0.504
LAMB4	-0.11825
FAM24A	-0.559
LRRTM3	-0.557833333333333
GPHB5	-0.3285
OR4C13	-0.246
EIF3EIP	-0.0549285714285714
HABP4	-0.2615
TMEM125	3.51275
CNTN2	0.384875
ASNSD1	0.1355
FUT4	0.025125
ACF	-4.12575
LOC158381	0.8735
CDH8	0.29175
AGPS	-0.437833333333333
C4orf18	4.548125
PECI	-0.07175
UNG	-0.9215
GSTP1	-1.943
DCUN1D5	-1.57233333333333
DKFZP564J0863	-1.76575
SLC9A3R1	1.272875
BCDO2	-0.4965
CHMP7	-0.0335
REM2	0.216
DNHD1	-0.288375
FKBP4	-0.238125
ZNF350	2.107
MGC11102	-0.229625
BST1	0.994
KISS1R	0.7875
NCR2	-0.0325
DEFB125	1.482
UBE2W	1.26975
KRT15	2.569125
C10orf99	0.1335
SCN11A	0.466375
GFI1	-1.1175
RDHE2	2.336
FHL1	-0.198833333333333
OSGEP	-0.751166666666667
GATA1	-3.65166666666667
SMC6	-0.58525
TTTY14	-1.13475
LPIN3	-0.07075
RPL4	-0.4707
RBPMS	-0.516
PRPF3	-0.206333333333333
EMR1	-2.29
SPATA19	-0.01775
XCR1	0.504
IRX3	1.9391
RBM6	-0.69
KLF4	0.8474
UNC5CL	-0.19725
SEBOX	0.244
BTK	-0.83425
KRCC1	1.8885
C6orf27	0.086
SYTL5	-0.16
PRND	2.36675
LOC653319	-1.2565
PIGL	-1.443875
HUS1	-0.373333333333333
SFRS6	0.546833333333333
C17orf77	0.194
UIMC1	-0.341333333333333
FXYD2	-1.7297
LOC283152	0.50075
ZNF667	-0.7805
ZCCHC12	-0.298
TFEC	3.2722
ATP7B	0.3085
POLD2	-1.08066666666667
RG9MTD1	0.02575
ACOT2	0.449166666666667
HIST1H4I	-0.52725
PPARGC1A	-2.5036
ETFA	-1.382
POLRMT	-0.2815
ZNF146	0.16625
MIA2	-0.835
KLHL6	0.2145
HOXB5	-0.968875
NENF	0.125
CUGBP1	-0.000249999999999986
PRSS22	1.4965
CASC4	1.9353
CUL4B	0.1945
CENPJ	-1.6359
PITX1	-0.830666666666667
FLJ31033	0.879833333333333
CELSR3	-2.08583333333333
ZNF568	1.174
ITSN1	-0.815666666666667
EHBP1L1	-1.12483333333333
C19orf2	-0.3
DCTN1	-0.07075
LIN28B	-4.50766666666667
TNKS2	-0.118
C1QBP	-1.009
CADPS2	1.536
SRMS	0.157
GJA9	0.108833333333333
MGC24975	-0.8535
TRIM45	-0.343166666666667
TSP50	1.369
TCP1	-1.328
TMED7	0.5826
CMA1	1.254
CENPL	-1.2125
PTCRA	-0.0225
FST	-4.1375
VWCE	-3.7945
PAWR	0.81525
ABCC12	-0.218
LDLR	-1.4716
ASTN2	1.8362
LOC441212	-1.272375
GPATCH8	-0.367
TANC2	-0.68525
KIF4A	-3.41625
C18orf18	-0.9805
PGM1	0.056
KIAA0258	0.38475
CPD	0.21125
SNCAIP	-0.35425
DCT	-4.44916666666667
HLA-DOA	2.63136363636364
OR11L1	0.3185
UPK1B	-0.2475
DNAJB4	0.920875
UGT1A8	-0.37575
HIST1H4L	-2.2575
PECR	-1.22166666666667
HSPA2	-0.31325
WFIKKN1	-0.081
SERP1	1.06625
SYDE2	3.13075
TACR2	0.556
NUP85	-0.5205
CD177	-0.236833333333333
LGR5	-1.689
PIGG	0.586416666666667
PTHR1	-1.86783333333333
RAB5A	-0.1538
