Hybridization REF	TCGA-B6-A0RU-01A-11R-A084-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.217166666666667
CREB3L1	0.547
RPS11	1.031625
PNMA1	0.29375
MMP2	0.2785
C10orf90	0.29225
ZHX3	0.677666666666667
ERCC5	0.08825
GPR98	-0.84425
RXFP3	0.49
APBB2	0.27075
PRO0478	-1.290625
KLHL13	2.93875
PRSSL1	-0.4345
PDCL3	-0.159166666666667
DECR1	0.12825
SALL1	-3.63483333333333
CADM4	0.974666666666667
RPS18	0.519928571428572
HNRPD	-0.4275
CFHR5	1.12366666666667
SLC10A7	-0.126
OR2K2	0.3565
LMAN1	0.1845
SUHW1	-2.86975
CHD8	-0.3233
SUMO1	0.3149
GP1BA	0.036
DDB1	0.144666666666667
MYO9B	0.0486
MMP7	7.59975
CRNKL1	0.18325
C9orf45	-0.289833333333333
XAB2	-0.00875000000000001
RTN1	2.187375
KLHL14	-1.21975
TBX10	-0.826
CENPQ	-0.6565
UTY	-0.788285714285714
ZBTB12	0.2905
DTNBP1	-0.19775
KBTBD8	-0.6705
ZEB1	0.433666666666667
ZG16	-1.3945
MIER1	0.5973
ADAM5P	0.6075
CHD9	0.0568125
STK16	0.05775
KIAA1486	-0.532
TOB2	0.70425
BANK1	1.958
OR2V2	0.10975
GRM2	0.3965
PROSC	-0.15725
SPIN2B	0.78025
PIR	-1.25711111111111
IPO9	-0.1452
EVC	0.0658333333333333
CXCL13	1.82116666666667
KIAA1199	-2.5278
SORL1	0.60375
NAT10	-0.29225
CHD1	-0.98
SYN3	-0.457
SLC22A2	-0.34
SERPINF1	1.23466666666667
WDR34	0.1625
OR7A17	0.043
C9orf11	-0.306
RNF216L	-0.5858
LHB	-0.0345
STK25	-0.152
TAOK3	-0.18775
LOC152573	-1.43025
C3orf39	1.3095
C14orf108	0.7708
CDC25B	0.125818181818182
BMP3	0.3515
TMEM180	0.083
MAP1LC3C	0.6725
CRYGC	-0.538
POU3F1	-1.2811
C20orf32	-0.9745
CCDC95	-0.4655
HIGD1B	3.39575
USP6NL	-0.046
ABCD4	-0.372
DIMT1L	-0.534
TEK	1.205
SLC25A46	-0.25575
LARP7	-2.0087
CD160	0.1025
MT1JP	-0.5945
PHF20	-0.609125
CPNE4	-0.74825
GTPBP1	0.0625714285714286
RAB33B	0.642833333333333
ALDOC	-1.192125
ZNF212	-0.102
NUDT1	-0.0635
RFPL2	-0.337
ZNF83	-0.239666666666667
GDPD5	-0.64
PDCD4	0.9679
CEP350	-0.3075
OR10A2	-0.0275
CST7	-0.3035
CIAO1	-1.011
SELL	0.3935
OR8J3	-0.00649999999999998
LTBP4	0.0971666666666667
SIRT6	-0.542
CCL19	4.183
PPIL1	-0.317666666666667
GBP7	0.501833333333333
STK17A	-1.0499
ABR	-0.6435
OR9G1	0.7335
FOXE1	0.611875
CNGA3	0.0595
GML	0.116
CD38	-2.36375
ZDHHC6	-0.185333333333333
NEFH	-1.79125
CTDSP2	0.6
PGBD5	0.322333333333333
CCNY	0.445
RMND5B	-0.09925
ZNF257	-0.3705
FLJ22167	0.411625
EXOSC7	0.0118333333333333
ROR2	0.095625
MAOA	0.367875
TNNT3	1.52533333333333
GYPC	-0.046
C7orf33	0.5585
PLIN	3.58916666666667
LOC90826	-0.4035
RNF4	-0.6024
F8A1	0.4445
PLEKHG4	-2.00625
