Hybridization REF	TCGA-A1-A0SO-01A-22R-A084-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.0759166666666667
CREB3L1	-0.7075
RPS11	-0.169
PNMA1	-0.06425
MMP2	-1.3965
C10orf90	-2.275
ZHX3	-0.9075
ERCC5	-0.1365
GPR98	-0.743875
RXFP3	0.8305
APBB2	-0.348
PRO0478	-1.309375
KLHL13	-2.5315
PRSSL1	-0.8485
PDCL3	0.865166666666667
DECR1	0.53725
SALL1	-4.12416666666667
CADM4	2.34633333333333
RPS18	-0.230214285714286
HNRPD	-0.173916666666667
CFHR5	0.104833333333333
SLC10A7	0.41475
OR2K2	-0.2355
LMAN1	0.17375
SUHW1	-0.4465
CHD8	0.4166
SUMO1	0.9375
GP1BA	0.097
DDB1	-0.122166666666667
MYO9B	-0.2272
MMP7	5.3625
CRNKL1	2.14325
C9orf45	-2.52416666666667
XAB2	0.925625
RTN1	0.861875
KLHL14	0.52675
TBX10	-1.128
CENPQ	-0.06225
UTY	-0.821384615384615
ZBTB12	0.502
DTNBP1	-0.2845
KBTBD8	1.22216666666667
ZEB1	-1.36183333333333
ZG16	-1.74175
MIER1	0.8105
ADAM5P	0.132
CHD9	-1.644
STK16	0.894
KIAA1486	-0.555
TOB2	0.210833333333333
BANK1	1.43075
OR2V2	0.22725
GRM2	0.475
PROSC	0.063875
SPIN2B	0.436
PIR	0.315555555555556
IPO9	0.7181
EVC	-1.81233333333333
CXCL13	3.74066666666667
KIAA1199	-3.4121
SORL1	-1.94625
NAT10	0.86025
CHD1	-1.50875
SYN3	0.59625
SLC22A2	-0.92175
SERPINF1	-1.29466666666667
WDR34	0.25825
OR7A17	0.226
C9orf11	-0.6325
RNF216L	-1.0095
LHB	-0.289
STK25	-0.2815
TAOK3	0.888
LOC152573	-2.49125
C3orf39	2.018125
C14orf108	1.302
CDC25B	-0.994727272727273
BMP3	-0.167
TMEM180	0.522
MAP1LC3C	-0.1545
CRYGC	-0.75
POU3F1	-1.6397
C20orf32	-1.448
CCDC95	0.0535
HIGD1B	3.27175
USP6NL	1.546625
ABCD4	-1.184
DIMT1L	-1.10075
TEK	0.318125
SLC25A46	-0.3385
LARP7	-0.567
CD160	0.2865
MT1JP	-2.133
PHF20	0.495125
CPNE4	-0.9715
GTPBP1	-0.211857142857143
RAB33B	-0.104333333333333
ALDOC	-0.9575
ZNF212	0.19075
NUDT1	-0.289833333333333
RFPL2	0.354
ZNF83	0.163333333333333
GDPD5	1.028
PDCD4	1.68755
CEP350	-0.63
OR10A2	0.63225
CST7	-0.373
CIAO1	0.17975
SELL	0.198625
