Hybridization REF	TCGA-AR-A0TQ-01A-11R-A084-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	1.25975
CREB3L1	0.92025
RPS11	0.347875
PNMA1	0.503
MMP2	0.208333333333333
C10orf90	-1.79025
ZHX3	-0.637166666666667
ERCC5	0.10025
GPR98	1.09575
RXFP3	0.3545
APBB2	1.362
PRO0478	-0.987625
KLHL13	0.1015
PRSSL1	-0.478333333333333
PDCL3	0.414833333333333
DECR1	-0.684375
SALL1	-4.21216666666667
CADM4	-0.102833333333333
RPS18	-0.398571428571429
HNRPD	-0.21125
CFHR5	-0.375166666666667
SLC10A7	-0.034625
OR2K2	-0.2045
LMAN1	0.09075
SUHW1	-3.45825
CHD8	0.4573
SUMO1	0.047
GP1BA	1.0843
DDB1	0.131
MYO9B	-0.0905
MMP7	5.94125
CRNKL1	1.05525
C9orf45	-1.554
XAB2	0.107375
RTN1	1.16925
KLHL14	-0.9685
TBX10	-0.844
CENPQ	-0.739
UTY	-0.968285714285714
ZBTB12	-0.713
DTNBP1	-0.019375
KBTBD8	-0.9905
ZEB1	0.00983333333333333
ZG16	-0.42975
MIER1	0.1226
ADAM5P	1.05
CHD9	-0.31025
STK16	1.10025
KIAA1486	-0.4
TOB2	0.560666666666667
BANK1	3.4005
OR2V2	0.18075
GRM2	0.144333333333333
PROSC	0.203125
SPIN2B	-0.10475
PIR	-2.50555555555556
IPO9	0.1274
EVC	0.0491666666666667
CXCL13	5.46216666666667
KIAA1199	-2.2865
SORL1	-0.054
NAT10	-0.20375
CHD1	0.38525
SYN3	1.7915
SLC22A2	-0.256
SERPINF1	0.455833333333333
WDR34	0.9025
OR7A17	0.1925
C9orf11	-0.584
RNF216L	-0.8258
LHB	-0.1085
STK25	-0.02225
TAOK3	0.74875
LOC152573	-1.38125
C3orf39	0.0935
C14orf108	0.3801
CDC25B	-0.0873636363636364
BMP3	0.1505
TMEM180	0.2075
MAP1LC3C	0.10725
CRYGC	-0.7065
POU3F1	-1.1292
C20orf32	-1.1125
CCDC95	-0.358
HIGD1B	2.8735
USP6NL	-0.467875
ABCD4	-0.121166666666667
DIMT1L	-0.813916666666667
TEK	1.00725
SLC25A46	-0.23375
LARP7	-1.5553
CD160	1.06366666666667
MT1JP	0.9625
PHF20	-0.1489375
CPNE4	-1
GTPBP1	0.190785714285714
RAB33B	1.052
ALDOC	-1.843625
ZNF212	-0.3155
NUDT1	-0.6725
RFPL2	-0.198
ZNF83	0.436333333333333
GDPD5	-0.836
PDCD4	0.82835
CEP350	-0.52375
OR10A2	0.09275
CST7	1.968
CIAO1	-0.3485
SELL	2.3715
OR8J3	0.485
LTBP4	-0.0136666666666667
