Hybridization REF	TCGA-B6-A0RV-01A-11R-A084-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.0189166666666667
CREB3L1	0.8775
RPS11	1.006125
PNMA1	0.89425
MMP2	-0.105166666666667
C10orf90	-1.02725
ZHX3	-0.661833333333333
ERCC5	0.029
GPR98	0.737875
RXFP3	0.08
APBB2	0.826
PRO0478	-1.116125
KLHL13	0.2435
PRSSL1	-0.275833333333333
PDCL3	0.5315
DECR1	-0.037
SALL1	-4.2545
CADM4	0.604333333333333
RPS18	0.696642857142857
HNRPD	-0.72
CFHR5	0.968
SLC10A7	0.47825
OR2K2	-0.554
LMAN1	-0.00425000000000003
SUHW1	-3.5995
CHD8	-0.4097
SUMO1	0.2931
GP1BA	1.0634
DDB1	0.0291666666666667
MYO9B	-0.3813
MMP7	7.232
CRNKL1	0.798625
C9orf45	-0.7545
XAB2	0.031625
RTN1	1.860625
KLHL14	-0.954625
TBX10	-1.175
CENPQ	-1.444
UTY	-1.26328571428571
ZBTB12	-0.208
DTNBP1	0.00849999999999998
KBTBD8	-1.51783333333333
ZEB1	0.599833333333333
ZG16	-1.95375
MIER1	1.1322
ADAM5P	0.26
CHD9	-0.2171875
STK16	0.187
KIAA1486	-0.742
TOB2	0.892666666666667
BANK1	2.968
OR2V2	0.11575
GRM2	-0.0188333333333333
PROSC	1.60675
SPIN2B	-0.25
PIR	-1.78555555555556
IPO9	-1.0732
EVC	0.265833333333333
CXCL13	4.17233333333333
KIAA1199	-3.1626
SORL1	0.96525
NAT10	-0.58025
CHD1	-0.5645
SYN3	-0.7075
SLC22A2	-0.14325
SERPINF1	0.0378333333333333
WDR34	0.29525
OR7A17	0.33375
C9orf11	0.1285
RNF216L	0.1182
LHB	-0.4115
STK25	0.08875
TAOK3	0.316125
LOC152573	-2.76175
C3orf39	0.42875
C14orf108	0.2999
CDC25B	-1.96181818181818
BMP3	0.058
TMEM180	-0.0025
MAP1LC3C	0.325
CRYGC	-0.9175
POU3F1	-1.4817
C20orf32	-1
CCDC95	-1.21
HIGD1B	4.01825
USP6NL	-0.226875
ABCD4	0.168666666666667
DIMT1L	-0.543166666666667
TEK	1.3755
SLC25A46	-0.658
LARP7	-1.5439
CD160	0.728833333333333
MT1JP	0.312833333333333
PHF20	-0.210375
CPNE4	1.0585
GTPBP1	-0.395142857142857
RAB33B	1.26633333333333
ALDOC	-1.98975
ZNF212	0.1705
NUDT1	-1.26016666666667
RFPL2	-0.198
ZNF83	-0.372333333333333
GDPD5	-1.080375
PDCD4	2.01055
CEP350	-0.32925
OR10A2	0.25125
CST7	1.001
CIAO1	-0.74075
SELL	1.6925
OR8J3	0.221
LTBP4	-0.112833333333333
SIRT6	-0.21025
CCL19	5.418
PPIL1	-0.9775
GBP7	1.01633333333333
STK17A	-0.6107
ABR	0.9055
OR9G1	0.4645
FOXE1	-0.751125
CNGA3	-0.0195
GML	0.2845
CD38	-1.45975
ZDHHC6	0.492833333333333
NEFH	-0.9715
CTDSP2	1.09733333333333
PGBD5	-1.70666666666667
CCNY	0.3635
RMND5B	0.807333333333333
ZNF257	-1.044
FLJ22167	-0.575625
EXOSC7	-0.506666666666667
ROR2	0.6155
MAOA	-0.2995
TNNT3	1.49566666666667
GYPC	-1.2775
C7orf33	0.3435
PLIN	2.49366666666667
LOC90826	-0.05825
RNF4	0.1183
F8A1	0.139833333333333
PLEKHG4	-2.38825
GRB2	-0.24635
HIST1H2AD	-0.13725
DUS3L	-0.788833333333333
EIF1	-0.513333333333333
RP5-1077B9.4	-1.07566666666667
FPGT	1.4555
GDF10	1.01083333333333
COQ9	-0.447
GCC2	0.313142857142857
RARRES3	3.452625
PLXNA1	-0.8215
KIAA0100	0.9292
PMF1	-0.08
FNDC1	4.37575
HS2ST1	-0.351166666666667
CRELD2	1.10325
C8G	-2.2535
CD82	1.593
LIM2	-0.885
UNQ6490	-0.1875
MMP16	0.05875
DRD3	-0.11175
C5orf26	-0.11475
C11orf73	-0.259625
PTP4A2	1.326125
OR4M2	0.562
HPCA	-1.25533333333333
SEC14L1	-1.12816666666667
CHFR	-0.80075
EMILIN1	0.6035
NDUFS4	-0.66075
