Hybridization REF	TCGA-A1-A0SP-01A-11R-A084-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.0554166666666667
CREB3L1	0.16675
RPS11	0.396
PNMA1	0.026
MMP2	-0.2605
C10orf90	-2.1335
ZHX3	-1.09066666666667
ERCC5	-0.56675
GPR98	-1.4485
RXFP3	0.7785
APBB2	0.383
PRO0478	-1.59
KLHL13	-1.839
PRSSL1	-0.8745
PDCL3	0.5575
DECR1	0.145
SALL1	-2.89416666666667
CADM4	1.55516666666667
RPS18	0.380857142857143
HNRPD	-0.14225
CFHR5	0.134166666666667
SLC10A7	-0.071375
OR2K2	0.4785
LMAN1	-0.38275
SUHW1	-3.077
CHD8	-0.6316
SUMO1	0.3488
GP1BA	0.2637
DDB1	-0.0235
MYO9B	-0.024
MMP7	7.82825
CRNKL1	0.45525
C9orf45	0.925
XAB2	0.355875
RTN1	1.84425
KLHL14	-1.566875
TBX10	-1.143
CENPQ	-1.78775
UTY	-1.01014285714286
ZBTB12	-0.317
DTNBP1	-0.671625
KBTBD8	-0.787166666666667
ZEB1	-0.549666666666667
ZG16	-1.696
MIER1	0.6526
ADAM5P	0.246
CHD9	-0.92275
STK16	0.16025
KIAA1486	0.0455
TOB2	0.7975
BANK1	2.24175
OR2V2	0.35075
GRM2	0.102833333333333
PROSC	0.9585
SPIN2B	-0.60275
PIR	-1.79877777777778
IPO9	0.099
EVC	0.262833333333333
CXCL13	3.53266666666667
KIAA1199	-1.2086
SORL1	0.594
NAT10	-0.187
CHD1	-0.72625
SYN3	-0.72625
SLC22A2	-0.22775
SERPINF1	0.0793333333333333
WDR34	0.541
OR7A17	0.0785
C9orf11	-0.12
RNF216L	-0.506
LHB	-0.011
STK25	0.105875
TAOK3	1.212375
LOC152573	-2.3025
C3orf39	-0.05175
C14orf108	0.119
CDC25B	-0.894545454545455
BMP3	0.217
TMEM180	0.4175
MAP1LC3C	0.30175
CRYGC	-0.4755
POU3F1	-0.5867
C20orf32	-1.602
CCDC95	-0.1635
HIGD1B	2.58025
USP6NL	0.173375
ABCD4	-1.1335
DIMT1L	-0.6455
TEK	0.702875
SLC25A46	-0.63025
LARP7	-1.5482
CD160	0.0851666666666666
MT1JP	0.477333333333333
PHF20	-0.2175625
CPNE4	-1.15875
GTPBP1	-0.103071428571429
RAB33B	0.1275
ALDOC	-2.59925
ZNF212	0.03575
NUDT1	-0.131833333333333
RFPL2	-0.8435
ZNF83	-0.219333333333333
GDPD5	-1.092125
PDCD4	-0.1477
CEP350	-0.158
OR10A2	0.79725
CST7	0.71875
CIAO1	-0.87425
