Hybridization REF	TCGA-A2-A0T1-01A-21R-A084-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.269083333333333
CREB3L1	1.5635
RPS11	0.647
PNMA1	0.26225
MMP2	0.92
C10orf90	-1.539
ZHX3	-0.8165
ERCC5	-0.389
GPR98	0.95125
RXFP3	0.8195
APBB2	0.5825
PRO0478	-0.942125
KLHL13	-3.22125
PRSSL1	-0.173666666666667
PDCL3	0.896
DECR1	0.871375
SALL1	-2.37966666666667
CADM4	1.37366666666667
RPS18	-0.296
HNRPD	-0.8455
CFHR5	0.181833333333333
SLC10A7	-0.00150000000000001
OR2K2	-0.101
LMAN1	-0.167375
SUHW1	-3.2985
CHD8	-0.4338
SUMO1	0.2617
GP1BA	1.7356
DDB1	0.132666666666667
MYO9B	0.1891
MMP7	7.338
CRNKL1	0.1585
C9orf45	-1.99583333333333
XAB2	-0.489125
RTN1	1.646625
KLHL14	-1.111625
TBX10	0.3195
CENPQ	-1.4045
UTY	-0.691
ZBTB12	0.057
DTNBP1	0.045625
KBTBD8	-0.619166666666667
ZEB1	0.938166666666667
ZG16	-0.13025
MIER1	0.5415
ADAM5P	-0.615
CHD9	-0.2715
STK16	0.999
KIAA1486	-0.412
TOB2	0.891416666666667
BANK1	3.7905
OR2V2	0.296
GRM2	0.0603333333333333
PROSC	-0.176125
SPIN2B	-0.522
PIR	-1.16277777777778
IPO9	-0.1022
EVC	1.05066666666667
CXCL13	6.38433333333333
KIAA1199	0.099
SORL1	0.91925
NAT10	-0.485
CHD1	-0.61825
SYN3	0.3545
SLC22A2	0.24975
SERPINF1	1.92883333333333
WDR34	1.10425
OR7A17	0.23875
C9orf11	-0.4075
RNF216L	0.0353
LHB	0.2
STK25	-0.255625
TAOK3	0.482875
LOC152573	-2.532
C3orf39	-1.227625
C14orf108	0.1956
CDC25B	-0.967727272727273
BMP3	0.5905
TMEM180	0.5205
MAP1LC3C	0.32375
CRYGC	-0.304
POU3F1	-0.8746
C20orf32	-1.15
CCDC95	-0.554
HIGD1B	3.689
USP6NL	0.3605
ABCD4	-0.171666666666667
DIMT1L	-1.23183333333333
TEK	1.7185
SLC25A46	-0.434
LARP7	-1.9227
CD160	0.417333333333333
MT1JP	0.161333333333333
PHF20	-0.152875
CPNE4	-1.21975
GTPBP1	-0.176142857142857
RAB33B	0.429666666666667
ALDOC	-2.5565
ZNF212	-0.037
NUDT1	-0.414333333333333
RFPL2	-0.89
ZNF83	-1.1225
GDPD5	-0.19775
PDCD4	0.7161
CEP350	0.149
OR10A2	0.49975
CST7	2.2415
CIAO1	-0.624
SELL	1.689
OR8J3	0.037
LTBP4	-0.0273333333333333
SIRT6	-0.43725
CCL19	5.49575
PPIL1	-0.898
GBP7	0.601
STK17A	-0.137
ABR	0.185
OR9G1	-0.178
FOXE1	-0.395375
CNGA3	0.153
GML	0.443
CD38	1.3805
ZDHHC6	0.028
NEFH	-2.4115
CTDSP2	0.761833333333333
PGBD5	-1.3135
CCNY	0.700214285714286
RMND5B	-0.225666666666667
ZNF257	-2.05275
FLJ22167	-1.11125
EXOSC7	-0.396833333333333
ROR2	1.031375
MAOA	-0.0775
TNNT3	1.515
GYPC	-0.5735
C7orf33	0.3105
PLIN	3.49983333333333
LOC90826	-0.8185
RNF4	-0.1654
F8A1	-0.0546666666666667
PLEKHG4	-3.24725
GRB2	0.4531
HIST1H2AD	0.47575
DUS3L	-0.8665
EIF1	-0.0396666666666667
RP5-1077B9.4	-0.558666666666667
FPGT	0.72175
GDF10	2.74316666666667
COQ9	0.50925
GCC2	0.161428571428571
RARRES3	3.39825
PLXNA1	-0.1943
KIAA0100	-0.2081
PMF1	0.19375
FNDC1	5.60125
HS2ST1	0.152583333333333
CRELD2	1.35025
C8G	-1.6415
CD82	1.7245
LIM2	-0.4755
UNQ6490	-0.6625
MMP16	0.14325
DRD3	0.2135
C5orf26	-1.496
C11orf73	-0.248625
PTP4A2	0.215375
OR4M2	0.789
HPCA	-0.409333333333333
SEC14L1	-0.237666666666667
CHFR	0.503
EMILIN1	1.916
NDUFS4	-0.903
COL18A1	0.672625
PDZD3	-0.0432
C9orf16	0.579666666666667
ERBB2IP	-0.1215
EMX2	3.638
FUS	-1.012
TF	-3.6303
CLCN4	0.7535
CXorf56	0.082
C11orf72	0.3375
ELAC2	-0.254166666666667
NPR1	0.13425
