Hybridization REF	TCGA-B6-A0RN-01A-12R-A084-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.196416666666667
CREB3L1	1.2605
RPS11	0.540375
PNMA1	0.738
MMP2	1.18416666666667
C10orf90	-2.13825
ZHX3	0.0641666666666667
ERCC5	-0.06175
GPR98	0.97125
RXFP3	0.8345
APBB2	1.34175
PRO0478	-1.028375
KLHL13	-2.80475
PRSSL1	-1.01216666666667
PDCL3	0.0573333333333333
DECR1	-0.582375
SALL1	-2.196
CADM4	1.002
RPS18	0.941071428571429
HNRPD	-0.663916666666667
CFHR5	-0.0313333333333333
SLC10A7	0.403625
OR2K2	-0.35
LMAN1	-1.04025
SUHW1	-3.43525
CHD8	0.2192
SUMO1	0.5262
GP1BA	0.8173
DDB1	0.0588333333333333
MYO9B	-0.5606
MMP7	2.77475
CRNKL1	1.026
C9orf45	-0.365333333333333
XAB2	0.0265
RTN1	2.69875
KLHL14	-1.3295
TBX10	-1.1885
CENPQ	-1.7095
UTY	-0.950769230769231
ZBTB12	0.121
DTNBP1	-0.2365
KBTBD8	-1.38266666666667
ZEB1	1.27283333333333
ZG16	-2.18775
MIER1	1.0717
ADAM5P	0.535
CHD9	-0.173
STK16	-0.14125
KIAA1486	-0.439
TOB2	0.37025
BANK1	3.39825
OR2V2	0.07325
GRM2	0.0788333333333333
PROSC	0.222125
SPIN2B	0.42075
PIR	-4.03655555555556
IPO9	-0.0378
EVC	1.33366666666667
CXCL13	3.32816666666667
KIAA1199	-0.3895
SORL1	1.8785
NAT10	-0.28475
CHD1	0.19125
SYN3	-0.9395
SLC22A2	-0.01675
SERPINF1	1.15516666666667
WDR34	-0.50625
OR7A17	0.8055
C9orf11	-0.9365
RNF216L	-0.3306
LHB	-0.495
STK25	-0.612375
TAOK3	1.2755
LOC152573	-2.854
C3orf39	0.63075
C14orf108	0.4471
CDC25B	-3.08481818181818
BMP3	0.344
TMEM180	-0.0845
MAP1LC3C	2.18625
CRYGC	-0.7955
POU3F1	-1.37
C20orf32	-1.5535
CCDC95	-0.347
HIGD1B	4.37775
USP6NL	-0.321
ABCD4	-0.438333333333333
DIMT1L	-0.925333333333333
TEK	0.793625
SLC25A46	-0.4945
LARP7	-1.6863
CD160	0.0918333333333333
MT1JP	-1.53533333333333
PHF20	0.3026875
CPNE4	-1.6545
GTPBP1	-0.980357142857143
RAB33B	1.41766666666667
ALDOC	-3.263
ZNF212	-0.10825
NUDT1	-1.5675
RFPL2	-0.505
ZNF83	-0.0976666666666667
GDPD5	-1.590125
PDCD4	2.9857
CEP350	0.70025
OR10A2	0.12025
CST7	0.4845
CIAO1	-1.20125
SELL	0.532875
OR8J3	-0.383
LTBP4	-0.178
SIRT6	-0.26725
CCL19	4.86925
PPIL1	-1.5775
GBP7	0.6735
STK17A	-0.7525
ABR	0.2445
OR9G1	0.449
FOXE1	-1.15375
CNGA3	1.463
GML	0.0835
CD38	-2.9505
ZDHHC6	0.317333333333333
NEFH	-0.1085
CTDSP2	1.084
PGBD5	-1.89533333333333
CCNY	0.667857142857143
RMND5B	0.232833333333333
ZNF257	-0.6495
FLJ22167	0.16775
EXOSC7	-0.542
ROR2	1.99975
MAOA	-1.55825
TNNT3	0.925166666666667
GYPC	-1.5745
C7orf33	0.7455
PLIN	2.94166666666667
LOC90826	0.37
RNF4	-0.156
F8A1	0.3215
PLEKHG4	-1.6315
GRB2	0.71765
HIST1H2AD	0.46225
DUS3L	-1.23233333333333
EIF1	-0.577666666666667
RP5-1077B9.4	-1.42433333333333
FPGT	2.055
GDF10	0.197166666666667
COQ9	-0.9005
GCC2	0.109428571428571
RARRES3	2.616625
PLXNA1	-0.9362
KIAA0100	0.0706
PMF1	0.8685
FNDC1	5.5745
HS2ST1	0.0794166666666666
CRELD2	-0.17325
C8G	-2.4815
CD82	0.64175
LIM2	-1.3805
UNQ6490	-0.0885
MMP16	1.04775
DRD3	-0.0295
C5orf26	-0.7995
C11orf73	-0.621
PTP4A2	1.0795
OR4M2	0.8555
HPCA	-1.35
SEC14L1	-1.2705
CHFR	-0.6415
EMILIN1	1.018125
NDUFS4	-0.3945
COL18A1	-0.14725
PDZD3	-0.226
C9orf16	-0.400666666666667
ERBB2IP	0.6185
EMX2	4.3995
FUS	-0.4945
TF	-4.3675
CLCN4	0.0705
CXorf56	-0.23325
C11orf72	-0.37575
ELAC2	-0.883083333333333
NPR1	-1.12075
ASS1	-2.45616666666667
USP42	-0.063125
POLR2J	-1.3765
SEC23IP	0.861
UQCRC1	-0.1295
LOC729603	-0.72975
C1orf71	0.497
POLG	-3.126
ADAM23	-2.7935
TFR2	-1.36225
RICTOR	-0.7979
MGC39606	-0.20725
C19orf55	-0.312375
SNAPC1	-1.3855
GNA11	1.001625
CCDC52	0.636166666666667
FSIP1	4.006
UPF3A	-0.513625
IGSF11	-2.69516666666667
LAGE3	0.60875
CHST6	-0.0115
UNC13B	0.249875
TTLL4	-0.2055
ZNF687	1.0635
SDC2	0.2408
COX7A2	-0.21825
LAMB4	-0.0355
FAM24A	-0.2015
LRRTM3	-0.5255
GPHB5	0.2335
OR4C13	0.3665
EIF3EIP	-0.202357142857143
HABP4	-1.006
TMEM125	3.48725
CNTN2	-0.0115
ASNSD1	-0.1345
FUT4	-0.43
ACF	-4.07575
LOC158381	0.3745
CDH8	-0.531
AGPS	-1.1835
C4orf18	3.77525
PECI	-0.96825
UNG	-0.716
GSTP1	-2.007
DCUN1D5	-1.101
DKFZP564J0863	-1.167
SLC9A3R1	-0.029875
BCDO2	-0.42225
CHMP7	0.140125
REM2	0.797
DNHD1	-0.904
FKBP4	-0.61575
ZNF350	1.998
MGC11102	-0.170625
BST1	1.165
KISS1R	1.5525
NCR2	0.089
DEFB125	-0.181
UBE2W	1.207375
KRT15	-1.49925
C10orf99	0.249
SCN11A	0.205625
GFI1	-3.23325
RDHE2	2.345
FHL1	-0.705833333333333
OSGEP	-0.0803333333333333
GATA1	-3.60733333333333
SMC6	-1.5365
TTTY14	-1.1845
LPIN3	-0.1905
RPL4	-0.0125
RBPMS	0.3871
PRPF3	-0.288166666666667
EMR1	-2.931
SPATA19	-0.21075
XCR1	0.1455
IRX3	2.1969
RBM6	-0.96975
KLF4	-1.0996
UNC5CL	1.614
SEBOX	0.022
BTK	-1.4155
KRCC1	1.5675
C6orf27	0.267
SYTL5	-0.9425
PRND	1.88857142857143
LOC653319	-1.896
PIGL	-1.777125
HUS1	-0.637166666666667
SFRS6	0.65875
C17orf77	-0.0235
UIMC1	-0.718333333333333
FXYD2	-2.4525
LOC283152	1.056
ZNF667	1.6625
ZCCHC12	-0.4815
TFEC	1.3557
ATP7B	1.68733333333333
POLD2	-1.2845
RG9MTD1	0.1695
ACOT2	0.741666666666667
HIST1H4I	-1.16475
PPARGC1A	-2.1134
ETFA	-1.8402
POLRMT	-0.7915
ZNF146	0.104
MIA2	-1.105
KLHL6	-1.9745
HOXB5	-0.0365
NENF	1.0135
CUGBP1	0.355
PRSS22	1.64866666666667
CASC4	1.5273
CUL4B	0.4117
CENPJ	-1.863
PITX1	-0.576
FLJ31033	0.655333333333333
CELSR3	-1.068
ZNF568	1.30625
ITSN1	-0.328083333333333
EHBP1L1	-1.75683333333333
C19orf2	-0.4605
DCTN1	0.36375
LIN28B	-3.22716666666667
TNKS2	-0.512
C1QBP	-0.4405
CADPS2	1.8835
SRMS	0.4495
GJA9	0.244666666666667
MGC24975	-0.697333333333333
TRIM45	0.6235
TSP50	-0.4235
TCP1	-1.4755
TMED7	0.121
CMA1	0.963
CENPL	-0.619666666666667
PTCRA	0.074
FST	-1.233
VWCE	-4.195
PAWR	0.3895
ABCC12	0.0323333333333333
LDLR	-0.6515
ASTN2	1.2306
LOC441212	-1.09575
GPATCH8	0.06875
TANC2	-0.412833333333333
KIF4A	-3.51925
C18orf18	-2.20575
PGM1	-1.791
KIAA0258	0.53975
CPD	1.0925
SNCAIP	-0.893
DCT	-4.75716666666667
HLA-DOA	2.28231818181818
OR11L1	0.254
UPK1B	0.00899999999999999
DNAJB4	-0.094
UGT1A8	0.2425
HIST1H4L	-0.9325
PECR	-1.12766666666667
HSPA2	3.4705
WFIKKN1	-0.661
SERP1	1.136
SYDE2	1.373
TACR2	0.627
NUP85	-1.0945
CD177	-0.718166666666667
LGR5	-2.03
PIGG	0.206416666666667
PTHR1	-0.296
RAB5A	0.347
FLJ13224	-0.3385
USP9Y	-1.13916666666667
C7orf53	-2.0265
LRP1B	-1.1525
XAF1	0.5536
ABCG8	0.095
ANKDD1A	-0.972833333333333
DAND5	-0.5695
SPAG6	0.0465
LINCR	-0.82025
ZDHHC22	-1.845125
CCDC60	-0.07
THOC7	-1.095
TCTA	0.8985
OR8K3	0.239
NY-REN-7	-0.69625
B2M	0.159166666666667
C6orf141	-0.96325
LPPR4	1.40575
SQLE	-1.28225
SEPHS1	-0.617
BTBD14B	0.546
PLRG1	-0.11275
SPG7	-0.99825
ZNF614	0.325166666666667
PARD6G	0.873166666666667
INPP5B	-0.3226
GRPEL2	-0.125
PPID	-0.8092
TRIM56	-0.43275
UBE2J1	-0.2565
IL20RA	1.52575
LOC387856	1.417
C1orf107	1.42666666666667
UTS2R	1.6455
C19orf22	0.2715
SAFB2	-0.12325
KIAA0652	0.139375
KLRG1	-0.361
MS4A8B	2.97916666666667
FRAG1	0.572
KIAA1546	0.92175
E2F4	-1.6756
CLEC4M	0.603666666666667
BTBD14A	-1.634
KIAA0999	-0.3456
GYPA	-3.4105
TAC1	0.7747
TRAIP	-1.82016666666667
KIAA0232	0.6916
ERCC8	-0.965
GPX4	0.20075
KIAA0368	-0.06025
GPR157	-1.1945
CTAGE4	1.122
C9orf30	-2.0175
OR52A1	0.5545
HSP90B3P	-0.5735
ALG9	-0.4057
BTBD10	0.9765
SDK2	-0.80325
BAIAP3	2.194
