Hybridization REF	TCGA-B6-A0RO-01A-22R-A084-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	1.03125
CREB3L1	1.446
RPS11	0.06025
PNMA1	0.43075
MMP2	-0.727166666666667
C10orf90	-2.214
ZHX3	0.291833333333333
ERCC5	-0.02575
GPR98	-1.34225
RXFP3	0.572
APBB2	1.492
PRO0478	-1.43825
KLHL13	-1.007
PRSSL1	-0.236333333333333
PDCL3	0.365166666666667
DECR1	-0.693875
SALL1	-3.24416666666667
CADM4	1.45416666666667
RPS18	-0.463857142857143
HNRPD	-0.906833333333333
CFHR5	0.634
SLC10A7	0.542625
OR2K2	-0.3245
LMAN1	0.6795
SUHW1	-3.3845
CHD8	-0.1808
SUMO1	0.6096
GP1BA	-0.3503
DDB1	0.459833333333333
MYO9B	-1.0436
MMP7	6.4655
CRNKL1	1.42625
C9orf45	-2.15333333333333
XAB2	-0.139
RTN1	1.67225
KLHL14	-1.3295
TBX10	1.2795
CENPQ	-0.69075
UTY	-1.14414285714286
ZBTB12	0.346
DTNBP1	0.34275
KBTBD8	-1.53916666666667
ZEB1	-0.370166666666667
ZG16	-2.0565
MIER1	-0.0191
ADAM5P	0.0955
CHD9	-0.22975
STK16	0.545
KIAA1486	0.2545
TOB2	0.171333333333333
BANK1	0.43925
OR2V2	0.34
GRM2	0.352833333333333
PROSC	0.37925
SPIN2B	0.818
PIR	-2.91388888888889
IPO9	-1.0079
EVC	-0.182333333333333
CXCL13	1.34233333333333
KIAA1199	-3.5688
SORL1	1.4415
NAT10	-0.6385
CHD1	0.636
SYN3	-0.3245
SLC22A2	-0.423
SERPINF1	-0.86
WDR34	-0.18525
OR7A17	0.68
C9orf11	-0.517
RNF216L	-0.5651
LHB	-0.2345
STK25	-0.068
TAOK3	0.73825
LOC152573	-2.54875
C3orf39	0.6265
C14orf108	1.1608
CDC25B	-2.99463636363636
BMP3	0.2195
TMEM180	0.1655
MAP1LC3C	0.51075
CRYGC	-0.307
POU3F1	-1.4102
C20orf32	-1.0285
CCDC95	-0.5585
HIGD1B	3.768
USP6NL	0.418375
ABCD4	0.285666666666667
DIMT1L	-0.705583333333333
TEK	1.10742857142857
SLC25A46	-0.219
LARP7	-2.3328
CD160	-0.0741666666666666
MT1JP	-0.4295
PHF20	-0.477125
CPNE4	0.86875
GTPBP1	-0.518142857142857
RAB33B	1.65716666666667
ALDOC	-2.93975
ZNF212	-0.69825
NUDT1	-1.272
RFPL2	-0.20275
