Hybridization REF	TCGA-BH-A0HI-01A-11R-A084-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.603416666666667
CREB3L1	1.3655
RPS11	0.13675
PNMA1	-0.00475
MMP2	0.898666666666667
C10orf90	-2.371
ZHX3	-0.595166666666667
ERCC5	0.323
GPR98	0.234375
RXFP3	0.1735
APBB2	1.51575
PRO0478	-1.503625
KLHL13	-3.356
PRSSL1	-1.191
PDCL3	0.6745
DECR1	-0.300125
SALL1	-2.17533333333333
CADM4	1.105
RPS18	0.322714285714286
HNRPD	-0.447833333333333
CFHR5	0.584333333333333
SLC10A7	0.68425
OR2K2	0.4245
LMAN1	-0.155125
SUHW1	-3.763
CHD8	-0.0729
SUMO1	0.3687
GP1BA	-0.0276
DDB1	0.0735
MYO9B	-0.3969
MMP7	6.1115
CRNKL1	1.09425
C9orf45	-2.3715
XAB2	0.041
RTN1	2.996625
KLHL14	-1.421875
TBX10	-1.263
CENPQ	-1.74275
UTY	-1.34557142857143
ZBTB12	-0.552
DTNBP1	-0.728
KBTBD8	-0.815166666666667
ZEB1	0.416166666666667
ZG16	-2.82675
MIER1	0.2361
ADAM5P	0.5305
CHD9	-0.259375
STK16	0.396
KIAA1486	-0.406
TOB2	0.882
BANK1	1.746
OR2V2	0.05375
GRM2	0.276333333333333
PROSC	0.63675
SPIN2B	-0.1775
PIR	-2.95044444444444
IPO9	-0.6904
EVC	0.7905
CXCL13	3.99566666666667
KIAA1199	-0.3162
SORL1	1.39975
NAT10	-0.736
CHD1	-0.331
SYN3	-0.30625
SLC22A2	-0.3405
SERPINF1	0.513166666666667
WDR34	-0.6135
OR7A17	0.32925
C9orf11	0.188
RNF216L	-0.5305
LHB	-0.512
STK25	-0.376375
TAOK3	0.45625
LOC152573	-2.6275
C3orf39	0.5435
C14orf108	0.9015
CDC25B	-2.66363636363636
BMP3	0.7285
TMEM180	-0.0795
MAP1LC3C	0.8325
CRYGC	-0.5005
POU3F1	-1.633
C20orf32	-1.688
CCDC95	-0.625
HIGD1B	4.21775
USP6NL	-0.07225
ABCD4	0.00233333333333332
DIMT1L	-0.872
TEK	1.39325
SLC25A46	-1.0735
LARP7	-1.9016
CD160	0.0318333333333333
MT1JP	-1.629
PHF20	-0.1608125
CPNE4	-1.46325
GTPBP1	-0.158357142857143
RAB33B	0.826666666666667
ALDOC	-3.415875
ZNF212	-0.25725
NUDT1	-1.51666666666667
RFPL2	-0.26625
ZNF83	-0.343333333333333
GDPD5	-0.8605
PDCD4	3.20035
CEP350	0.343
OR10A2	0.21875
CST7	0.041
CIAO1	-1.35475
