Hybridization REF	TCGA-AR-A0TX-01A-11R-A084-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	2.90116666666667
CREB3L1	1.99225
RPS11	-0.121625
PNMA1	-0.4855
MMP2	1.02433333333333
C10orf90	-2.26025
ZHX3	-0.6155
ERCC5	-0.43525
GPR98	2.38142857142857
RXFP3	0.1525
APBB2	0.75625
PRO0478	-0.806625
KLHL13	-2.736
PRSSL1	-0.596833333333333
PDCL3	0.728166666666667
DECR1	-0.166625
SALL1	-3.16816666666667
CADM4	0.971166666666667
RPS18	-0.359785714285714
HNRPD	0.117333333333333
CFHR5	-0.0218
SLC10A7	0.826875
OR2K2	0.5635
LMAN1	-0.24675
SUHW1	-3.76675
CHD8	-0.28
SUMO1	0.3723
GP1BA	1.3441
DDB1	0.245666666666667
MYO9B	0.1984
MMP7	6.42475
CRNKL1	1.308875
C9orf45	-0.8385
XAB2	0.11575
RTN1	2.082375
KLHL14	-0.778625
TBX10	2.141
CENPQ	-1.91975
UTY	-1.18616666666667
ZBTB12	-0.405
DTNBP1	0.00337499999999996
KBTBD8	-0.296333333333333
ZEB1	-0.00233333333333333
ZG16	-1.28975
MIER1	-0.1327
ADAM5P	-0.042
CHD9	-0.6448125
STK16	-0.30925
KIAA1486	-0.3785
TOB2	0.605083333333333
BANK1	4.75
OR2V2	0.5355
GRM2	0.234833333333333
PROSC	-0.06575
SPIN2B	0.28625
PIR	-1.60822222222222
IPO9	-0.5662
EVC	1.03066666666667
CXCL13	6.78966666666667
KIAA1199	-1.9712
SORL1	0.9075
NAT10	-0.56175
CHD1	-0.92775
SYN3	-0.8315
SLC22A2	-0.02975
SERPINF1	1.11016666666667
WDR34	-0.09775
OR7A17	0.47375
C9orf11	-0.6485
RNF216L	-1.0757
LHB	-0.1945
STK25	-0.275375
TAOK3	0.672875
LOC152573	-2.1135
C3orf39	-0.13075
C14orf108	0.6828
CDC25B	-0.296545454545455
BMP3	0.432
TMEM180	0.2335
MAP1LC3C	1.59325
CRYGC	-1.4095
POU3F1	-1.3468
C20orf32	-1.2545
CCDC95	-0.1975
HIGD1B	4.019
USP6NL	0.15875
ABCD4	-0.399666666666667
DIMT1L	-0.72625
TEK	1.1985
SLC25A46	-0.072
LARP7	-2.1342
CD160	0.934666666666667
MT1JP	-0.253833333333333
PHF20	0.67375
CPNE4	-1.2025
GTPBP1	-0.157642857142857
RAB33B	1.2325
ALDOC	-1.4695
ZNF212	-0.22075
NUDT1	-1.1785
RFPL2	-0.21
ZNF83	0.384666666666667
GDPD5	1.013
PDCD4	0.97575
CEP350	-0.076
OR10A2	0.239
CST7	2.40075
CIAO1	-0.55775
SELL	2.38225
OR8J3	0.181
LTBP4	-0.697333333333333
SIRT6	-0.159
CCL19	5.065
PPIL1	-0.880333333333333
GBP7	1.335
STK17A	-0.0276
ABR	0.12375
OR9G1	0.299
FOXE1	-0.94475
CNGA3	1.0195
GML	0.1925
CD38	0.31175
ZDHHC6	-0.0128333333333333
NEFH	-2.90675
CTDSP2	2.44491666666667
PGBD5	-1.68433333333333
CCNY	0.145142857142857
RMND5B	0.3035
ZNF257	-1.31975
FLJ22167	-0.09325
EXOSC7	-0.938166666666667
ROR2	1.07325
MAOA	0.833625
TNNT3	1.66733333333333
GYPC	-0.69175
C7orf33	0.7765
PLIN	4.168
LOC90826	0.13475
RNF4	0.56
F8A1	0.3525
PLEKHG4	-3.33175
GRB2	0.95425
HIST1H2AD	0.3105
DUS3L	-1.02316666666667
EIF1	-0.43
RP5-1077B9.4	-1.072
FPGT	1.175
GDF10	1.27516666666667
COQ9	0.35675
GCC2	0.507214285714286
RARRES3	2.987875
PLXNA1	0.045
KIAA0100	0.1393
PMF1	-0.8055
FNDC1	5.2735
HS2ST1	0.234666666666667
CRELD2	2.283
C8G	-1.5815
CD82	1.65075
LIM2	-1.0225
UNQ6490	0.1605
MMP16	-0.4205
DRD3	-0.11075
C5orf26	-1.891
C11orf73	-0.336
PTP4A2	0.277625
OR4M2	0.343
HPCA	-0.100666666666667
SEC14L1	-0.027
CHFR	-0.106875
EMILIN1	0.521125
NDUFS4	-0.364
COL18A1	0.655875
PDZD3	-0.1791
C9orf16	-0.159166666666667
ERBB2IP	0.142166666666667
EMX2	4.248
FUS	-1.27075
TF	-3.5856
CLCN4	0.99
CXorf56	-0.2245
C11orf72	0.45425
ELAC2	-0.113
NPR1	0.2165
ASS1	0.478
USP42	-0.08975
POLR2J	-0.6425
SEC23IP	1.03483333333333
UQCRC1	-0.448
LOC729603	0.09
C1orf71	-0.41525
POLG	-2.122
ADAM23	-3.52375
TFR2	-1.86425
RICTOR	-1.1088
MGC39606	0.95175
C19orf55	-0.47175
SNAPC1	-1.339
GNA11	1.340375
CCDC52	-0.6085
FSIP1	1.183
UPF3A	-0.727
IGSF11	-2.72516666666667
LAGE3	0.97325
CHST6	-1.55
UNC13B	0.66675
TTLL4	0.05825
ZNF687	0.195875
SDC2	-1.295
COX7A2	-0.129
LAMB4	-0.27875
FAM24A	0.4475
LRRTM3	-0.927833333333333
GPHB5	-0.36525
OR4C13	-0.3825
EIF3EIP	-0.097
HABP4	-0.139
TMEM125	3.312
CNTN2	0.011
ASNSD1	0.0155
FUT4	0.3705
ACF	-4.175
LOC158381	0.432
CDH8	-0.74675
AGPS	-1.65233333333333
C4orf18	3.499875
PECI	0.506666666666667
UNG	-1.116375
GSTP1	1.654125
DCUN1D5	-0.4215
DKFZP564J0863	-1.46825
SLC9A3R1	1.977
BCDO2	0.02675
CHMP7	0.307375
REM2	2.3635
DNHD1	-0.75675
FKBP4	-0.206375
ZNF350	2.15225
MGC11102	-0.311875
BST1	1.7975
KISS1R	0.148
NCR2	0.1275
DEFB125	-0.209
UBE2W	0.8645
KRT15	-1.296375
C10orf99	0.018
SCN11A	0.614375
GFI1	-0.78275
RDHE2	5.21866666666667
FHL1	-0.433333333333333
OSGEP	0.1155
GATA1	-4.03233333333333
SMC6	-0.9665
TTTY14	-1.1695
LPIN3	-0.37775
RPL4	-0.8004
RBPMS	-0.304
PRPF3	-0.671
EMR1	-2.699
SPATA19	0.21425
XCR1	0.108
IRX3	2.3527
RBM6	-1.0105
KLF4	0.4764
UNC5CL	-1.5685
SEBOX	-0.074
BTK	0.34525
KRCC1	0.49225
C6orf27	0.221
SYTL5	-0.171
PRND	1.04025
LOC653319	-0.5325
PIGL	-1.524375
HUS1	-0.463
SFRS6	0.408833333333333
C17orf77	-0.109
UIMC1	-0.279166666666667
FXYD2	-2.1013
LOC283152	0.39075
ZNF667	-1.125
ZCCHC12	-0.0765
TFEC	4.4306
ATP7B	1.18783333333333
POLD2	-0.9445
RG9MTD1	-0.19075
ACOT2	0.326666666666667
HIST1H4I	-0.819875
PPARGC1A	-0.3736
ETFA	-0.8869
POLRMT	-0.69425
ZNF146	0.292125
MIA2	-1.853
KLHL6	1.0195
HOXB5	-0.92075
NENF	-0.194
CUGBP1	-1.3775
PRSS22	1.4655
CASC4	0.483
CUL4B	-0.096
CENPJ	-1.1964
PITX1	1.39583333333333
FLJ31033	1.052
CELSR3	-1.64383333333333
ZNF568	0.745
ITSN1	-0.35275
EHBP1L1	-0.612333333333333
C19orf2	-0.17875
DCTN1	0.812
LIN28B	-3.85266666666667
TNKS2	-0.1815
C1QBP	-1.505375
CADPS2	2.8345
SRMS	1.286
GJA9	0.250833333333333
MGC24975	-1.08983333333333
TRIM45	-1.17333333333333
TSP50	-0.53575
TCP1	-0.37475
TMED7	0.2972
CMA1	1.531
CENPL	-0.865833333333333
PTCRA	0.8995
FST	-4.79175
VWCE	-3.8335
PAWR	-1.69925
ABCC12	4.24266666666667
LDLR	-1.3503
ASTN2	1.6607
LOC441212	-1.6435
GPATCH8	-0.26325
TANC2	-0.142916666666667
KIF4A	-1.7615
C18orf18	-1.806
PGM1	0.0925
KIAA0258	0.8605
CPD	1.785125
SNCAIP	-0.8525
DCT	-4.63466666666667
HLA-DOA	3.46809090909091
OR11L1	0.273
UPK1B	-0.738333333333333
DNAJB4	-0.06225
UGT1A8	-0.198
HIST1H4L	-3.0925
PECR	-1.21283333333333
HSPA2	0.947
WFIKKN1	-0.389
SERP1	2.092375
SYDE2	0.09725
TACR2	0.0655
NUP85	-0.67425
CD177	-0.1245
LGR5	-2.051
PIGG	0.0415
PTHR1	-1.27383333333333
RAB5A	-0.0375
FLJ13224	-0.3505
