Hybridization REF	TCGA-A1-A0SE-01A-11R-A084-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.181416666666667
CREB3L1	0.89075
RPS11	0.716
PNMA1	0.13175
MMP2	0.957833333333333
C10orf90	-0.59025
ZHX3	-0.0436666666666667
ERCC5	-0.2385
GPR98	-0.15225
RXFP3	0.4425
APBB2	1.52475
PRO0478	-1.196375
KLHL13	0.46125
PRSSL1	-0.7715
PDCL3	0.3675
DECR1	0.1445
SALL1	-3.03833333333333
CADM4	1.22066666666667
RPS18	0.575571428571429
HNRPD	-0.426583333333333
CFHR5	0.255666666666667
SLC10A7	0.350875
OR2K2	-0.201
LMAN1	-0.573625
SUHW1	-4.133
CHD8	0.0108
SUMO1	0.5241
GP1BA	0.7352
DDB1	-0.511
MYO9B	-0.2624
MMP7	6.551
CRNKL1	0.797125
C9orf45	-0.993833333333333
XAB2	0.015
RTN1	1.443
KLHL14	-0.7405
TBX10	-1.1665
CENPQ	-1.556
UTY	-1.27292857142857
ZBTB12	0.3675
DTNBP1	-0.386125
KBTBD8	-2.39783333333333
ZEB1	1.22066666666667
ZG16	-1.57525
MIER1	0.5495
ADAM5P	0.4815
CHD9	-0.299625
STK16	0.81375
KIAA1486	-0.498
TOB2	0.905666666666667
BANK1	1.44675
OR2V2	0.13525
GRM2	-0.0216666666666667
PROSC	0.444125
SPIN2B	-0.19475
PIR	-3.11055555555556
IPO9	0.1931
EVC	1.24366666666667
CXCL13	1.93216666666667
KIAA1199	-2.1701
SORL1	1.06275
NAT10	-0.28375
CHD1	-0.4185
SYN3	-0.55725
SLC22A2	-0.1475
SERPINF1	0.7095
WDR34	-0.19125
OR7A17	0.10975
C9orf11	-0.493
RNF216L	-0.4423
LHB	-0.164
STK25	-0.200125
TAOK3	0.40225
LOC152573	-2.4855
C3orf39	1.01575
C14orf108	0.3247
CDC25B	-1.77036363636364
BMP3	0.4065
TMEM180	0.268
MAP1LC3C	0.83225
CRYGC	-1.0385
POU3F1	-1.3245
C20orf32	-1.603
CCDC95	-0.2425
HIGD1B	4.41925
USP6NL	-0.056875
ABCD4	-0.192666666666667
DIMT1L	-0.705083333333333
TEK	1.22275
SLC25A46	-0.7825
LARP7	-1.7808
CD160	0.520833333333333
MT1JP	-0.491666666666667
PHF20	-0.0145
CPNE4	-1.6875
GTPBP1	-0.3845
RAB33B	1.2215
ALDOC	-2.355875
ZNF212	-0.066
NUDT1	-0.765166666666667
RFPL2	-0.7615
ZNF83	-0.4775
GDPD5	-1.160875
PDCD4	2.11485
CEP350	0.44075
OR10A2	0.469
CST7	0.858
CIAO1	-1.145
SELL	1.399125
OR8J3	0.1345
LTBP4	0.210666666666667
SIRT6	-0.33825
CCL19	4.77
